video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_DudukBerdiri_1,movenet,0,0.000000,multi,dim,12,10,0,520.040000,290.560000,184.750000,313.120000,57848.920000,1,1,direct,0.351528,10,1,0.193465,0.700000,7,0.200000,58.070800,17.220359,ok,
MP_R_DudukBerdiri_1,movenet,1,0.033292,multi,dim,12,10,0,519.910000,290.940000,185.550000,312.630000,58008.496500,1,1,direct,0.335695,10,1,0.198441,0.800000,8,0.200000,49.384200,20.249392,ok,
MP_R_DudukBerdiri_1,movenet,2,0.066584,multi,dim,12,10,0,519.780000,291.320000,186.360000,312.140000,58170.410400,1,1,direct,0.335879,10,1,0.212450,0.800000,8,0.200000,49.130200,20.354080,ok,
MP_R_DudukBerdiri_1,movenet,3,0.099876,multi,dim,12,10,0,519.660000,291.700000,187.150000,311.650000,58325.297500,1,1,direct,0.348363,10,1,0.218187,0.800000,8,0.200000,48.096400,20.791577,ok,
MP_R_DudukBerdiri_1,movenet,4,0.133167,multi,dim,12,10,0,519.530000,292.080000,187.960000,311.160000,58485.633600,1,1,direct,0.352428,10,1,0.193620,0.800000,8,0.200000,51.834500,19.292170,ok,
MP_R_DudukBerdiri_1,movenet,5,0.166459,multi,dim,12,10,0,519.410000,292.460000,188.750000,310.670000,58638.962500,1,1,direct,0.363291,10,1,0.195470,0.800000,8,0.200000,50.598100,19.763588,ok,
MP_R_DudukBerdiri_1,movenet,6,0.199751,multi,dim,12,10,0,519.280000,293.530000,189.560000,309.490000,58666.924400,1,1,direct,0.361903,10,1,0.213581,0.800000,8,0.200000,51.847900,19.287184,ok,
MP_R_DudukBerdiri_1,movenet,7,0.233043,multi,dim,12,10,0,519.150000,294.600000,190.360000,308.310000,58689.891600,1,1,direct,0.362015,10,1,0.225891,0.800000,8,0.200000,49.910300,20.035944,ok,
MP_R_DudukBerdiri_1,movenet,8,0.266335,multi,dim,12,10,0,519.030000,295.670000,191.160000,307.130000,58710.970800,1,1,direct,0.377033,10,1,0.208318,0.700000,7,0.200000,48.268600,20.717402,ok,
MP_R_DudukBerdiri_1,movenet,9,0.299627,multi,dim,12,10,0,518.900000,296.750000,191.960000,305.940000,58728.242400,1,1,direct,0.376026,10,1,0.264527,0.800000,8,0.200000,50.147400,19.941213,ok,
MP_R_DudukBerdiri_1,movenet,10,0.332919,multi,dim,12,10,0,518.770000,297.820000,192.770000,304.750000,58746.657500,1,1,direct,0.383527,10,1,0.207416,0.800000,8,0.200000,51.604700,19.378080,ok,
MP_R_DudukBerdiri_1,movenet,11,0.366211,multi,dim,12,10,0,516.240000,300.860000,195.970000,301.600000,59104.552000,1,1,direct,0.378684,10,1,0.154703,0.800000,8,0.200000,52.682900,18.981491,ok,
MP_R_DudukBerdiri_1,movenet,12,0.399502,multi,dim,12,10,0,513.710000,303.890000,199.180000,298.460000,59447.262800,1,1,direct,0.361883,10,2,0.115510,0.500000,5,0.200000,51.612300,19.375226,ok,
MP_R_DudukBerdiri_1,movenet,13,0.432794,multi,dim,12,10,0,511.180000,306.930000,202.380000,295.310000,59764.837800,1,1,direct,0.361933,10,1,0.093540,0.500000,5,0.200000,52.078500,19.201782,ok,
MP_R_DudukBerdiri_1,movenet,14,0.466086,multi,dim,12,10,0,508.650000,309.970000,205.590000,292.160000,60065.174400,1,1,direct,0.349918,10,1,0.094911,0.500000,5,0.200000,51.756300,19.321319,ok,
MP_R_DudukBerdiri_1,movenet,15,0.499378,multi,dim,12,10,0,506.120000,313.000000,208.790000,289.020000,60344.485800,1,1,direct,0.364121,10,1,0.100334,0.500000,5,0.200000,50.226700,19.909729,ok,
MP_R_DudukBerdiri_1,movenet,16,0.532670,multi,dim,12,10,0,510.770000,304.940000,203.750000,296.970000,60507.637500,1,1,direct,0.384358,10,1,0.218730,0.800000,8,0.200000,48.991200,20.411829,ok,
MP_R_DudukBerdiri_1,movenet,17,0.565962,multi,dim,12,10,0,515.420000,296.870000,198.700000,304.930000,60589.591000,1,1,direct,0.417097,10,1,0.239007,0.700000,7,0.200000,51.164500,19.544802,ok,
MP_R_DudukBerdiri_1,movenet,18,0.599254,multi,dim,12,10,0,520.060000,288.810000,194.840000,312.880000,60961.539200,1,1,direct,0.367663,10,1,0.198746,0.800000,8,0.200000,48.574300,20.587018,ok,
MP_R_DudukBerdiri_1,movenet,19,0.632545,multi,dim,12,10,0,524.710000,280.750000,191.790000,320.830000,61531.985700,1,1,direct,0.414939,10,1,0.224274,0.600000,6,0.200000,50.030600,19.987767,ok,
MP_R_DudukBerdiri_1,movenet,20,0.665837,multi,dim,12,10,0,528.350000,269.840000,184.590000,331.630000,61215.581700,1,1,direct,0.329645,10,5,0.052379,0.300000,3,0.200000,49.813600,20.074839,ok,
MP_R_DudukBerdiri_1,movenet,21,0.699129,multi,dim,12,10,0,531.990000,258.940000,180.550000,342.420000,61823.931000,1,1,direct,0.369960,10,0,0.071569,0.100000,1,0.200000,51.517700,19.410804,ok,
MP_R_DudukBerdiri_1,movenet,22,0.732421,multi,dim,12,10,0,535.620000,248.040000,176.520000,353.210000,62348.629200,1,1,direct,0.322060,10,1,0.085061,0.300000,3,0.200000,49.227300,20.313931,ok,
MP_R_DudukBerdiri_1,movenet,23,0.765713,multi,dim,12,10,0,539.260000,237.140000,172.490000,364.000000,62786.360000,1,1,direct,0.321334,10,3,0.105413,0.500000,5,0.200000,50.847000,19.666844,ok,
MP_R_DudukBerdiri_1,movenet,24,0.799005,multi,dim,12,10,0,540.520000,227.620000,168.070000,372.920000,62676.664400,1,1,direct,0.317717,10,1,0.076474,0.300000,3,0.200000,51.587600,19.384503,ok,
MP_R_DudukBerdiri_1,movenet,25,0.832297,multi,dim,12,10,0,541.790000,218.110000,163.630000,381.840000,62480.479200,1,1,direct,0.322813,10,2,0.096539,0.100000,1,0.200000,50.708000,19.720754,ok,
MP_R_DudukBerdiri_1,movenet,26,0.865588,multi,dim,12,10,0,543.060000,208.590000,159.200000,390.760000,62208.992000,1,1,direct,0.317950,10,1,0.101317,0.200000,2,0.200000,51.682800,19.348797,ok,
MP_R_DudukBerdiri_1,movenet,27,0.898880,multi,dim,12,11,0,544.320000,199.070000,154.780000,399.690000,61864.018200,1,1,direct,0.192566,11,3,0.030681,0.090909,1,0.200000,49.731000,20.108182,ok,
MP_R_DudukBerdiri_1,movenet,28,0.932172,multi,dim,12,11,0,545.600000,196.140000,146.620000,402.560000,59023.347200,1,1,direct,0.207881,11,2,0.075249,0.181818,2,0.200000,51.589500,19.383789,ok,
MP_R_DudukBerdiri_1,movenet,29,0.965464,multi,dim,12,11,0,546.890000,193.210000,138.450000,405.430000,56131.783500,1,1,direct,0.198398,11,3,0.066913,0.181818,2,0.200000,50.895800,19.647987,ok,
MP_R_DudukBerdiri_1,movenet,30,0.998756,multi,dim,12,11,0,548.170000,189.710000,136.840000,408.880000,55951.139200,1,1,direct,0.224480,11,4,0.087051,0.090909,1,0.200000,48.270600,20.716544,ok,
MP_R_DudukBerdiri_1,movenet,31,1.032048,multi,dim,12,11,0,549.460000,186.050000,136.870000,412.480000,56456.137600,1,1,direct,0.273989,11,4,0.113947,0.181818,2,0.200000,50.935800,19.632557,ok,
MP_R_DudukBerdiri_1,movenet,32,1.065340,multi,dim,12,11,0,550.450000,182.390000,137.190000,416.080000,57082.015200,1,1,direct,0.290228,11,3,0.119364,0.272727,3,0.200000,52.617100,19.005228,ok,
MP_R_DudukBerdiri_1,movenet,33,1.098632,multi,dim,12,11,0,551.000000,179.600000,137.750000,418.820000,57692.455000,1,1,direct,0.286728,11,3,0.113609,0.181818,2,0.200000,49.904500,20.038273,ok,
MP_R_DudukBerdiri_1,movenet,34,1.131923,multi,dim,12,11,0,551.550000,176.610000,138.310000,421.750000,58332.242500,1,1,direct,0.276276,11,3,0.122616,0.181818,2,0.200000,51.981500,19.237613,ok,
MP_R_DudukBerdiri_1,movenet,35,1.165215,multi,dim,12,11,0,552.090000,172.710000,138.870000,425.590000,59101.683300,1,1,direct,0.237864,11,3,0.087218,0.272727,3,0.200000,49.351400,20.262850,ok,
MP_R_DudukBerdiri_1,movenet,36,1.198507,multi,dim,12,11,0,552.640000,168.810000,139.430000,429.440000,59876.819200,1,1,direct,0.247621,11,3,0.104461,0.272727,3,0.200000,51.808300,19.301927,ok,
MP_R_DudukBerdiri_1,movenet,37,1.231799,multi,dim,12,11,0,552.710000,168.540000,140.280000,429.430000,60240.440400,1,1,direct,0.262384,11,4,0.100886,0.181818,2,0.200000,49.613000,20.156007,ok,
MP_R_DudukBerdiri_1,movenet,38,1.265091,multi,dim,12,11,0,552.780000,168.260000,141.130000,429.440000,60606.867200,1,1,direct,0.256764,11,4,0.092853,0.272727,3,0.200000,50.059600,19.976188,ok,
MP_R_DudukBerdiri_1,movenet,39,1.298383,multi,dim,12,11,0,552.840000,167.990000,142.010000,429.440000,60984.774400,1,1,direct,0.237911,11,4,0.087508,0.272727,3,0.200000,51.768300,19.316841,ok,
MP_R_DudukBerdiri_1,movenet,40,1.331675,multi,dim,12,11,0,552.910000,167.720000,143.370000,429.430000,61567.379100,1,1,direct,0.250565,11,3,0.117621,0.272727,3,0.200000,49.025500,20.397548,ok,
MP_R_DudukBerdiri_1,movenet,41,1.364966,multi,dim,12,11,0,552.980000,167.440000,144.530000,429.440000,62066.963200,1,1,direct,0.260431,11,5,0.095685,0.181818,2,0.200000,50.342500,19.863932,ok,
MP_R_DudukBerdiri_1,movenet,42,1.398258,multi,dim,12,11,0,553.050000,167.170000,145.690000,429.440000,62565.113600,1,1,direct,0.252914,11,4,0.101491,0.090909,1,0.200000,49.732000,20.107778,ok,
MP_R_DudukBerdiri_1,movenet,43,1.431550,multi,dim,12,11,0,553.120000,166.900000,146.850000,429.430000,63061.795500,1,1,direct,0.241068,11,4,0.120908,0.363636,4,0.200000,52.427200,19.074068,ok,
MP_R_DudukBerdiri_1,movenet,44,1.464842,multi,dim,12,11,0,553.190000,166.620000,148.010000,429.440000,63561.414400,1,1,direct,0.217358,11,5,0.082375,0.181818,2,0.200000,49.016500,20.401293,ok,
MP_R_DudukBerdiri_1,movenet,45,1.498134,multi,dim,12,11,0,553.430000,167.230000,146.540000,428.830000,62840.748200,1,1,direct,0.216239,11,6,0.081150,0.181818,2,0.200000,49.052100,20.386487,ok,
MP_R_DudukBerdiri_1,movenet,46,1.531426,multi,dim,12,11,0,553.670000,167.840000,145.070000,428.220000,62121.875400,1,1,direct,0.231733,11,3,0.050191,0.181818,2,0.200000,49.316700,20.277107,ok,
MP_R_DudukBerdiri_1,movenet,47,1.564718,multi,dim,12,11,0,553.910000,168.450000,143.600000,427.610000,61404.796000,1,1,direct,0.258255,11,3,0.054715,0.181818,2,0.200000,49.633700,20.147601,ok,
MP_R_DudukBerdiri_1,movenet,48,1.598009,multi,dim,12,11,0,554.160000,169.050000,142.680000,427.010000,60925.786800,1,1,direct,0.275641,11,4,0.096435,0.272727,3,0.200000,47.708100,20.960801,ok,
MP_R_DudukBerdiri_1,movenet,49,1.631301,multi,dim,12,11,0,554.400000,169.660000,142.440000,426.400000,60736.416000,1,1,direct,0.289638,11,3,0.098580,0.272727,3,0.200000,48.042100,20.815077,ok,
MP_R_DudukBerdiri_1,movenet,50,1.664593,multi,dim,12,11,0,554.640000,170.270000,142.200000,425.790000,60547.338000,1,1,direct,0.321004,11,3,0.136482,0.363636,4,0.200000,49.799400,20.080563,ok,
MP_R_DudukBerdiri_1,movenet,51,1.697885,multi,dim,12,11,0,554.890000,170.880000,141.950000,425.180000,60354.301000,1,1,direct,0.308696,11,4,0.131749,0.363636,4,0.200000,50.321200,19.872340,ok,
MP_R_DudukBerdiri_1,movenet,52,1.731177,multi,dim,12,11,0,555.130000,171.480000,141.710000,424.580000,60167.231800,1,1,direct,0.341567,11,3,0.149474,0.454545,5,0.200000,49.083000,20.373653,ok,
MP_R_DudukBerdiri_1,movenet,53,1.764469,multi,dim,12,11,0,555.370000,172.090000,141.470000,423.970000,59979.035900,1,1,direct,0.301561,11,3,0.070167,0.090909,1,0.200000,50.422700,19.832337,ok,
MP_R_DudukBerdiri_1,movenet,54,1.797761,multi,dim,12,11,0,555.370000,172.090000,141.470000,423.970000,59979.035900,1,1,direct,0.294531,11,3,0.043884,0.272727,3,0.200000,49.039700,20.391642,ok,
MP_R_DudukBerdiri_1,movenet,55,1.831053,multi,dim,12,11,0,555.370000,172.090000,141.470000,423.970000,59979.035900,1,1,direct,0.319060,11,3,0.113918,0.272727,3,0.200000,50.912700,19.641465,ok,
MP_R_DudukBerdiri_1,movenet,56,1.864344,multi,dim,12,11,0,555.370000,172.090000,141.470000,423.970000,59979.035900,1,1,direct,0.283403,11,4,0.080125,0.272727,3,0.200000,49.728400,20.109233,ok,
MP_R_DudukBerdiri_1,movenet,57,1.897636,multi,dim,12,11,0,555.370000,172.090000,141.470000,423.970000,59979.035900,1,1,direct,0.290373,11,2,0.116617,0.272727,3,0.200000,50.160600,19.935966,ok,
MP_R_DudukBerdiri_1,movenet,58,1.930928,multi,dim,12,11,0,555.370000,172.090000,141.470000,423.970000,59979.035900,1,1,direct,0.316243,11,2,0.083964,0.272727,3,0.200000,48.914600,20.443794,ok,
MP_R_DudukBerdiri_1,movenet,59,1.964220,multi,dim,12,11,0,555.370000,172.090000,141.470000,423.970000,59979.035900,1,1,direct,0.308572,11,3,0.104817,0.272727,3,0.200000,50.273200,19.891314,ok,
MP_R_DudukBerdiri_1,movenet,60,1.997512,multi,dim,12,11,0,555.370000,172.090000,141.470000,423.970000,59979.035900,1,1,direct,0.303343,11,2,0.114677,0.272727,3,0.200000,49.315900,20.277436,ok,
