video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_Jongkok_1,efficientpose,0,0.000000,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.108020,12,0,0.210914,0.333333,4,0.200000,36.457700,27.429048,ok,
MP_R_Jongkok_1,efficientpose,1,0.040454,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.105989,12,0,0.242153,0.333333,4,0.200000,33.869100,29.525438,ok,
MP_R_Jongkok_1,efficientpose,2,0.080908,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.112830,12,0,0.163555,0.333333,4,0.200000,33.252000,30.073379,ok,
MP_R_Jongkok_1,efficientpose,3,0.121362,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.127735,12,0,0.162673,0.416667,5,0.200000,26.870200,37.215949,ok,
MP_R_Jongkok_1,efficientpose,4,0.161816,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.121939,12,0,0.161301,0.333333,4,0.200000,26.413600,37.859285,ok,
MP_R_Jongkok_1,efficientpose,5,0.202270,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.160183,12,0,0.150903,0.500000,6,0.200000,31.234300,32.016085,ok,
MP_R_Jongkok_1,efficientpose,6,0.242724,multi,dim,12,12,0,592.520000,247.560000,120.500000,399.160000,48098.780000,1,1,direct,0.205144,12,0,0.150735,0.333333,4,0.200000,27.898100,35.844735,ok,
MP_R_Jongkok_1,efficientpose,7,0.283178,multi,dim,12,12,0,591.610000,246.760000,119.600000,400.060000,47847.176000,1,1,direct,0.159569,12,0,0.105911,0.416667,5,0.200000,27.933700,35.799053,ok,
MP_R_Jongkok_1,efficientpose,8,0.323632,multi,dim,12,12,0,590.710000,245.970000,120.370000,400.940000,48261.147800,1,1,direct,0.164746,12,0,0.160461,0.416667,5,0.200000,30.513900,32.771950,ok,
MP_R_Jongkok_1,efficientpose,9,0.364086,multi,dim,12,12,0,589.800000,245.180000,121.280000,401.830000,48733.942400,1,1,direct,0.220420,12,0,0.149224,0.416667,5,0.200000,29.229200,34.212363,ok,
MP_R_Jongkok_1,efficientpose,10,0.404540,multi,dim,12,12,0,588.900000,244.390000,122.180000,402.720000,49204.329600,1,1,direct,0.188967,12,0,0.174357,0.333333,4,0.200000,26.278200,38.054357,ok,
MP_R_Jongkok_1,efficientpose,11,0.444994,multi,dim,12,12,0,584.260000,249.370000,126.820000,397.840000,50454.068800,1,1,direct,0.176499,12,0,0.195999,0.416667,5,0.200000,30.623100,32.655087,ok,
MP_R_Jongkok_1,efficientpose,12,0.485448,multi,dim,12,12,0,576.350000,254.340000,134.730000,392.960000,52943.500800,1,1,direct,0.141375,12,0,0.230532,0.416667,5,0.200000,28.994700,34.489062,ok,
MP_R_Jongkok_1,efficientpose,13,0.525902,multi,dim,12,12,0,568.440000,259.310000,142.640000,388.090000,55357.157600,1,1,direct,0.140124,12,0,0.131341,0.416667,5,0.200000,30.050100,33.277759,ok,
MP_R_Jongkok_1,efficientpose,14,0.566356,multi,dim,12,12,0,560.520000,264.290000,150.560000,383.210000,57696.097600,1,1,direct,0.147631,12,0,0.172558,0.416667,5,0.200000,28.653200,34.900116,ok,
MP_R_Jongkok_1,efficientpose,15,0.606810,multi,dim,12,12,0,552.610000,268.120000,158.470000,379.480000,60136.195600,1,1,direct,0.159741,12,0,0.211234,0.333333,4,0.200000,25.777000,38.794274,ok,
MP_R_Jongkok_1,efficientpose,16,0.647263,multi,dim,12,12,0,548.310000,278.190000,162.770000,369.510000,60145.142700,1,1,direct,0.205704,12,0,0.211263,0.333333,4,0.200000,30.315700,32.986208,ok,
MP_R_Jongkok_1,efficientpose,17,0.687717,multi,dim,12,12,0,544.020000,287.130000,167.060000,360.660000,60251.859600,1,1,direct,0.271941,12,0,0.317234,0.666667,8,0.200000,30.115000,33.206043,ok,
MP_R_Jongkok_1,efficientpose,18,0.728171,multi,dim,12,12,0,539.720000,296.060000,171.360000,351.830000,60289.588800,1,1,direct,0.299338,12,0,0.231201,0.500000,6,0.200000,27.315700,36.608983,ok,
MP_R_Jongkok_1,efficientpose,19,0.768625,multi,dim,12,12,0,535.420000,304.990000,175.660000,343.000000,60251.380000,1,1,direct,0.342339,12,0,0.163217,0.333333,4,0.200000,27.883100,35.864018,ok,
MP_R_Jongkok_1,efficientpose,20,0.809079,multi,dim,12,12,0,531.130000,313.920000,179.950000,334.170000,60133.891500,1,1,direct,0.343105,12,0,0.139325,0.416667,5,0.200000,25.821600,38.727267,ok,
MP_R_Jongkok_1,efficientpose,21,0.849533,multi,dim,12,12,0,529.040000,320.880000,182.040000,327.310000,59583.512400,1,1,direct,0.402305,12,0,0.251714,0.500000,6,0.200000,31.439600,31.807020,ok,
MP_R_Jongkok_1,efficientpose,22,0.889987,multi,dim,12,12,0,526.940000,327.850000,184.140000,320.430000,59003.980200,1,1,direct,0.447660,12,0,0.180503,0.416667,5,0.200000,29.858700,33.491076,ok,
MP_R_Jongkok_1,efficientpose,23,0.930441,multi,dim,12,12,0,524.850000,334.810000,186.230000,313.570000,58396.141100,1,1,direct,0.462047,12,0,0.209511,0.500000,6,0.200000,30.449800,32.840938,ok,
MP_R_Jongkok_1,efficientpose,24,0.970895,multi,dim,12,12,0,522.760000,341.770000,188.320000,306.710000,57759.627200,1,1,direct,0.461348,12,0,0.144098,0.416667,5,0.200000,27.191200,36.776604,ok,
MP_R_Jongkok_1,efficientpose,25,1.011349,multi,dim,12,12,0,520.660000,348.740000,190.420000,299.840000,57095.532800,1,1,direct,0.427846,12,0,0.181066,0.416667,5,0.200000,31.269400,31.980147,ok,
MP_R_Jongkok_1,efficientpose,26,1.051803,multi,dim,12,12,0,519.140000,356.430000,193.790000,292.250000,56635.127500,1,1,direct,0.402769,12,0,0.149723,0.333333,4,0.200000,30.436500,32.855289,ok,
MP_R_Jongkok_1,efficientpose,27,1.092257,multi,dim,12,12,0,517.620000,364.130000,197.640000,284.640000,56256.249600,1,1,direct,0.441002,12,0,0.157732,0.416667,5,0.200000,31.271800,31.977692,ok,
MP_R_Jongkok_1,efficientpose,28,1.132711,multi,dim,12,12,0,516.100000,371.830000,201.500000,277.040000,55823.560000,1,1,direct,0.426783,12,0,0.117607,0.333333,4,0.200000,30.912400,32.349478,ok,
MP_R_Jongkok_1,efficientpose,29,1.173165,multi,dim,12,12,0,514.580000,379.520000,205.350000,269.450000,55331.557500,1,1,direct,0.363083,12,0,0.080004,0.250000,3,0.200000,29.759300,33.602941,ok,
MP_R_Jongkok_1,efficientpose,30,1.213619,multi,dim,12,12,0,513.060000,387.220000,209.210000,261.850000,54781.638500,1,1,direct,0.388177,12,0,0.013684,0.083333,1,0.200000,30.761900,32.507745,ok,
MP_R_Jongkok_1,efficientpose,31,1.254073,multi,dim,12,12,0,513.120000,388.990000,209.150000,260.200000,54420.830000,1,1,direct,0.378463,12,0,0.068979,0.166667,2,0.200000,28.350500,35.272747,ok,
MP_R_Jongkok_1,efficientpose,32,1.294527,multi,dim,12,12,0,513.190000,390.760000,209.080000,258.560000,54059.724800,1,1,direct,0.383672,12,0,0.070852,0.166667,2,0.200000,27.043000,36.978146,ok,
