video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_Jongkok_2,mediapipe,0,0.000000,multi,dim,12,12,0,619.240000,277.780000,103.290000,372.000000,38423.880000,1,1,direct,0.886367,12,2,0.629504,0.833333,10,0.200000,19.201300,52.079807,ok,
MP_R_Jongkok_2,mediapipe,1,0.040453,multi,dim,12,12,0,619.240000,277.650000,103.290000,372.130000,38437.307700,1,1,direct,0.879573,12,2,0.615411,0.833333,10,0.200000,19.295700,51.825018,ok,
MP_R_Jongkok_2,mediapipe,2,0.080907,multi,dim,12,12,0,619.240000,277.520000,103.290000,372.260000,38450.735400,1,1,direct,0.891167,12,1,0.667879,0.916667,11,0.200000,18.621800,53.700502,ok,
MP_R_Jongkok_2,mediapipe,3,0.121360,multi,dim,12,12,0,619.240000,277.390000,103.290000,372.390000,38464.163100,1,1,direct,0.863626,12,2,0.592138,0.833333,10,0.200000,18.438400,54.234641,ok,
MP_R_Jongkok_2,mediapipe,4,0.161814,multi,dim,12,12,0,619.240000,277.250000,103.290000,372.530000,38478.623700,1,1,direct,0.878165,12,2,0.584404,0.833333,10,0.200000,18.460600,54.169420,ok,
MP_R_Jongkok_2,mediapipe,5,0.202267,multi,dim,12,12,0,619.240000,277.120000,103.290000,372.660000,38492.051400,1,1,direct,0.881592,12,1,0.633460,0.916667,11,0.200000,18.405600,54.331290,ok,
MP_R_Jongkok_2,mediapipe,6,0.242720,multi,dim,12,12,0,619.240000,276.990000,103.290000,372.790000,38505.479100,1,1,direct,0.885373,12,2,0.591087,0.833333,10,0.200000,18.407900,54.324502,ok,
MP_R_Jongkok_2,mediapipe,7,0.283174,multi,dim,12,12,0,619.240000,276.860000,103.290000,372.920000,38518.906800,1,1,direct,0.872701,12,2,0.606260,0.833333,10,0.200000,17.997000,55.564816,ok,
MP_R_Jongkok_2,mediapipe,8,0.323627,multi,dim,12,12,0,619.240000,276.730000,103.290000,373.050000,38532.334500,1,1,direct,0.864830,12,2,0.528006,0.750000,9,0.200000,17.742300,56.362478,ok,
MP_R_Jongkok_2,mediapipe,9,0.364081,multi,dim,12,12,0,617.480000,277.330000,104.960000,372.450000,39092.352000,1,1,direct,0.887920,12,2,0.553410,0.833333,10,0.200000,18.163100,55.056681,ok,
