video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_PushUp_1,posenet,0,0.000000,multi,dim,12,9,0,280.350000,202.780000,459.660000,240.740000,110658.548400,1,1,direct,1.000000,9,0,0.536360,0.666667,6,0.200000,1133.491800,0.882230,ok,
MP_R_PushUp_1,posenet,1,0.033522,multi,dim,12,9,0,280.620000,206.440000,461.580000,237.080000,109431.386400,1,1,direct,1.000000,9,0,0.564842,0.666667,6,0.200000,1178.011500,0.848888,ok,
MP_R_PushUp_1,posenet,2,0.067044,multi,dim,12,9,0,280.890000,209.080000,463.510000,234.440000,108665.284400,1,1,direct,1.000000,9,0,0.431396,0.555556,5,0.200000,1078.467300,0.927242,ok,
MP_R_PushUp_1,posenet,3,0.100567,multi,dim,12,9,0,281.160000,211.710000,465.430000,231.810000,107891.328300,1,1,direct,1.000000,9,0,0.439187,0.555556,5,0.200000,1014.780900,0.985434,ok,
MP_R_PushUp_1,posenet,4,0.134089,multi,dim,12,9,0,281.430000,214.350000,467.360000,229.170000,107104.891200,1,1,direct,1.000000,9,0,0.363698,0.555556,5,0.200000,1055.450000,0.947463,ok,
MP_R_PushUp_1,posenet,5,0.167611,multi,dim,12,9,0,281.700000,216.980000,469.280000,226.540000,106310.691200,1,1,direct,1.000000,9,0,0.431689,0.555556,5,0.200000,1071.521500,0.933252,ok,
MP_R_PushUp_1,posenet,6,0.201133,multi,dim,12,9,0,281.970000,224.590000,471.210000,218.930000,103162.005300,1,1,direct,1.000000,9,0,0.525419,0.666667,6,0.200000,1000.121400,0.999879,ok,
MP_R_PushUp_1,posenet,7,0.234656,multi,dim,12,9,0,282.230000,232.200000,473.150000,211.320000,99986.058000,1,1,direct,1.000000,9,0,0.495910,0.666667,6,0.200000,1017.470500,0.982829,ok,
MP_R_PushUp_1,posenet,8,0.268178,multi,dim,12,8,0,282.500000,239.820000,453.690000,203.700000,92416.653000,1,1,direct,1.000000,8,0,0.547535,0.625000,5,0.200000,1072.665300,0.932257,ok,
MP_R_PushUp_1,posenet,9,0.301700,multi,dim,12,8,0,282.770000,247.430000,453.420000,196.090000,88911.127800,1,1,direct,1.000000,8,0,0.477650,0.625000,5,0.200000,1068.923800,0.935520,ok,
