video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_PushUp_1,yolopose,0,0.000000,multi,dim,12,9,0,280.350000,202.780000,459.660000,240.740000,110658.548400,1,1,direct,0.494642,9,0,0.593030,0.777778,7,0.200000,42.024300,23.795756,ok,
MP_R_PushUp_1,yolopose,1,0.033522,multi,dim,12,9,0,280.620000,206.440000,461.580000,237.080000,109431.386400,1,1,direct,0.528081,9,0,0.594381,0.777778,7,0.200000,31.894200,31.353663,ok,
MP_R_PushUp_1,yolopose,2,0.067044,multi,dim,12,9,0,280.890000,209.080000,463.510000,234.440000,108665.284400,2,1,gt_bbox_iou,0.524284,9,0,0.595351,0.777778,7,0.200000,27.874100,35.875598,ok,
MP_R_PushUp_1,yolopose,3,0.100567,multi,dim,12,9,0,281.160000,211.710000,465.430000,231.810000,107891.328300,2,1,gt_bbox_iou,0.463994,9,0,0.613711,0.777778,7,0.200000,23.576500,42.415117,ok,
MP_R_PushUp_1,yolopose,4,0.134089,multi,dim,12,9,0,281.430000,214.350000,467.360000,229.170000,107104.891200,2,1,gt_bbox_iou,0.521573,9,0,0.613957,0.888889,8,0.200000,23.068100,43.349907,ok,
MP_R_PushUp_1,yolopose,5,0.167611,multi,dim,12,9,0,281.700000,216.980000,469.280000,226.540000,106310.691200,2,1,gt_bbox_iou,0.500951,9,0,0.633092,0.777778,7,0.200000,27.891600,35.853088,ok,
MP_R_PushUp_1,yolopose,6,0.201133,multi,dim,12,9,0,281.970000,224.590000,471.210000,218.930000,103162.005300,2,1,gt_bbox_iou,0.581611,9,0,0.629282,0.777778,7,0.200000,24.796600,40.328109,ok,
MP_R_PushUp_1,yolopose,7,0.234656,multi,dim,12,9,0,282.230000,232.200000,473.150000,211.320000,99986.058000,1,1,direct,0.688554,9,0,0.583554,0.888889,8,0.200000,22.868400,43.728464,ok,
MP_R_PushUp_1,yolopose,8,0.268178,multi,dim,12,8,0,282.500000,239.820000,453.690000,203.700000,92416.653000,2,1,gt_bbox_iou,0.642291,8,0,0.501524,0.750000,6,0.200000,23.675400,42.237935,ok,
MP_R_PushUp_1,yolopose,9,0.301700,multi,dim,12,8,0,282.770000,247.430000,453.420000,196.090000,88911.127800,2,1,gt_bbox_iou,0.707116,8,0,0.474416,0.750000,6,0.200000,26.725100,37.418008,ok,
MP_R_PushUp_1,yolopose,10,0.335222,multi,dim,12,8,0,283.040000,255.040000,453.150000,188.480000,85409.712000,2,1,gt_bbox_iou,0.461388,8,0,0.499862,0.750000,6,0.200000,25.122600,39.804797,ok,
MP_R_PushUp_1,yolopose,11,0.368745,multi,dim,12,8,0,283.310000,265.290000,452.880000,178.230000,80716.802400,2,1,gt_bbox_iou,0.715516,8,0,0.538010,0.750000,6,0.200000,26.574200,37.630484,ok,
MP_R_PushUp_1,yolopose,12,0.402267,multi,dim,12,8,0,283.580000,275.540000,452.610000,167.980000,76029.427800,2,1,gt_bbox_iou,0.692482,8,0,0.463403,0.750000,6,0.200000,27.921100,35.815208,ok,
MP_R_PushUp_1,yolopose,13,0.435789,multi,dim,12,8,0,283.850000,285.780000,452.340000,157.740000,71352.111600,2,1,gt_bbox_iou,0.658509,8,0,0.472004,0.750000,6,0.200000,23.855700,41.918703,ok,
MP_R_PushUp_1,yolopose,14,0.469311,multi,dim,12,8,0,284.120000,296.030000,452.070000,147.490000,66675.804300,2,1,gt_bbox_iou,0.591061,8,0,0.375584,0.750000,6,0.200000,24.174700,41.365560,ok,
MP_R_PushUp_1,yolopose,15,0.502834,multi,dim,12,7,0,284.390000,307.740000,451.800000,135.780000,61345.404000,3,1,gt_bbox_iou,0.423830,7,0,0.454124,0.714286,5,0.200000,24.219500,41.289044,ok,
MP_R_PushUp_1,yolopose,16,0.536356,multi,dim,12,7,0,284.660000,319.450000,451.530000,124.070000,56021.327100,2,1,gt_bbox_iou,0.398524,7,0,0.566266,0.714286,5,0.200000,28.165400,35.504555,ok,
MP_R_PushUp_1,yolopose,17,0.569878,multi,dim,12,7,0,284.930000,327.350000,451.610000,116.170000,52463.533700,2,1,gt_bbox_iou,0.696506,7,0,0.409769,0.857143,6,0.200000,32.540700,30.730746,ok,
MP_R_PushUp_1,yolopose,18,0.603400,multi,dim,12,7,0,285.200000,331.600000,459.390000,111.920000,51414.928800,2,1,gt_bbox_iou,0.302916,7,0,0.423431,0.714286,5,0.200000,29.463900,33.939838,ok,
MP_R_PushUp_1,yolopose,19,0.636923,multi,dim,12,6,0,285.470000,335.840000,464.250000,107.680000,49990.440000,1,1,direct,0.615400,6,0,0.114007,0.166667,1,0.200000,28.648900,34.905354,ok,
MP_R_PushUp_1,yolopose,20,0.670445,multi,dim,12,6,0,285.470000,338.770000,464.540000,104.750000,48660.565000,2,1,gt_bbox_iou,0.549035,6,0,0.549648,0.666667,4,0.200000,27.748000,36.038633,ok,
MP_R_PushUp_1,yolopose,21,0.703967,multi,dim,12,6,0,285.470000,341.700000,464.830000,101.820000,47328.990600,3,1,gt_bbox_iou,0.305908,6,0,0.171362,0.333333,2,0.200000,27.185800,36.783909,ok,
MP_R_PushUp_1,yolopose,22,0.737489,multi,dim,12,6,0,285.470000,344.630000,465.120000,98.890000,45995.716800,2,1,gt_bbox_iou,0.439896,6,0,0.102519,0.166667,1,0.200000,23.892400,41.854314,ok,
MP_R_PushUp_1,yolopose,23,0.771012,multi,dim,12,6,0,285.470000,347.550000,465.420000,95.970000,44666.357400,3,1,gt_bbox_iou,0.289982,6,0,0.414510,0.666667,4,0.200000,25.936800,38.555257,ok,
MP_R_PushUp_1,yolopose,24,0.804534,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,2,1,gt_bbox_iou,0.325008,6,0,0.093461,0.166667,1,0.200000,25.827100,38.719020,ok,
MP_R_PushUp_1,yolopose,25,0.838056,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.376215,6,0,0.077659,0.166667,1,0.200000,27.331600,36.587686,ok,
MP_R_PushUp_1,yolopose,26,0.871578,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.393459,6,0,0.182454,0.500000,3,0.200000,26.522800,37.703410,ok,
MP_R_PushUp_1,yolopose,27,0.905101,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.345953,6,0,0.042572,0.166667,1,0.200000,26.467500,37.782186,ok,
MP_R_PushUp_1,yolopose,28,0.938623,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.267334,6,0,0.058535,0.166667,1,0.200000,27.823800,35.940454,ok,
MP_R_PushUp_1,yolopose,29,0.972145,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.349386,6,0,0.031869,0.166667,1,0.200000,24.258500,41.222664,ok,
MP_R_PushUp_1,yolopose,30,1.005667,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.280628,6,0,0.023255,0.000000,0,0.200000,27.865800,35.886284,ok,
MP_R_PushUp_1,yolopose,31,1.039190,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,2,1,gt_bbox_iou,0.527369,6,0,0.079401,0.333333,2,0.200000,24.083700,41.521859,ok,
MP_R_PushUp_1,yolopose,32,1.072712,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.350719,6,0,0.021795,0.000000,0,0.200000,26.720900,37.423889,ok,
MP_R_PushUp_1,yolopose,33,1.106234,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.380213,6,0,0.015206,0.000000,0,0.200000,24.115000,41.467966,ok,
MP_R_PushUp_1,yolopose,34,1.139756,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.255248,6,0,0.004610,0.000000,0,0.200000,26.412200,37.861291,ok,
MP_R_PushUp_1,yolopose,35,1.173279,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,3,1,gt_bbox_iou,0.389416,6,0,0.012596,0.000000,0,0.200000,28.966300,34.522877,ok,
