video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,753.333313,166.666672,,,,0.026000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,753.333313,153.333328,,,,0.025000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,766.666687,153.333328,,,,0.025000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,753.333313,166.666672,,,,0.035000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,740.000000,153.333328,,,,0.035000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,5,left_shoulder,1,0,0.000000,719.820000,225.050000,2.000000,713.333313,220.000000,,,,0.079000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,6,right_shoulder,1,1,2.000000,714.630000,222.230000,2.000000,673.333313,220.000000,41.356853,48.834091,1,0.079000,0.100420
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,7,left_elbow,1,0,0.000000,708.870000,313.110000,2.000000,686.666687,313.333344,,,,0.072000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,8,right_elbow,1,1,2.000000,703.300000,324.910000,2.000000,673.333313,353.333344,41.302407,48.834091,1,0.072000,0.063308
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,9,left_wrist,1,0,0.000000,712.610000,382.080000,2.000000,726.666687,393.333344,,,,0.062000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,10,right_wrist,1,1,2.000000,711.410000,422.860000,2.000000,713.333313,406.666656,16.307161,48.834091,1,0.062000,0.559802
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,11,left_hip,1,0,0.000000,530.490000,326.450000,2.000000,620.000000,353.333344,,,,0.107000,
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,12,right_hip,1,1,2.000000,578.620000,331.590000,2.000000,566.666687,340.000000,14.615396,48.834091,1,0.107000,0.855155
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,13,left_knee,1,1,2.000000,482.090000,362.520000,2.000000,513.333313,300.000000,69.892024,48.834091,0,0.087000,0.004460
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,14,right_knee,1,1,2.000000,464.170000,404.420000,2.000000,486.666656,393.333344,25.080142,48.834091,1,0.087000,0.498099
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,15,left_ankle,1,1,2.000000,450.400000,276.280000,2.000000,446.666656,353.333344,77.143733,48.834091,0,0.089000,0.001835
MP_R_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.577488,16,right_ankle,1,1,2.000000,417.470000,279.460000,2.000000,473.333344,286.666656,56.326273,48.834091,0,0.089000,0.034766
MP_R_PushUp_2,efficientpose,1,0.039696,ok,1,direct,0.582487,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,753.333313,166.666672,,,,0.026000,
