video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,0,nose,1,1,2.000000,637.320000,240.640000,2.000000,366.666656,300.000000,277.086344,45.301786,0,0.026000,0.000000
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,606.666687,233.333328,,,,0.025000,
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,326.666656,326.666656,,,,0.025000,
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,366.666656,286.666656,,,,0.035000,
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,566.666687,246.666672,,,,0.035000,
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,5,left_shoulder,1,1,2.000000,687.850000,295.360000,2.000000,500.000000,326.666656,190.440881,45.301786,0,0.079000,0.000000
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,6,right_shoulder,1,1,2.000000,590.530000,296.150000,2.000000,500.000000,300.000000,90.611828,45.301786,0,0.079000,0.000003
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,7,left_elbow,1,1,2.000000,700.020000,370.260000,2.000000,500.000000,366.666656,200.052274,45.301786,0,0.072000,0.000000
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,8,right_elbow,1,1,2.000000,579.980000,371.060000,2.000000,593.333313,286.666656,85.443241,45.301786,0,0.072000,0.000001
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,9,left_wrist,1,1,2.000000,693.550000,446.620000,2.000000,646.666687,273.333344,179.516880,45.301786,0,0.062000,0.000000
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,10,right_wrist,1,1,2.000000,586.720000,451.740000,2.000000,633.333313,273.333344,184.395597,45.301786,0,0.062000,0.000000
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,11,left_hip,1,1,2.000000,668.700000,435.550000,2.000000,620.000000,406.666656,56.620999,45.301786,0,0.107000,0.065291
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,12,right_hip,1,1,2.000000,616.640000,437.310000,2.000000,633.333313,393.333344,47.038421,45.301786,0,0.107000,0.152076
MP_R_Yoga_1,efficientpose,0,0.000000,ok,1,direct,0.300532,13,left_knee,1,1,2.000000,672.860000,552.140000,2.000000,633.333313,566.666687,42.111562,45.301786,1,0.087000,0.101947
