video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_Yoga_1,movenet,0,0.000000,multi,dim,13,13,0,579.980000,240.640000,120.040000,427.410000,51306.296400,1,1,direct,0.143127,13,11,0.095662,0.153846,2,0.200000,52.653400,18.992126,ok,
MP_R_Yoga_1,movenet,1,0.033264,multi,dim,13,13,0,579.870000,240.680000,120.490000,427.280000,51482.967200,1,1,direct,0.146689,13,11,0.121421,0.153846,2,0.200000,51.540000,19.402406,ok,
MP_R_Yoga_1,movenet,2,0.066529,multi,dim,13,13,0,579.760000,240.720000,120.940000,427.150000,51659.521000,1,1,direct,0.140334,13,11,0.118339,0.153846,2,0.200000,52.280800,19.127481,ok,
MP_R_Yoga_1,movenet,3,0.099793,multi,dim,13,13,0,579.650000,240.760000,121.390000,427.020000,51835.957800,1,1,direct,0.146480,13,11,0.111165,0.153846,2,0.200000,48.976100,20.418122,ok,
MP_R_Yoga_1,movenet,4,0.133057,multi,dim,13,13,0,579.540000,240.800000,121.830000,426.880000,52006.790400,1,1,direct,0.150777,13,9,0.131883,0.230769,3,0.200000,50.440500,19.825339,ok,
MP_R_Yoga_1,movenet,5,0.166321,multi,dim,13,13,0,579.430000,240.840000,122.280000,426.750000,52182.990000,1,1,direct,0.150412,13,9,0.062935,0.153846,2,0.200000,48.727300,20.522377,ok,
MP_R_Yoga_1,movenet,6,0.199586,multi,dim,13,13,0,579.320000,240.880000,122.730000,426.620000,52359.072600,1,1,direct,0.157868,13,9,0.134423,0.230769,3,0.200000,50.143500,19.942764,ok,
MP_R_Yoga_1,movenet,7,0.232850,multi,dim,13,13,0,579.210000,240.920000,123.180000,426.490000,52535.038200,1,1,direct,0.154871,13,9,0.120720,0.230769,3,0.200000,50.033100,19.986769,ok,
MP_R_Yoga_1,movenet,8,0.266114,multi,dim,13,13,0,579.100000,240.960000,123.620000,426.360000,52706.623200,1,1,direct,0.137437,13,12,0.000214,0.000000,0,0.200000,48.520800,20.609718,ok,
MP_R_Yoga_1,movenet,9,0.299378,multi,dim,13,13,0,578.990000,241.010000,124.070000,426.390000,52902.207300,1,1,direct,0.132745,13,11,0.065700,0.153846,2,0.200000,50.022100,19.991164,ok,
