video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,0,nose,1,1,2.000000,637.320000,240.640000,2.000000,641.004150,250.274475,10.314847,45.301786,1,0.026000,0.215707
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,651.620544,241.669678,,,,0.025000,
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,631.966675,240.690552,,,,0.025000,
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,665.728943,245.612976,,,,0.035000,
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,616.270264,243.283600,,,,0.035000,
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,5,left_shoulder,1,1,2.000000,687.850000,295.360000,2.000000,682.487549,302.693237,9.084726,45.301786,1,0.079000,0.879084
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,6,right_shoulder,1,1,2.000000,590.530000,296.150000,2.000000,595.960754,299.475311,6.367950,45.301786,1,0.079000,0.938643
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,7,left_elbow,1,1,2.000000,700.020000,370.260000,2.000000,697.398560,379.043701,9.166535,45.301786,1,0.072000,0.853885
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,8,right_elbow,1,1,2.000000,579.980000,371.060000,2.000000,574.639587,371.616913,5.369372,45.301786,1,0.072000,0.947245
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,9,left_wrist,1,1,2.000000,693.550000,446.620000,2.000000,678.735596,437.144531,17.585536,45.301786,1,0.062000,0.456567
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,10,right_wrist,1,1,2.000000,586.720000,451.740000,2.000000,596.464844,435.786713,18.694100,45.301786,1,0.062000,0.412309
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,11,left_hip,1,1,2.000000,668.700000,435.550000,2.000000,670.220337,448.398224,12.937862,45.301786,1,0.107000,0.867204
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,12,right_hip,1,1,2.000000,616.640000,437.310000,2.000000,613.121399,447.577515,10.853682,45.301786,1,0.107000,0.904590
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,13,left_knee,1,1,2.000000,672.860000,552.140000,2.000000,673.174194,555.191528,3.067661,45.301786,1,0.087000,0.987957
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,14,right_knee,1,1,2.000000,619.570000,549.670000,2.000000,617.087708,555.709106,6.529363,45.301786,1,0.087000,0.946588
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,15,left_ankle,1,1,2.000000,679.220000,668.050000,2.000000,670.188354,657.639893,13.781907,45.301786,1,0.089000,0.791608
MP_R_Yoga_1,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.795256,16,right_ankle,1,1,2.000000,625.220000,666.630000,2.000000,620.467712,659.548157,8.528584,45.301786,1,0.089000,0.914398
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,0,nose,1,1,2.000000,637.430000,240.680000,2.000000,640.873779,250.278992,10.198052,45.379717,1,0.026000,0.224439
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,651.557190,241.676056,,,,0.025000,
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,631.813599,240.618225,,,,0.025000,
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,665.579529,245.560364,,,,0.035000,
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,615.934814,243.001709,,,,0.035000,
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,5,left_shoulder,1,1,2.000000,687.970000,295.440000,2.000000,682.429382,302.679382,9.116310,45.379717,1,0.079000,0.878686
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,6,right_shoulder,1,1,2.000000,590.640000,296.190000,2.000000,594.833618,299.088348,5.097731,45.379717,1,0.079000,0.960367
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,7,left_elbow,1,1,2.000000,700.360000,370.050000,2.000000,697.656799,378.662109,9.026390,45.379717,1,0.072000,0.858438
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,8,right_elbow,1,1,2.000000,579.870000,371.150000,2.000000,572.041138,370.838989,7.835038,45.379717,1,0.072000,0.891360
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,9,left_wrist,1,1,2.000000,694.120000,446.710000,2.000000,679.251770,435.056366,18.891041,45.379717,1,0.062000,0.405902
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,10,right_wrist,1,1,2.000000,587.020000,451.260000,2.000000,594.285461,434.487396,18.278599,45.379717,1,0.062000,0.429932
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,11,left_hip,1,1,2.000000,668.760000,435.550000,2.000000,670.877197,448.700409,13.319751,45.379717,1,0.107000,0.860279
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,12,right_hip,1,1,2.000000,616.760000,437.300000,2.000000,613.057678,447.881073,11.210098,45.379717,1,0.107000,0.898885
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,13,left_knee,1,1,2.000000,672.880000,552.140000,2.000000,674.203491,555.474670,3.587709,45.379717,1,0.087000,0.983620
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,14,right_knee,1,1,2.000000,619.680000,549.710000,2.000000,616.934814,556.119995,6.973097,45.379717,1,0.087000,0.939516
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,15,left_ankle,1,1,2.000000,679.320000,667.960000,2.000000,671.834900,658.102539,12.377248,45.379717,1,0.089000,0.828752
MP_R_Yoga_1,yolopose,1,0.033264,ok,1,gt_bbox_iou,0.798981,16,right_ankle,1,1,2.000000,625.340000,666.610000,2.000000,620.714050,660.476562,7.682348,45.379717,1,0.089000,0.930194
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,0,nose,1,1,2.000000,637.540000,240.720000,2.000000,639.797668,250.149780,9.696279,45.457462,1,0.026000,0.260249
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,650.480530,241.754517,,,,0.025000,
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,630.848206,240.602600,,,,0.025000,
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,664.687866,245.830383,,,,0.035000,
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,615.249390,243.164917,,,,0.035000,
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,5,left_shoulder,1,1,2.000000,688.090000,295.520000,2.000000,680.748657,302.481720,10.117354,45.457462,1,0.079000,0.853214
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,6,right_shoulder,1,1,2.000000,590.750000,296.240000,2.000000,595.742188,299.440918,5.930246,45.457462,1,0.079000,0.946921
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,7,left_elbow,1,1,2.000000,700.700000,369.830000,2.000000,694.807983,378.159210,10.202529,45.457462,1,0.072000,0.823375
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,8,right_elbow,1,1,2.000000,579.760000,371.240000,2.000000,574.638306,372.804443,5.355300,45.457462,1,0.072000,0.947863
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,9,left_wrist,1,1,2.000000,694.690000,446.810000,2.000000,675.235107,435.922791,22.294039,45.457462,1,0.062000,0.286089
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,10,right_wrist,1,1,2.000000,587.320000,450.770000,2.000000,592.688965,440.197083,11.858009,45.457462,1,0.062000,0.701843
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,11,left_hip,1,1,2.000000,668.830000,435.550000,2.000000,669.226929,447.429779,11.886408,45.457462,1,0.107000,0.887416
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,12,right_hip,1,1,2.000000,616.890000,437.280000,2.000000,613.096985,446.514984,9.983581,45.457462,1,0.107000,0.919192
MP_R_Yoga_1,yolopose,2,0.066529,ok,1,gt_bbox_iou,0.815246,13,left_knee,1,1,2.000000,672.900000,552.140000,2.000000,672.067871,555.567566,3.527130,45.457462,1,0.087000,0.984218
