video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,0,nose,1,1,2.000000,656.350000,223.420000,2.000000,423.230835,209.513702,233.533574,47.839590,0,0.026000,0.000000
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,420.955688,200.697495,,,,0.025000,
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,409.662354,201.405792,,,,0.025000,
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,3,left_ear,0,0,0.000000,0.000000,0.000000,0.000000,536.510742,200.166092,,,,0.035000,
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,411.862854,201.194382,,,,0.035000,
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,5,left_shoulder,1,1,2.000000,703.240000,275.520000,2.000000,606.524414,247.402008,100.720038,47.839590,0,0.079000,0.000001
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,6,right_shoulder,1,1,2.000000,611.450000,288.630000,2.000000,463.293152,255.933044,151.721925,47.839590,0,0.079000,0.000000
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,7,left_elbow,1,1,2.000000,729.520000,347.540000,2.000000,675.678162,324.140991,58.706534,47.839590,0,0.072000,0.002998
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,8,right_elbow,1,1,2.000000,600.790000,358.480000,2.000000,430.525787,330.636749,172.525791,47.839590,0,0.072000,0.000000
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,9,left_wrist,1,1,2.000000,735.580000,416.350000,2.000000,677.624268,387.392395,64.787420,47.839590,0,0.062000,0.000072
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,10,right_wrist,1,1,2.000000,606.800000,423.020000,2.000000,435.933075,354.073090,184.253039,47.839590,0,0.062000,0.000000
MP_R_Yoga_2,movenet,0,0.000000,ok,1,direct,0.371129,11,left_hip,1,1,2.000000,698.580000,404.490000,2.000000,628.287231,421.234955,72.259718,47.839590,0,0.107000,0.018584
