video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,633.333313,233.333328,,,,0.026000,
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,646.666687,233.333328,,,,0.025000,
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,633.333313,220.000000,,,,0.025000,
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,660.000000,233.333328,,,,0.035000,
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,593.333313,220.000000,,,,0.035000,
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,5,left_shoulder,1,1,2.000000,661.370000,306.500000,2.000000,673.333313,300.000000,13.615097,49.224543,1,0.079000,0.782577
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,6,right_shoulder,1,1,2.000000,560.180000,299.590000,2.000000,566.666687,286.666656,14.459942,49.224543,1,0.079000,0.758409
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,7,left_elbow,1,1,2.000000,669.790000,383.650000,2.000000,700.000000,353.333344,42.798876,49.224543,1,0.072000,0.054121
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,8,right_elbow,1,1,2.000000,523.050000,386.000000,2.000000,526.666687,393.333344,8.176696,49.224543,1,0.072000,0.899017
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,9,left_wrist,1,1,2.000000,702.260000,434.770000,2.000000,673.333313,406.666656,40.330524,49.224543,1,0.062000,0.030421
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,10,right_wrist,1,1,2.000000,570.990000,443.450000,2.000000,606.666687,433.333344,37.083322,49.224543,1,0.062000,0.052191
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,11,left_hip,1,1,2.000000,623.790000,431.200000,2.000000,646.666687,420.000000,25.471215,49.224543,1,0.107000,0.626421
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,12,right_hip,1,1,2.000000,539.410000,423.650000,2.000000,566.666687,446.666656,35.674830,49.224543,1,0.107000,0.399502
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,13,left_knee,1,1,2.000000,714.960000,473.990000,2.000000,686.666687,460.000000,31.563138,49.224543,1,0.087000,0.337430
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,14,right_knee,1,0,0.000000,578.650000,485.960000,2.000000,633.333313,473.333344,,,,0.087000,
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,15,left_ankle,1,1,2.000000,665.590000,602.820000,2.000000,766.666687,566.666687,107.347840,49.224543,0,0.089000,0.000006
MP_T_DudukBerdiri_1,efficientpose,0,0.000000,ok,1,direct,0.522142,16,right_ankle,1,1,2.000000,577.830000,615.240000,2.000000,700.000000,553.333313,136.959654,49.224543,0,0.089000,0.000000
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,633.333313,220.000000,,,,0.026000,
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,646.666687,220.000000,,,,0.025000,
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,620.000000,206.666672,,,,0.025000,
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,660.000000,220.000000,,,,0.035000,
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,606.666687,206.666672,,,,0.035000,
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,5,left_shoulder,1,1,2.000000,664.880000,301.820000,2.000000,660.000000,286.666656,15.919743,48.803936,1,0.079000,0.711068
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,6,right_shoulder,1,1,2.000000,561.210000,293.580000,2.000000,566.666687,273.333344,20.969085,48.803936,1,0.079000,0.553443
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,7,left_elbow,1,1,2.000000,672.870000,381.010000,2.000000,686.666687,353.333344,30.924843,48.803936,1,0.072000,0.212446
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,8,right_elbow,1,1,2.000000,527.750000,382.090000,2.000000,540.000000,380.000000,12.427011,48.803936,1,0.072000,0.778689
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,9,left_wrist,1,1,2.000000,702.850000,434.040000,2.000000,713.333313,380.000000,55.047447,48.803936,0,0.062000,0.001334
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,10,right_wrist,1,1,2.000000,572.630000,442.460000,2.000000,566.666687,420.000000,23.238173,48.803936,1,0.062000,0.307397
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,11,left_hip,1,1,2.000000,624.530000,424.020000,2.000000,620.000000,393.333344,31.019216,48.803936,1,0.107000,0.493767
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,12,right_hip,1,1,2.000000,541.160000,416.480000,2.000000,540.000000,420.000000,3.706211,48.803936,1,0.107000,0.989976
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,13,left_knee,1,1,2.000000,712.910000,472.380000,2.000000,686.666687,460.000000,29.016821,48.803936,1,0.087000,0.392949
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,14,right_knee,1,0,0.000000,579.970000,482.450000,2.000000,660.000000,473.333344,,,,0.087000,
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,15,left_ankle,1,1,2.000000,665.590000,602.820000,2.000000,740.000000,526.666687,106.471476,48.803936,0,0.089000,0.000006
MP_T_DudukBerdiri_1,efficientpose,1,0.033244,ok,1,direct,0.412480,16,right_ankle,1,1,2.000000,577.830000,615.170000,2.000000,740.000000,553.333313,173.559456,48.803936,0,0.089000,0.000000
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,633.333313,220.000000,,,,0.026000,
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,646.666687,206.666672,,,,0.025000,
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,620.000000,206.666672,,,,0.025000,
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,660.000000,220.000000,,,,0.035000,
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,606.666687,206.666672,,,,0.035000,
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,5,left_shoulder,1,1,2.000000,668.390000,297.130000,2.000000,673.333313,286.666656,11.572290,48.345035,1,0.079000,0.832255
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,6,right_shoulder,1,1,2.000000,562.230000,287.580000,2.000000,566.666687,273.333344,14.921508,48.345035,1,0.079000,0.736917
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,7,left_elbow,1,1,2.000000,675.940000,378.380000,2.000000,686.666687,353.333344,27.246960,48.345035,1,0.072000,0.293624
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,8,right_elbow,1,1,2.000000,532.450000,378.180000,2.000000,540.000000,366.666656,13.768064,48.345035,1,0.072000,0.731322
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,9,left_wrist,1,1,2.000000,703.430000,433.310000,2.000000,700.000000,393.333344,40.123534,48.345035,1,0.062000,0.027771
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,10,right_wrist,1,1,2.000000,574.270000,441.480000,2.000000,606.666687,433.333344,33.405289,48.345035,1,0.062000,0.083399
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,11,left_hip,1,1,2.000000,625.260000,416.850000,2.000000,633.333313,393.333344,24.863860,48.345035,1,0.107000,0.629986
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,12,right_hip,1,1,2.000000,542.920000,409.300000,2.000000,566.666687,406.666656,23.892251,48.345035,1,0.107000,0.652691
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,13,left_knee,1,1,2.000000,710.860000,470.770000,2.000000,673.333313,460.000000,39.041582,48.345035,1,0.087000,0.178489
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,14,right_knee,1,0,0.000000,581.290000,478.940000,2.000000,646.666687,473.333344,,,,0.087000,
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,15,left_ankle,1,1,2.000000,665.590000,602.820000,2.000000,753.333313,566.666687,94.899689,48.345035,0,0.089000,0.000060
MP_T_DudukBerdiri_1,efficientpose,2,0.066487,ok,1,direct,0.418580,16,right_ankle,1,1,2.000000,577.830000,615.090000,2.000000,753.333313,566.666687,182.061061,48.345035,0,0.089000,0.000000
MP_T_DudukBerdiri_1,efficientpose,3,0.099731,ok,1,direct,0.365191,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,633.333313,206.666672,,,,0.026000,
MP_T_DudukBerdiri_1,efficientpose,3,0.099731,ok,1,direct,0.365191,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,646.666687,206.666672,,,,0.025000,
