video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,561.433777,247.486801,,,,0.026000,
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,573.676636,239.324905,,,,0.025000,
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,553.271851,239.324905,,,,0.025000,
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,585.919434,247.486801,,,,0.035000,
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,541.029053,247.486801,,,,0.035000,
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,5,left_shoulder,1,1,2.000000,615.660000,315.440000,2.000000,610.405151,304.620056,12.028492,37.970146,1,0.079000,0.724989
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,6,right_shoulder,1,1,2.000000,516.860000,308.940000,2.000000,516.543335,308.701019,0.396722,37.970146,1,0.079000,0.999650
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,7,left_elbow,1,1,2.000000,625.180000,375.900000,2.000000,622.648010,378.077148,3.339303,37.970146,1,0.072000,0.970601
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,8,right_elbow,1,1,2.000000,510.180000,383.220000,2.000000,508.381439,373.996185,9.397530,37.970146,1,0.072000,0.789525
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,9,left_wrist,1,1,2.000000,594.050000,424.310000,2.000000,590.000427,418.886627,6.768457,37.970146,1,0.062000,0.847617
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,10,right_wrist,1,1,2.000000,545.890000,425.500000,2.000000,536.948059,418.886627,11.121826,37.970146,1,0.062000,0.639934
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,11,left_hip,1,1,2.000000,616.480000,417.340000,2.000000,602.243225,427.048523,17.231981,37.970146,1,0.107000,0.697823
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,12,right_hip,1,1,2.000000,526.100000,427.850000,2.000000,536.948059,435.210419,13.109392,37.970146,1,0.107000,0.812020
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,13,left_knee,1,1,2.000000,593.660000,466.450000,2.000000,598.162292,467.858002,4.717320,37.970146,1,0.087000,0.960036
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,14,right_knee,1,1,2.000000,540.070000,473.890000,2.000000,516.543335,471.938934,23.607427,37.970146,1,0.087000,0.360083
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,15,left_ankle,1,1,2.000000,594.810000,622.360000,2.000000,590.000427,606.610229,16.467764,37.970146,1,0.089000,0.621925
MP_T_DudukBerdiri_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.863415,16,right_ankle,1,1,2.000000,557.620000,620.110000,2.000000,553.271851,614.772156,6.884692,37.970146,1,0.089000,0.920341
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,561.723694,247.452545,,,,0.026000,
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,573.997681,239.269867,,,,0.025000,
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,553.541016,239.269867,,,,0.025000,
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,586.271667,247.452545,,,,0.035000,
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,537.175659,247.452545,,,,0.035000,
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,5,left_shoulder,1,1,2.000000,615.030000,314.240000,2.000000,610.819702,300.639862,14.236936,38.058930,1,0.079000,0.638629
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,6,right_shoulder,1,1,2.000000,516.860000,308.760000,2.000000,516.718994,304.731201,4.031266,38.058930,1,0.079000,0.964685
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,7,left_elbow,1,1,2.000000,625.460000,376.280000,2.000000,623.093689,378.375183,3.160573,38.058930,1,0.072000,0.973745
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,8,right_elbow,1,1,2.000000,509.940000,383.700000,2.000000,508.536346,374.283844,9.520202,38.058930,1,0.072000,0.785524
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,9,left_wrist,1,1,2.000000,594.520000,424.360000,2.000000,590.363037,419.288513,6.557463,38.058930,1,0.062000,0.856881
MP_T_DudukBerdiri_2,alphapose,1,0.033044,ok,1,gt_bbox_iou,2.861437,10,right_wrist,1,1,2.000000,545.240000,425.410000,2.000000,537.175659,419.288513,10.124534,38.058930,1,0.062000,0.691979
