video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_DudukBerdiri_2,blazepose,0,0.000000,multi,bright,12,12,0,510.180000,308.940000,115.000000,313.420000,36043.300000,1,1,direct,0.628711,12,6,0.006919,0.083333,1,0.200000,27.997500,35.717475,ok,
MP_T_DudukBerdiri_2,blazepose,1,0.033044,multi,bright,12,12,0,509.940000,308.760000,115.520000,313.470000,36212.054400,1,1,direct,0.654181,12,6,0.006740,0.083333,1,0.200000,26.722200,37.422069,ok,
MP_T_DudukBerdiri_2,blazepose,2,0.066088,multi,bright,12,12,0,509.700000,308.580000,116.040000,313.510000,36379.700400,1,1,direct,0.626767,12,6,0.015940,0.083333,1,0.200000,26.602100,37.591017,ok,
MP_T_DudukBerdiri_2,blazepose,3,0.099133,multi,bright,12,12,0,509.470000,308.410000,116.560000,313.540000,36546.222400,1,1,direct,0.636322,12,6,0.004283,0.000000,0,0.200000,28.291000,35.346930,ok,
MP_T_DudukBerdiri_2,blazepose,4,0.132177,multi,bright,12,12,0,509.230000,308.230000,117.080000,313.590000,36715.117200,1,1,direct,0.612545,12,6,0.005445,0.000000,0,0.200000,28.347100,35.276977,ok,
MP_T_DudukBerdiri_2,blazepose,5,0.165221,multi,bright,12,12,0,509.000000,308.050000,117.600000,313.630000,36882.888000,1,1,direct,0.650627,12,6,0.002883,0.000000,0,0.200000,27.838900,35.920960,ok,
MP_T_DudukBerdiri_2,blazepose,6,0.198265,multi,bright,12,12,0,508.760000,307.880000,118.120000,313.660000,37049.519200,1,1,direct,0.656696,12,6,0.009291,0.083333,1,0.200000,27.384400,36.517141,ok,
MP_T_DudukBerdiri_2,blazepose,7,0.231309,multi,bright,12,12,0,508.520000,307.700000,118.640000,313.700000,37217.368000,1,1,direct,0.630619,12,6,0.001544,0.000000,0,0.200000,28.159300,35.512246,ok,
MP_T_DudukBerdiri_2,blazepose,8,0.264353,multi,bright,12,12,0,508.290000,307.530000,119.160000,313.740000,37385.258400,1,1,direct,0.669124,12,6,0.002021,0.000000,0,0.200000,27.071200,36.939626,ok,
MP_T_DudukBerdiri_2,blazepose,9,0.297398,multi,bright,12,12,0,508.050000,307.350000,119.680000,313.780000,37553.190400,1,1,direct,0.635336,12,6,0.007592,0.083333,1,0.200000,26.957300,37.095703,ok,
