video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,564.685000,245.436000,,,,0.026000,
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,574.469000,237.560000,,,,0.025000,
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,552.943000,239.490000,,,,0.025000,
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,588.232000,245.441000,,,,0.035000,
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,537.325000,251.260000,,,,0.035000,
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,5,left_shoulder,1,1,2.000000,615.660000,315.440000,2.000000,611.705000,304.136000,11.975911,37.970146,1,0.079000,0.727026
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,6,right_shoulder,1,1,2.000000,516.860000,308.940000,2.000000,519.638000,308.050000,2.917085,37.970146,1,0.079000,0.981263
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,7,left_elbow,1,1,2.000000,625.180000,375.900000,2.000000,623.494000,374.668000,2.088162,37.970146,1,0.072000,0.988399
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,8,right_elbow,1,1,2.000000,510.180000,383.220000,2.000000,513.759000,378.612000,5.834630,37.970146,1,0.072000,0.912929
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,9,left_wrist,1,1,2.000000,594.050000,424.310000,2.000000,596.037000,417.766000,6.839013,37.970146,1,0.062000,0.844686
MP_T_DudukBerdiri_2,openpose,0,0.000000,ok,1,gt_bbox_iou,0.828297,10,right_wrist,1,1,2.000000,545.890000,425.500000,2.000000,541.181000,421.671000,6.069260,37.970146,1,0.062000,0.875524
