video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,563.924622,245.821533,,,,0.026000,
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,575.117737,235.314209,,,,0.025000,
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,551.019409,236.127075,,,,0.025000,
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,593.591187,241.609985,,,,0.035000,
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,532.750000,245.513489,,,,0.035000,
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,5,left_shoulder,1,1,2.000000,615.660000,315.440000,2.000000,607.559387,297.361572,19.810338,37.970146,1,0.079000,0.417981
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,6,right_shoulder,1,1,2.000000,516.860000,308.940000,2.000000,523.514832,302.110168,9.535900,37.970146,1,0.079000,0.816995
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,7,left_elbow,1,1,2.000000,625.180000,375.900000,2.000000,611.151001,374.785248,14.073219,37.970146,1,0.072000,0.588611
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,8,right_elbow,1,1,2.000000,510.180000,383.220000,2.000000,510.009613,376.642975,6.579232,37.970146,1,0.072000,0.890624
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,9,left_wrist,1,1,2.000000,594.050000,424.310000,2.000000,587.915588,421.402649,6.788497,37.970146,1,0.062000,0.846787
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,10,right_wrist,1,1,2.000000,545.890000,425.500000,2.000000,529.312439,417.741699,18.303190,37.970146,1,0.062000,0.298504
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,11,left_hip,1,1,2.000000,616.480000,417.340000,2.000000,586.318359,437.067566,36.040275,37.970146,1,0.107000,0.207253
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,12,right_hip,1,1,2.000000,526.100000,427.850000,2.000000,531.506836,439.542816,12.882384,37.970146,1,0.107000,0.817846
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,13,left_knee,1,1,2.000000,593.660000,466.450000,2.000000,628.256104,473.766968,35.361397,37.970146,1,0.087000,0.101090
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,14,right_knee,1,1,2.000000,540.070000,473.890000,2.000000,582.897522,475.472717,42.856757,37.970146,0,0.087000,0.034519
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,15,left_ankle,1,1,2.000000,594.810000,622.360000,2.000000,584.779602,603.683960,21.199136,37.970146,1,0.089000,0.455186
MP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,gt_bbox_iou,0.875859,16,right_ankle,1,1,2.000000,557.620000,620.110000,2.000000,568.837769,605.029663,18.795076,37.970146,1,0.089000,0.538665
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,563.918884,245.553619,,,,0.026000,
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,575.104614,235.063477,,,,0.025000,
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,551.038757,235.880981,,,,0.025000,
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,593.581726,241.395569,,,,0.035000,
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,532.853088,245.288788,,,,0.035000,
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,5,left_shoulder,1,1,2.000000,615.030000,314.240000,2.000000,607.321289,297.119873,18.775595,38.058930,1,0.079000,0.458443
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,6,right_shoulder,1,1,2.000000,516.860000,308.760000,2.000000,523.816101,301.709351,9.904494,38.058930,1,0.079000,0.804903
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,7,left_elbow,1,1,2.000000,625.460000,376.280000,2.000000,610.064087,374.539612,15.493969,38.058930,1,0.072000,0.527605
MP_T_DudukBerdiri_2,yolopose,1,0.033044,ok,1,gt_bbox_iou,0.872265,8,right_elbow,1,1,2.000000,509.940000,383.700000,2.000000,510.198822,375.911194,7.793105,38.058930,1,0.072000,0.850645
