video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,661.684937,212.990448,,,,0.026000,
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,671.315918,203.359436,,,,0.025000,
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,656.869385,208.174927,,,,0.025000,
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,690.577942,212.990448,,,,0.035000,
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,647.238403,217.805939,,,,0.035000,
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,5,left_shoulder,1,1,2.000000,703.730000,279.470000,2.000000,709.839966,270.776520,10.625831,40.972164,1,0.079000,0.806108
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,6,right_shoulder,1,1,2.000000,620.920000,279.880000,2.000000,647.238403,275.592010,26.665431,40.972164,1,0.079000,0.257339
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,7,left_elbow,1,1,2.000000,704.290000,349.920000,2.000000,724.286499,347.824615,20.105984,40.972164,1,0.072000,0.394930
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,8,right_elbow,1,1,2.000000,603.280000,348.710000,2.000000,637.607361,347.824615,34.338777,40.972164,1,0.072000,0.066542
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,9,left_wrist,1,1,2.000000,689.360000,415.120000,2.000000,705.024475,410.426178,16.352607,40.972164,1,0.062000,0.436579
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,10,right_wrist,1,1,2.000000,591.350000,412.440000,2.000000,613.529846,405.610687,23.207436,40.972164,1,0.062000,0.188387
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,11,left_hip,1,1,2.000000,682.320000,417.420000,2.000000,695.393433,420.057190,13.336769,40.972164,1,0.107000,0.831028
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,12,right_hip,1,1,2.000000,636.560000,418.980000,2.000000,642.422913,415.241699,6.953318,40.972164,1,0.107000,0.950933
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,13,left_knee,1,1,2.000000,693.660000,532.450000,2.000000,700.208984,525.998352,9.193093,40.972164,1,0.087000,0.875442
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,14,right_knee,1,1,2.000000,641.810000,529.610000,2.000000,652.053894,525.998352,10.861923,40.972164,1,0.087000,0.830517
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,15,left_ankle,1,1,2.000000,706.460000,644.060000,2.000000,709.839966,636.754944,8.049100,40.972164,1,0.089000,0.907151
MP_T_Jongkok_2,alphapose,0,0.000000,ok,1,gt_bbox_iou,2.981734,16,right_ankle,1,1,2.000000,654.200000,642.150000,2.000000,666.500427,627.123962,19.418607,40.972164,1,0.089000,0.567132
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,662.004700,213.139496,,,,0.026000,
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,671.619202,203.525009,,,,0.025000,
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,657.197510,208.332260,,,,0.025000,
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,690.848206,213.139496,,,,0.035000,
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,647.583008,217.946747,,,,0.035000,
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,5,left_shoulder,1,1,2.000000,704.050000,281.130000,2.000000,710.077148,270.826416,11.936933,42.043027,1,0.079000,0.772341
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,6,right_shoulder,1,1,2.000000,622.320000,281.410000,2.000000,652.390259,270.826416,31.878405,42.043027,1,0.079000,0.158439
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,7,left_elbow,1,1,2.000000,702.380000,346.600000,2.000000,719.691650,352.549561,18.305478,42.043027,1,0.072000,0.481248
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,8,right_elbow,1,1,2.000000,601.500000,347.560000,2.000000,637.968506,352.549561,36.808255,42.043027,1,0.072000,0.051969
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,9,left_wrist,1,1,2.000000,685.530000,409.760000,2.000000,700.462646,410.236481,14.940246,42.043027,1,0.062000,0.518397
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,10,right_wrist,1,1,2.000000,584.720000,409.510000,2.000000,613.932312,405.429230,29.495963,42.043027,1,0.062000,0.077239
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,11,left_hip,1,1,2.000000,685.640000,417.550000,2.000000,695.655457,419.850952,10.276369,42.043027,1,0.107000,0.900897
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,12,right_hip,1,1,2.000000,638.350000,419.110000,2.000000,642.775757,419.850952,4.487353,42.043027,1,0.107000,0.980297
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,13,left_knee,1,1,2.000000,692.000000,531.560000,2.000000,700.462646,530.417542,8.539414,42.043027,1,0.087000,0.896723
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,14,right_knee,1,1,2.000000,640.150000,529.100000,2.000000,652.390259,530.417542,12.310965,42.043027,1,0.087000,0.797270
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,15,left_ankle,1,1,2.000000,706.460000,644.120000,2.000000,710.077148,636.176941,8.727884,42.043027,1,0.089000,0.896898
MP_T_Jongkok_2,alphapose,1,0.033359,ok,1,gt_bbox_iou,2.978183,16,right_ankle,1,1,2.000000,654.200000,642.220000,2.000000,666.811951,631.369690,16.637023,42.043027,1,0.089000,0.673425
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,620.701172,237.300903,,,,0.026000,
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,625.349426,232.652695,,,,0.025000,
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,616.052979,232.652695,,,,0.025000,
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,643.942261,237.300903,,,,0.035000,
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,606.756592,241.949112,,,,0.035000,
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,5,left_shoulder,1,1,2.000000,704.370000,282.790000,2.000000,667.183350,283.783020,37.199907,43.077435,1,0.079000,0.091649
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,6,right_shoulder,1,1,2.000000,623.730000,282.940000,2.000000,602.108337,293.079437,23.881049,43.077435,1,0.079000,0.373484
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,7,left_elbow,1,1,2.000000,700.470000,343.290000,2.000000,676.479736,348.858002,24.627939,43.077435,1,0.072000,0.283365
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,8,right_elbow,1,1,2.000000,599.710000,346.410000,2.000000,597.460144,353.506226,7.444345,43.077435,1,0.072000,0.891172
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,9,left_wrist,1,1,2.000000,681.710000,404.410000,2.000000,699.720825,409.284760,18.658861,43.077435,1,0.062000,0.376758
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,10,right_wrist,1,1,2.000000,578.090000,406.580000,2.000000,597.460144,409.284760,19.558073,43.077435,1,0.062000,0.342151
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,11,left_hip,1,1,2.000000,688.950000,417.670000,2.000000,657.886902,409.284760,32.174964,43.077435,1,0.107000,0.377367
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,12,right_hip,1,1,2.000000,640.130000,419.240000,2.000000,606.756592,409.284760,34.826587,43.077435,1,0.107000,0.319248
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,13,left_knee,1,1,2.000000,690.340000,530.670000,2.000000,653.238708,506.897217,44.064170,43.077435,0,0.087000,0.062989
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,14,right_knee,1,1,2.000000,638.490000,528.590000,2.000000,602.108337,502.249023,44.916282,43.077435,0,0.087000,0.056543
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,15,left_ankle,1,1,2.000000,706.460000,644.180000,2.000000,653.238708,585.916809,78.912010,43.077435,0,0.089000,0.000209
MP_T_Jongkok_2,alphapose,2,0.066718,ok,1,gt_bbox_iou,2.700658,16,right_ankle,1,1,2.000000,654.200000,642.280000,2.000000,597.460144,590.565063,76.771387,43.077435,0,0.089000,0.000329
MP_T_Jongkok_2,alphapose,3,0.100078,ok,1,gt_bbox_iou,2.821419,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,619.962341,239.810410,,,,0.026000,
MP_T_Jongkok_2,alphapose,3,0.100078,ok,1,gt_bbox_iou,2.821419,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,629.142151,230.630585,,,,0.025000,
MP_T_Jongkok_2,alphapose,3,0.100078,ok,1,gt_bbox_iou,2.821419,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,615.372437,235.220490,,,,0.025000,
MP_T_Jongkok_2,alphapose,3,0.100078,ok,1,gt_bbox_iou,2.821419,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,647.501770,235.220490,,,,0.035000,
