video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_Jongkok_2,efficientpose,0,0.000000,multi,bright,12,12,0,591.350000,279.470000,115.110000,364.590000,41967.954900,1,1,direct,0.148379,12,0,0.018713,0.083333,1,0.200000,35.516500,28.155928,ok,
MP_T_Jongkok_2,efficientpose,1,0.033359,multi,bright,12,12,0,584.720000,281.130000,121.740000,362.990000,44190.402600,1,1,direct,0.168549,12,0,0.000072,0.000000,0,0.200000,31.853500,31.393724,ok,
MP_T_Jongkok_2,efficientpose,2,0.066718,multi,bright,12,12,0,578.090000,282.790000,128.370000,361.390000,46391.634300,1,1,direct,0.261012,12,0,0.000000,0.000000,0,0.200000,32.896900,30.398001,ok,
MP_T_Jongkok_2,efficientpose,3,0.100078,multi,bright,12,12,0,571.450000,284.440000,135.010000,359.810000,48577.948100,1,1,direct,0.236065,12,0,0.000000,0.000000,0,0.200000,31.151000,32.101698,ok,
MP_T_Jongkok_2,efficientpose,4,0.133437,multi,bright,12,12,0,564.820000,286.000000,141.640000,358.310000,50751.028400,1,1,direct,0.281579,12,0,0.000000,0.000000,0,0.200000,32.082700,31.169446,ok,
MP_T_Jongkok_2,efficientpose,5,0.166796,multi,bright,12,12,0,558.190000,287.530000,148.270000,356.840000,52908.666800,1,1,direct,0.240283,12,0,0.000000,0.000000,0,0.200000,30.509900,32.776246,ok,
MP_T_Jongkok_2,efficientpose,6,0.200155,multi,bright,12,12,0,552.960000,289.420000,153.500000,355.010000,54494.035000,1,1,direct,0.233980,12,0,0.007248,0.083333,1,0.200000,28.970200,34.518229,ok,
MP_T_Jongkok_2,efficientpose,7,0.233514,multi,bright,12,12,0,547.730000,291.080000,158.730000,353.410000,56096.769300,1,1,direct,0.204664,12,0,0.039225,0.166667,2,0.200000,27.251800,36.694824,ok,
MP_T_Jongkok_2,efficientpose,8,0.266874,multi,bright,12,12,0,542.500000,292.730000,165.200000,351.820000,58120.664000,1,1,direct,0.225936,12,0,0.049113,0.416667,5,0.200000,28.060700,35.637030,ok,
MP_T_Jongkok_2,efficientpose,9,0.300233,multi,bright,12,12,0,537.270000,294.390000,173.370000,350.220000,60717.641400,1,1,direct,0.236751,12,0,0.124029,0.416667,5,0.200000,30.899600,32.362878,ok,
MP_T_Jongkok_2,efficientpose,10,0.333592,multi,bright,12,12,0,532.040000,296.050000,181.530000,348.620000,63284.988600,1,1,direct,0.247296,12,0,0.193659,0.500000,6,0.200000,29.682500,33.689885,ok,
MP_T_Jongkok_2,efficientpose,11,0.366951,multi,bright,12,12,0,530.890000,299.950000,183.190000,344.780000,63160.248200,1,1,direct,0.233577,12,0,0.204098,0.500000,6,0.200000,29.338700,34.084673,ok,
MP_T_Jongkok_2,efficientpose,12,0.400310,multi,bright,12,12,0,529.740000,303.840000,184.850000,340.950000,63024.607500,1,1,direct,0.274374,12,0,0.301890,0.666667,8,0.200000,29.471500,33.931086,ok,
MP_T_Jongkok_2,efficientpose,13,0.433669,multi,bright,12,12,0,528.600000,307.740000,186.500000,337.120000,62872.880000,1,1,direct,0.229981,12,0,0.205877,0.500000,6,0.200000,30.649200,32.627279,ok,
MP_T_Jongkok_2,efficientpose,14,0.467029,multi,bright,12,12,0,527.450000,311.630000,188.160000,333.290000,62711.846400,1,1,direct,0.267926,12,0,0.230711,0.666667,8,0.200000,30.193900,33.119272,ok,
MP_T_Jongkok_2,efficientpose,15,0.500388,multi,bright,12,12,0,526.300000,315.190000,189.820000,329.790000,62600.737800,1,1,direct,0.289930,12,0,0.246324,0.666667,8,0.200000,29.368800,34.049740,ok,
MP_T_Jongkok_2,efficientpose,16,0.533747,multi,bright,12,12,0,527.190000,319.500000,189.820000,325.710000,61826.272200,1,1,direct,0.239940,12,0,0.164089,0.416667,5,0.200000,30.666100,32.609298,ok,
MP_T_Jongkok_2,efficientpose,17,0.567106,multi,bright,12,12,0,528.090000,323.470000,189.810000,321.970000,61113.125700,1,1,direct,0.259993,12,0,0.152059,0.333333,4,0.200000,28.648200,34.906207,ok,
MP_T_Jongkok_2,efficientpose,18,0.600465,multi,bright,12,12,0,528.980000,327.440000,189.820000,318.220000,60404.520400,1,1,direct,0.194674,12,0,0.018656,0.166667,2,0.200000,28.601400,34.963323,ok,
MP_T_Jongkok_2,efficientpose,19,0.633825,multi,bright,12,12,0,529.880000,331.410000,189.810000,314.480000,59691.448800,1,1,direct,0.192418,12,0,0.086309,0.166667,2,0.200000,28.775200,34.752148,ok,
MP_T_Jongkok_2,efficientpose,20,0.667184,multi,bright,12,12,0,530.770000,335.380000,189.810000,310.740000,58981.559400,1,1,direct,0.197656,12,0,0.014326,0.083333,1,0.200000,30.503700,32.782908,ok,
MP_T_Jongkok_2,efficientpose,21,0.700543,multi,bright,12,12,0,530.900000,340.480000,191.080000,305.720000,58416.977600,1,1,direct,0.285844,12,0,0.011200,0.083333,1,0.200000,30.190400,33.123112,ok,
MP_T_Jongkok_2,efficientpose,22,0.733902,multi,bright,12,12,0,531.030000,345.580000,192.360000,300.700000,57842.652000,1,1,direct,0.349240,12,0,0.011577,0.166667,2,0.200000,29.187000,34.261829,ok,
MP_T_Jongkok_2,efficientpose,23,0.767261,multi,bright,12,12,0,531.150000,350.690000,193.640000,295.660000,57251.602400,1,1,direct,0.339360,12,0,0.001118,0.000000,0,0.200000,30.336300,32.963809,ok,
MP_T_Jongkok_2,efficientpose,24,0.800621,multi,bright,12,12,0,531.280000,355.790000,194.920000,290.640000,56651.548800,1,1,direct,0.259287,12,0,0.000118,0.000000,0,0.200000,29.496800,33.901983,ok,
MP_T_Jongkok_2,efficientpose,25,0.833980,multi,bright,12,12,0,531.410000,360.890000,196.190000,285.620000,56035.787800,1,1,direct,0.348840,12,0,0.078707,0.166667,2,0.200000,29.799100,33.558060,ok,
MP_T_Jongkok_2,efficientpose,26,0.867339,multi,bright,12,12,0,531.920000,364.080000,196.570000,282.510000,55532.990700,1,1,direct,0.433868,12,0,0.110708,0.250000,3,0.200000,30.888000,32.375032,ok,
MP_T_Jongkok_2,efficientpose,27,0.900698,multi,bright,12,12,0,532.430000,367.270000,196.950000,279.390000,55025.860500,1,1,direct,0.265828,12,0,0.064761,0.250000,3,0.200000,29.665800,33.708850,ok,
MP_T_Jongkok_2,efficientpose,28,0.934057,multi,bright,12,12,0,532.940000,370.450000,197.340000,276.290000,54523.068600,1,1,direct,0.256592,12,0,0.083961,0.250000,3,0.200000,29.285000,34.147174,ok,
MP_T_Jongkok_2,efficientpose,29,0.967416,multi,bright,12,12,0,533.450000,373.640000,197.720000,273.170000,54011.172400,1,1,direct,0.323937,12,0,0.077966,0.250000,3,0.200000,29.510600,33.886129,ok,
MP_T_Jongkok_2,efficientpose,30,1.000776,multi,bright,12,12,0,533.960000,376.830000,198.100000,270.060000,53498.886000,1,1,direct,0.428229,12,0,0.047847,0.166667,2,0.200000,30.239300,33.069549,ok,
MP_T_Jongkok_2,efficientpose,31,1.034135,multi,bright,12,12,0,534.210000,378.660000,197.850000,268.310000,53085.133500,1,1,direct,0.467901,12,0,0.103763,0.250000,3,0.200000,28.942100,34.551743,ok,
MP_T_Jongkok_2,efficientpose,32,1.067494,multi,bright,12,12,0,534.470000,380.440000,197.590000,266.610000,52679.469900,1,1,direct,0.399707,12,0,0.071956,0.083333,1,0.200000,28.974300,34.513345,ok,
MP_T_Jongkok_2,efficientpose,33,1.100853,multi,bright,12,12,0,534.720000,382.230000,197.340000,264.890000,52273.392600,1,1,direct,0.332884,12,0,0.142012,0.250000,3,0.200000,30.029100,33.301031,ok,
MP_T_Jongkok_2,efficientpose,34,1.134212,multi,bright,12,12,0,534.980000,384.010000,197.080000,263.190000,51869.485200,1,1,direct,0.414166,12,0,0.153762,0.250000,3,0.200000,30.215100,33.096035,ok,
MP_T_Jongkok_2,efficientpose,35,1.167572,multi,bright,12,12,0,535.230000,385.790000,196.830000,261.490000,51469.076700,1,1,direct,0.367163,12,0,0.101541,0.166667,2,0.200000,30.420000,32.873110,ok,
