video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_Jongkok_2,yolopose,0,0.000000,multi,bright,12,12,0,591.350000,279.470000,115.110000,364.590000,41967.954900,3,1,gt_bbox_iou,0.593667,12,0,0.243706,0.416667,5,0.200000,33.062100,30.246113,ok,
MP_T_Jongkok_2,yolopose,1,0.033359,multi,bright,12,12,0,584.720000,281.130000,121.740000,362.990000,44190.402600,3,1,gt_bbox_iou,0.591263,12,0,0.233636,0.500000,6,0.200000,29.505500,33.891986,ok,
MP_T_Jongkok_2,yolopose,2,0.066718,multi,bright,12,12,0,578.090000,282.790000,128.370000,361.390000,46391.634300,3,1,gt_bbox_iou,0.608276,12,0,0.205424,0.666667,8,0.200000,26.731600,37.408909,ok,
MP_T_Jongkok_2,yolopose,3,0.100078,multi,bright,12,12,0,571.450000,284.440000,135.010000,359.810000,48577.948100,3,1,gt_bbox_iou,0.613456,12,0,0.186068,0.750000,9,0.200000,23.554600,42.454552,ok,
MP_T_Jongkok_2,yolopose,4,0.133437,multi,bright,12,12,0,564.820000,286.000000,141.640000,358.310000,50751.028400,3,1,gt_bbox_iou,0.596823,12,0,0.181440,0.666667,8,0.200000,28.655900,34.896828,ok,
MP_T_Jongkok_2,yolopose,5,0.166796,multi,bright,12,12,0,558.190000,287.530000,148.270000,356.840000,52908.666800,3,1,gt_bbox_iou,0.610397,12,0,0.170639,0.666667,8,0.200000,25.233900,39.629229,ok,
MP_T_Jongkok_2,yolopose,6,0.200155,multi,bright,12,12,0,552.960000,289.420000,153.500000,355.010000,54494.035000,3,1,gt_bbox_iou,0.594515,12,0,0.168957,0.666667,8,0.200000,27.709000,36.089357,ok,
MP_T_Jongkok_2,yolopose,7,0.233514,multi,bright,12,12,0,547.730000,291.080000,158.730000,353.410000,56096.769300,3,1,gt_bbox_iou,0.593917,12,0,0.159965,0.666667,8,0.200000,24.077100,41.533241,ok,
MP_T_Jongkok_2,yolopose,8,0.266874,multi,bright,12,12,0,542.500000,292.730000,165.200000,351.820000,58120.664000,3,1,gt_bbox_iou,0.605174,12,0,0.147068,0.666667,8,0.200000,24.902900,40.155966,ok,
MP_T_Jongkok_2,yolopose,9,0.300233,multi,bright,12,12,0,537.270000,294.390000,173.370000,350.220000,60717.641400,3,1,gt_bbox_iou,0.831988,12,0,0.482121,0.750000,9,0.200000,24.535900,40.756606,ok,
MP_T_Jongkok_2,yolopose,10,0.333592,multi,bright,12,12,0,532.040000,296.050000,181.530000,348.620000,63284.988600,3,1,gt_bbox_iou,0.831242,12,0,0.473941,0.750000,9,0.200000,28.707700,34.833860,ok,
MP_T_Jongkok_2,yolopose,11,0.366951,multi,bright,12,12,0,530.890000,299.950000,183.190000,344.780000,63160.248200,3,1,gt_bbox_iou,0.823113,12,0,0.451067,0.750000,9,0.200000,25.149700,39.761906,ok,
MP_T_Jongkok_2,yolopose,12,0.400310,multi,bright,12,12,0,529.740000,303.840000,184.850000,340.950000,63024.607500,3,1,gt_bbox_iou,0.824629,12,0,0.406611,0.833333,10,0.200000,27.860200,35.893497,ok,
MP_T_Jongkok_2,yolopose,13,0.433669,multi,bright,12,12,0,528.600000,307.740000,186.500000,337.120000,62872.880000,3,1,gt_bbox_iou,0.831859,12,0,0.402521,0.750000,9,0.200000,27.044500,36.976095,ok,
MP_T_Jongkok_2,yolopose,14,0.467029,multi,bright,12,12,0,527.450000,311.630000,188.160000,333.290000,62711.846400,3,1,gt_bbox_iou,0.835892,12,0,0.375230,0.750000,9,0.200000,24.528500,40.768901,ok,
MP_T_Jongkok_2,yolopose,15,0.500388,multi,bright,12,12,0,526.300000,315.190000,189.820000,329.790000,62600.737800,3,1,gt_bbox_iou,0.837164,12,0,0.346064,0.750000,9,0.200000,26.851300,37.242145,ok,
MP_T_Jongkok_2,yolopose,16,0.533747,multi,bright,12,12,0,527.190000,319.500000,189.820000,325.710000,61826.272200,3,1,gt_bbox_iou,0.836258,12,0,0.314787,0.833333,10,0.200000,28.545000,35.032405,ok,
MP_T_Jongkok_2,yolopose,17,0.567106,multi,bright,12,12,0,528.090000,323.470000,189.810000,321.970000,61113.125700,3,1,gt_bbox_iou,0.838285,12,0,0.286214,0.833333,10,0.200000,28.272300,35.370309,ok,
MP_T_Jongkok_2,yolopose,18,0.600465,multi,bright,12,12,0,528.980000,327.440000,189.820000,318.220000,60404.520400,3,1,gt_bbox_iou,0.844040,12,0,0.263195,0.750000,9,0.200000,24.486000,40.839663,ok,
MP_T_Jongkok_2,yolopose,19,0.633825,multi,bright,12,12,0,529.880000,331.410000,189.810000,314.480000,59691.448800,3,1,gt_bbox_iou,0.840672,12,0,0.244166,0.666667,8,0.200000,25.388100,39.388532,ok,
MP_T_Jongkok_2,yolopose,20,0.667184,multi,bright,12,12,0,530.770000,335.380000,189.810000,310.740000,58981.559400,3,1,gt_bbox_iou,0.836624,12,0,0.233714,0.583333,7,0.200000,23.593100,42.385274,ok,
MP_T_Jongkok_2,yolopose,21,0.700543,multi,bright,12,12,0,530.900000,340.480000,191.080000,305.720000,58416.977600,3,1,gt_bbox_iou,0.824240,12,0,0.187965,0.416667,5,0.200000,30.324900,32.976201,ok,
MP_T_Jongkok_2,yolopose,22,0.733902,multi,bright,12,12,0,531.030000,345.580000,192.360000,300.700000,57842.652000,3,1,gt_bbox_iou,0.792020,12,0,0.176726,0.333333,4,0.200000,33.067600,30.241082,ok,
MP_T_Jongkok_2,yolopose,23,0.767261,multi,bright,12,12,0,531.150000,350.690000,193.640000,295.660000,57251.602400,3,1,gt_bbox_iou,0.754890,12,0,0.184441,0.333333,4,0.200000,29.695300,33.675363,ok,
MP_T_Jongkok_2,yolopose,24,0.800621,multi,bright,12,12,0,531.280000,355.790000,194.920000,290.640000,56651.548800,3,1,gt_bbox_iou,0.783237,12,0,0.199373,0.333333,4,0.200000,26.289500,38.038000,ok,
MP_T_Jongkok_2,yolopose,25,0.833980,multi,bright,12,12,0,531.410000,360.890000,196.190000,285.620000,56035.787800,3,1,gt_bbox_iou,0.764090,12,0,0.198262,0.333333,4,0.200000,25.935200,38.557636,ok,
MP_T_Jongkok_2,yolopose,26,0.867339,multi,bright,12,12,0,531.920000,364.080000,196.570000,282.510000,55532.990700,3,1,gt_bbox_iou,0.633845,12,0,0.052354,0.333333,4,0.200000,26.227700,38.127628,ok,
MP_T_Jongkok_2,yolopose,27,0.900698,multi,bright,12,12,0,532.430000,367.270000,196.950000,279.390000,55025.860500,3,1,gt_bbox_iou,0.621339,12,0,0.040057,0.416667,5,0.200000,28.768100,34.760725,ok,
MP_T_Jongkok_2,yolopose,28,0.934057,multi,bright,12,12,0,532.940000,370.450000,197.340000,276.290000,54523.068600,3,1,gt_bbox_iou,0.607903,12,0,0.040914,0.416667,5,0.200000,24.917300,40.132759,ok,
MP_T_Jongkok_2,yolopose,29,0.967416,multi,bright,12,12,0,533.450000,373.640000,197.720000,273.170000,54011.172400,3,1,gt_bbox_iou,0.650723,12,0,0.129954,0.250000,3,0.200000,28.669400,34.880395,ok,
MP_T_Jongkok_2,yolopose,30,1.000776,multi,bright,12,12,0,533.960000,376.830000,198.100000,270.060000,53498.886000,3,1,gt_bbox_iou,0.554688,12,0,0.085283,0.250000,3,0.200000,24.784300,40.348124,ok,
MP_T_Jongkok_2,yolopose,31,1.034135,multi,bright,12,12,0,534.210000,378.660000,197.850000,268.310000,53085.133500,3,1,gt_bbox_iou,0.627267,12,0,0.229223,0.333333,4,0.200000,28.138600,35.538371,ok,
MP_T_Jongkok_2,yolopose,32,1.067494,multi,bright,12,12,0,534.470000,380.440000,197.590000,266.610000,52679.469900,3,1,gt_bbox_iou,0.680592,12,0,0.183030,0.416667,5,0.200000,28.318000,35.313228,ok,
MP_T_Jongkok_2,yolopose,33,1.100853,multi,bright,12,12,0,534.720000,382.230000,197.340000,264.890000,52273.392600,3,1,gt_bbox_iou,0.674583,12,0,0.168408,0.333333,4,0.200000,25.214200,39.660191,ok,
MP_T_Jongkok_2,yolopose,34,1.134212,multi,bright,12,12,0,534.980000,384.010000,197.080000,263.190000,51869.485200,3,1,gt_bbox_iou,0.685402,12,0,0.173150,0.250000,3,0.200000,26.882500,37.198921,ok,
MP_T_Jongkok_2,yolopose,35,1.167572,multi,bright,12,12,0,535.230000,385.790000,196.830000,261.490000,51469.076700,3,1,gt_bbox_iou,0.779800,12,0,0.163823,0.250000,3,0.200000,22.150900,45.144893,ok,
MP_T_Jongkok_2,yolopose,36,1.200931,multi,bright,12,12,0,535.230000,387.060000,196.830000,260.350000,51244.690500,3,1,gt_bbox_iou,0.814507,12,0,0.164095,0.250000,3,0.200000,26.172700,38.207751,ok,
MP_T_Jongkok_2,yolopose,37,1.234290,multi,bright,12,12,0,535.230000,388.320000,196.830000,259.220000,51022.272600,3,1,gt_bbox_iou,0.822223,12,0,0.157230,0.250000,3,0.200000,27.966600,35.756939,ok,
MP_T_Jongkok_2,yolopose,38,1.267649,multi,bright,12,12,0,535.230000,389.590000,196.830000,258.070000,50795.918100,3,1,gt_bbox_iou,0.820890,12,0,0.167350,0.250000,3,0.200000,27.117900,36.876012,ok,
MP_T_Jongkok_2,yolopose,39,1.301008,multi,bright,12,12,0,535.230000,390.850000,196.830000,256.940000,50573.500200,2,1,gt_bbox_iou,0.756330,12,0,0.167085,0.333333,4,0.200000,38.300100,26.109592,ok,
MP_T_Jongkok_2,yolopose,40,1.334368,multi,bright,12,12,0,535.230000,392.120000,196.830000,255.800000,50349.114000,2,1,gt_bbox_iou,0.860718,12,0,0.168890,0.333333,4,0.200000,33.397700,29.942182,ok,
MP_T_Jongkok_2,yolopose,41,1.367727,multi,bright,12,12,0,535.170000,392.860000,196.890000,255.090000,50224.670100,2,1,gt_bbox_iou,0.869458,12,0,0.157672,0.333333,4,0.200000,36.159900,27.654944,ok,
MP_T_Jongkok_2,yolopose,42,1.401086,multi,bright,12,12,0,535.100000,393.590000,196.960000,254.380000,50102.684800,3,1,gt_bbox_iou,0.822331,12,0,0.171570,0.250000,3,0.200000,40.543300,24.664988,ok,
MP_T_Jongkok_2,yolopose,43,1.434445,multi,bright,12,12,0,535.040000,394.320000,197.020000,253.680000,49980.033600,4,1,gt_bbox_iou,0.817382,12,0,0.170941,0.250000,3,0.200000,32.599600,30.675223,ok,
MP_T_Jongkok_2,yolopose,44,1.467804,multi,bright,12,12,0,534.970000,395.060000,197.090000,252.960000,49855.886400,4,1,gt_bbox_iou,0.826502,12,0,0.186701,0.250000,3,0.200000,29.183200,34.266290,ok,
MP_T_Jongkok_2,yolopose,45,1.501163,multi,bright,12,12,0,534.910000,395.800000,197.150000,252.250000,49731.087500,4,1,gt_bbox_iou,0.834599,12,0,0.152145,0.250000,3,0.200000,25.908200,38.597818,ok,
MP_T_Jongkok_2,yolopose,46,1.534523,multi,bright,12,12,0,534.850000,396.530000,197.210000,251.550000,49608.175500,4,1,gt_bbox_iou,0.844221,12,0,0.168591,0.250000,3,0.200000,24.224000,41.281374,ok,
MP_T_Jongkok_2,yolopose,47,1.567882,multi,bright,12,12,0,534.780000,397.270000,197.280000,250.830000,49483.742400,4,1,gt_bbox_iou,0.891727,12,0,0.140403,0.250000,3,0.200000,33.434100,29.909583,ok,
MP_T_Jongkok_2,yolopose,48,1.601241,multi,bright,12,12,0,534.720000,398.000000,197.340000,250.130000,49360.654200,5,1,gt_bbox_iou,0.611475,12,0,0.155200,0.416667,5,0.200000,37.003700,27.024325,ok,
MP_T_Jongkok_2,yolopose,49,1.634600,multi,bright,12,12,0,534.650000,398.740000,197.410000,249.410000,49236.028100,5,1,gt_bbox_iou,0.643028,12,0,0.180794,0.416667,5,0.200000,35.559400,28.121959,ok,
MP_T_Jongkok_2,yolopose,50,1.667959,multi,bright,12,12,0,534.590000,398.820000,197.470000,249.360000,49241.119200,6,1,gt_bbox_iou,0.312462,12,0,0.172271,0.583333,7,0.200000,33.390100,29.948997,ok,
MP_T_Jongkok_2,yolopose,51,1.701319,multi,bright,12,12,0,534.590000,398.880000,197.470000,249.300000,49229.271000,6,1,gt_bbox_iou,0.467900,12,0,0.173099,0.416667,5,0.200000,35.823400,27.914715,ok,
MP_T_Jongkok_2,yolopose,52,1.734678,multi,bright,12,12,0,534.590000,398.950000,197.470000,249.240000,49217.422800,6,1,gt_bbox_iou,0.296655,12,0,0.158473,0.500000,6,0.200000,35.458700,28.201824,ok,
MP_T_Jongkok_2,yolopose,53,1.768037,multi,bright,12,12,0,534.590000,399.010000,197.470000,249.180000,49205.574600,5,1,gt_bbox_iou,0.385876,12,0,0.168964,0.500000,6,0.200000,46.101500,21.691268,ok,
MP_T_Jongkok_2,yolopose,54,1.801396,multi,bright,12,12,0,534.590000,399.070000,197.470000,249.130000,49195.701100,3,1,gt_bbox_iou,0.896582,12,0,0.258423,0.333333,4,0.200000,51.509500,19.413895,ok,
MP_T_Jongkok_2,yolopose,55,1.834755,multi,bright,12,12,0,534.590000,399.140000,197.470000,249.060000,49181.878200,4,1,gt_bbox_iou,0.904844,12,0,0.283670,0.416667,5,0.200000,36.497700,27.398987,ok,
MP_T_Jongkok_2,yolopose,56,1.868115,multi,bright,12,12,0,534.590000,399.200000,197.470000,249.000000,49170.030000,5,1,gt_bbox_iou,0.261678,12,0,0.189298,0.500000,6,0.200000,25.134300,39.786268,ok,
