video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_PushUp_1,movenet,0,0.000000,multi,bright,12,9,0,291.340000,197.950000,454.520000,252.400000,114720.848000,1,1,direct,0.332236,9,2,0.446719,0.777778,7,0.200000,67.460900,14.823401,ok,
MP_T_PushUp_1,movenet,1,0.033009,multi,bright,12,9,0,291.340000,207.220000,456.100000,243.130000,110891.593000,1,1,direct,0.324159,9,2,0.505714,0.777778,7,0.200000,56.466500,17.709615,ok,
MP_T_PushUp_1,movenet,2,0.066019,multi,bright,12,9,0,291.340000,216.490000,457.690000,233.860000,107035.383400,1,1,direct,0.355017,9,2,0.517447,0.777778,7,0.200000,51.878100,19.275957,ok,
MP_T_PushUp_1,movenet,3,0.099028,multi,bright,12,9,0,291.340000,225.760000,459.280000,224.590000,103149.695200,1,1,direct,0.388614,9,2,0.425785,0.666667,6,0.200000,52.876900,18.911850,ok,
MP_T_PushUp_1,movenet,4,0.132038,multi,bright,12,9,0,291.340000,234.720000,460.860000,215.630000,99375.241800,1,1,direct,0.421577,9,2,0.505527,0.666667,6,0.200000,51.626600,19.369860,ok,
MP_T_PushUp_1,movenet,5,0.165047,multi,bright,12,9,0,291.340000,242.890000,462.450000,207.460000,95939.877000,1,1,direct,0.441827,9,1,0.493208,0.666667,6,0.200000,53.817500,18.581316,ok,
MP_T_PushUp_1,movenet,6,0.198056,multi,bright,12,9,0,291.340000,251.070000,464.030000,199.280000,92471.898400,1,1,direct,0.429269,9,0,0.507157,0.777778,7,0.200000,53.445200,18.710754,ok,
MP_T_PushUp_1,movenet,7,0.231066,multi,bright,12,9,0,291.340000,262.950000,468.130000,187.400000,87727.562000,1,1,direct,0.471431,9,0,0.526944,0.777778,7,0.200000,51.698800,19.342809,ok,
MP_T_PushUp_1,movenet,8,0.264075,multi,bright,12,9,0,291.340000,272.320000,472.230000,178.030000,84071.106900,1,1,direct,0.441182,9,0,0.545565,0.777778,7,0.200000,52.343500,19.104569,ok,
MP_T_PushUp_1,movenet,9,0.297084,multi,bright,12,7,0,291.340000,288.840000,444.970000,161.510000,71867.104700,1,1,direct,0.505963,7,0,0.413217,0.714286,5,0.200000,54.044400,18.503305,ok,
MP_T_PushUp_1,movenet,10,0.330094,multi,bright,12,7,0,291.340000,296.130000,444.970000,154.220000,68623.273400,1,1,direct,0.465389,7,0,0.418791,0.714286,5,0.200000,53.001900,18.867248,ok,
MP_T_PushUp_1,movenet,11,0.363103,multi,bright,12,7,0,291.340000,302.570000,444.970000,147.780000,65757.666600,1,1,direct,0.399952,7,1,0.342599,0.571429,4,0.200000,57.494400,17.392998,ok,
MP_T_PushUp_1,movenet,12,0.396113,multi,bright,12,7,0,291.340000,310.380000,445.010000,139.970000,62288.049700,1,1,direct,0.403767,7,0,0.318747,0.714286,5,0.200000,55.190100,18.119192,ok,
MP_T_PushUp_1,movenet,13,0.429122,multi,bright,12,7,0,291.340000,318.190000,449.160000,132.160000,59360.985600,1,1,direct,0.378232,7,0,0.176733,0.571429,4,0.200000,52.192200,19.159951,ok,
MP_T_PushUp_1,movenet,14,0.462131,multi,bright,12,7,0,291.340000,326.000000,453.310000,124.350000,56369.098500,1,1,direct,0.312903,7,4,0.139383,0.428571,3,0.200000,53.207600,18.794308,ok,
MP_T_PushUp_1,movenet,15,0.495141,multi,bright,12,7,0,291.340000,332.580000,453.310000,117.770000,53386.318700,1,1,direct,0.317102,7,1,0.190898,0.714286,5,0.200000,53.255300,18.777474,ok,
MP_T_PushUp_1,movenet,16,0.528150,multi,bright,12,6,0,291.340000,339.170000,453.310000,111.180000,50399.005800,1,1,direct,0.339205,6,1,0.296497,0.500000,3,0.200000,53.031400,18.856753,ok,
MP_T_PushUp_1,movenet,17,0.561160,multi,bright,12,6,0,291.340000,345.760000,453.310000,104.590000,47411.692900,1,1,direct,0.357893,6,2,0.260209,0.333333,2,0.200000,52.709500,18.971912,ok,
MP_T_PushUp_1,movenet,18,0.594169,multi,bright,12,6,0,291.340000,346.860000,453.120000,103.490000,46893.388800,1,1,direct,0.335258,6,1,0.124045,0.166667,1,0.200000,52.904700,18.901912,ok,
MP_T_PushUp_1,movenet,19,0.627178,multi,bright,12,6,0,291.340000,347.960000,452.940000,102.390000,46376.526600,1,1,direct,0.393899,6,0,0.168739,0.333333,2,0.200000,52.793300,18.941798,ok,
MP_T_PushUp_1,movenet,20,0.660188,multi,bright,12,6,0,291.340000,349.050000,452.760000,101.300000,45864.588000,1,1,direct,0.375916,6,0,0.160124,0.333333,2,0.200000,52.557200,19.026889,ok,
