video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,206.666672,,,,0.026000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,793.333313,193.333328,,,,0.025000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,193.333328,,,,0.025000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,740.000000,166.666672,,,,0.035000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,793.333313,193.333328,,,,0.035000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,5,left_shoulder,1,0,0.000000,719.610000,236.580000,2.000000,700.000000,206.666672,,,,0.079000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,6,right_shoulder,1,1,2.000000,725.230000,223.260000,2.000000,726.666687,220.000000,3.562537,50.458862,1,0.079000,0.984153
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,7,left_elbow,1,0,0.000000,715.850000,306.580000,2.000000,526.666687,260.000000,,,,0.072000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,8,right_elbow,1,1,2.000000,721.820000,315.690000,2.000000,713.333313,353.333344,38.588148,50.458862,1,0.072000,0.104737
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,9,left_wrist,1,0,0.000000,731.700000,392.680000,2.000000,713.333313,340.000000,,,,0.062000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,10,right_wrist,1,1,2.000000,730.690000,427.150000,2.000000,726.666687,406.666656,20.874731,50.458862,1,0.062000,0.410468
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,11,left_hip,1,0,0.000000,556.720000,300.180000,2.000000,566.666687,313.333344,,,,0.107000,
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,12,right_hip,1,1,2.000000,578.970000,301.520000,2.000000,580.000000,313.333344,11.858161,50.458862,1,0.107000,0.908031
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,13,left_knee,1,1,2.000000,490.990000,374.590000,2.000000,473.333344,380.000000,18.466879,50.458862,1,0.087000,0.701932
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,14,right_knee,1,1,2.000000,470.570000,408.970000,2.000000,473.333344,393.333344,15.878951,50.458862,1,0.087000,0.769762
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,15,left_ankle,1,1,2.000000,445.640000,285.540000,2.000000,406.666656,286.666656,38.989625,50.458862,1,0.089000,0.221451
MP_T_PushUp_2,efficientpose,0,0.000000,ok,1,direct,0.676553,16,right_ankle,1,1,2.000000,418.500000,287.340000,2.000000,340.000000,286.666656,78.502888,50.458862,0,0.089000,0.002217
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,206.666672,,,,0.026000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,793.333313,193.333328,,,,0.025000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,193.333328,,,,0.025000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,740.000000,166.666672,,,,0.035000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,793.333313,193.333328,,,,0.035000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,5,left_shoulder,1,0,0.000000,719.610000,236.580000,2.000000,700.000000,206.666672,,,,0.079000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,6,right_shoulder,1,1,2.000000,725.230000,223.260000,2.000000,740.000000,220.000000,15.125492,50.458862,1,0.079000,0.749798
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,7,left_elbow,1,0,0.000000,715.850000,306.580000,2.000000,513.333313,260.000000,,,,0.072000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,8,right_elbow,1,1,2.000000,721.820000,315.690000,2.000000,713.333313,366.666656,51.678268,50.458862,0,0.072000,0.017479
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,9,left_wrist,1,0,0.000000,731.700000,392.680000,2.000000,726.666687,353.333344,,,,0.062000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,10,right_wrist,1,1,2.000000,730.690000,427.150000,2.000000,726.666687,406.666656,20.874731,50.458862,1,0.062000,0.410468
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,11,left_hip,1,0,0.000000,556.720000,300.180000,2.000000,580.000000,313.333344,,,,0.107000,
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,12,right_hip,1,1,2.000000,578.970000,301.520000,2.000000,580.000000,313.333344,11.858161,50.458862,1,0.107000,0.908031
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,13,left_knee,1,1,2.000000,490.990000,374.590000,2.000000,473.333344,393.333344,25.750154,50.458862,1,0.087000,0.502510
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,14,right_knee,1,1,2.000000,470.570000,408.970000,2.000000,473.333344,393.333344,15.878951,50.458862,1,0.087000,0.769762
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,15,left_ankle,1,1,2.000000,445.640000,285.540000,2.000000,393.333344,300.000000,54.268572,50.458862,0,0.089000,0.053901
MP_T_PushUp_2,efficientpose,1,0.033312,ok,1,direct,0.668104,16,right_ankle,1,1,2.000000,418.500000,287.340000,2.000000,340.000000,286.666656,78.502888,50.458862,0,0.089000,0.002217
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,206.666672,,,,0.026000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,193.333328,,,,0.025000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,193.333328,,,,0.025000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,740.000000,166.666672,,,,0.035000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,793.333313,193.333328,,,,0.035000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,5,left_shoulder,1,0,0.000000,719.610000,236.580000,2.000000,700.000000,193.333328,,,,0.079000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,6,right_shoulder,1,1,2.000000,725.230000,223.260000,2.000000,740.000000,233.333328,17.878055,50.458862,1,0.079000,0.668785
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,7,left_elbow,1,0,0.000000,715.850000,306.580000,2.000000,553.333313,260.000000,,,,0.072000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,8,right_elbow,1,1,2.000000,721.820000,315.690000,2.000000,713.333313,366.666656,51.678268,50.458862,0,0.072000,0.017479
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,9,left_wrist,1,0,0.000000,731.700000,392.680000,2.000000,726.666687,380.000000,,,,0.062000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,10,right_wrist,1,1,2.000000,730.690000,427.150000,2.000000,726.666687,406.666656,20.874731,50.458862,1,0.062000,0.410468
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,11,left_hip,1,0,0.000000,556.720000,300.180000,2.000000,566.666687,313.333344,,,,0.107000,
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,12,right_hip,1,1,2.000000,578.970000,301.520000,2.000000,593.333313,313.333344,18.597307,50.458862,1,0.107000,0.788759
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,13,left_knee,1,1,2.000000,490.990000,374.590000,2.000000,473.333344,393.333344,25.750154,50.458862,1,0.087000,0.502510
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,14,right_knee,1,1,2.000000,470.570000,408.970000,2.000000,473.333344,393.333344,15.878951,50.458862,1,0.087000,0.769762
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,15,left_ankle,1,1,2.000000,445.640000,285.540000,2.000000,393.333344,300.000000,54.268572,50.458862,0,0.089000,0.053901
MP_T_PushUp_2,efficientpose,2,0.066624,ok,1,direct,0.702446,16,right_ankle,1,1,2.000000,418.500000,287.340000,2.000000,353.333344,300.000000,66.385004,50.458862,0,0.089000,0.012647
MP_T_PushUp_2,efficientpose,3,0.099936,ok,1,direct,0.711493,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,206.666672,,,,0.026000,
MP_T_PushUp_2,efficientpose,3,0.099936,ok,1,direct,0.711493,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,193.333328,,,,0.025000,
MP_T_PushUp_2,efficientpose,3,0.099936,ok,1,direct,0.711493,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,806.666687,193.333328,,,,0.025000,
