video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_Yoga_1,mediapipe,0,0.000000,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,1,1,direct,0.759962,13,3,0.000000,0.000000,0,0.200000,41.124500,24.316405,ok,
MP_T_Yoga_1,mediapipe,1,0.033165,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,1,1,direct,0.785017,13,3,0.000000,0.000000,0,0.200000,40.777500,24.523328,ok,
MP_T_Yoga_1,mediapipe,2,0.066330,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,1,1,direct,0.802299,13,3,0.000000,0.000000,0,0.200000,39.956600,25.027154,ok,
MP_T_Yoga_1,mediapipe,3,0.099495,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,2,1,gt_bbox_iou,0.822333,13,2,0.581187,0.846154,11,0.200000,40.179400,24.888376,ok,
MP_T_Yoga_1,mediapipe,4,0.132660,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,1,1,direct,0.773191,13,3,0.000000,0.000000,0,0.200000,40.391300,24.757807,ok,
MP_T_Yoga_1,mediapipe,5,0.165825,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,2,1,gt_bbox_iou,0.799073,13,2,0.499916,0.769231,10,0.200000,41.205000,24.268899,ok,
MP_T_Yoga_1,mediapipe,6,0.198990,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,1,1,direct,0.784012,13,3,0.000000,0.000000,0,0.200000,44.687300,22.377723,ok,
MP_T_Yoga_1,mediapipe,7,0.232155,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,2,1,gt_bbox_iou,0.822657,13,2,0.554092,0.846154,11,0.200000,42.390700,23.590080,ok,
MP_T_Yoga_1,mediapipe,8,0.265320,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,2,1,gt_bbox_iou,0.821036,13,2,0.607816,0.846154,11,0.200000,41.785100,23.931976,ok,
MP_T_Yoga_1,mediapipe,9,0.298485,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,1,1,direct,0.769984,13,4,0.000000,0.000000,0,0.200000,40.855300,24.476628,ok,
MP_T_Yoga_1,mediapipe,10,0.331650,multi,bright,13,13,0,587.840000,240.060000,124.490000,430.960000,53650.210400,1,1,direct,0.773947,13,3,0.000000,0.000000,0,0.200000,42.370600,23.601271,ok,
MP_T_Yoga_1,mediapipe,11,0.364815,multi,bright,13,13,0,588.540000,240.060000,124.120000,430.710000,53459.725200,2,1,gt_bbox_iou,0.849536,13,1,0.566490,0.923077,12,0.200000,41.170500,24.289236,ok,
MP_T_Yoga_1,mediapipe,12,0.397980,multi,bright,13,13,0,589.240000,240.060000,123.740000,430.680000,53292.343200,1,1,direct,0.773298,13,3,0.000000,0.000000,0,0.200000,42.294300,23.643848,ok,
MP_T_Yoga_1,mediapipe,13,0.431144,multi,bright,13,13,0,589.930000,240.060000,123.370000,430.650000,53129.290500,2,1,gt_bbox_iou,0.776623,13,2,0.353719,0.538462,7,0.200000,40.769800,24.527959,ok,
MP_T_Yoga_1,mediapipe,14,0.464309,multi,bright,13,13,0,590.630000,240.060000,122.990000,430.620000,52961.953800,1,1,direct,0.764745,13,3,0.000000,0.000000,0,0.200000,39.892700,25.067243,ok,
MP_T_Yoga_1,mediapipe,15,0.497474,multi,bright,13,13,0,591.330000,240.060000,122.610000,430.600000,52795.866000,1,1,direct,0.766507,13,3,0.000000,0.000000,0,0.200000,40.535800,24.669551,ok,
MP_T_Yoga_1,mediapipe,16,0.530639,multi,bright,13,13,0,592.020000,240.120000,122.240000,430.510000,52625.542400,2,1,gt_bbox_iou,0.820335,13,2,0.133423,0.538462,7,0.200000,40.245400,24.847560,ok,
MP_T_Yoga_1,mediapipe,17,0.563804,multi,bright,13,13,0,592.720000,240.170000,121.860000,430.430000,52452.199800,1,1,direct,0.732177,13,3,0.000000,0.000000,0,0.200000,40.556000,24.657264,ok,
MP_T_Yoga_1,mediapipe,18,0.596969,multi,bright,13,13,0,593.420000,240.230000,121.480000,430.340000,52277.703200,2,1,gt_bbox_iou,0.828080,13,2,0.342227,0.615385,8,0.200000,40.369600,24.771115,ok,
MP_T_Yoga_1,mediapipe,19,0.630134,multi,bright,13,13,0,594.110000,240.280000,121.110000,430.270000,52109.999700,2,1,gt_bbox_iou,0.831706,13,2,0.291690,0.538462,7,0.200000,42.422100,23.572619,ok,
MP_T_Yoga_1,mediapipe,20,0.663299,multi,bright,13,13,0,594.810000,240.340000,120.740000,430.180000,51939.933200,2,1,gt_bbox_iou,0.825372,13,2,0.098954,0.230769,3,0.200000,42.179700,23.708087,ok,
