video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_Yoga_2,movenet,0,0.000000,multi,bright,13,13,0,604.960000,220.140000,135.590000,427.790000,58004.046100,1,1,direct,0.345176,13,1,0.000000,0.000000,0,0.200000,48.922000,20.440702,ok,
MP_T_Yoga_2,movenet,1,0.033179,multi,bright,13,13,0,606.690000,220.140000,138.110000,426.780000,58942.585800,1,1,direct,0.266502,13,3,0.186716,0.384615,5,0.200000,48.808000,20.488445,ok,
MP_T_Yoga_2,movenet,2,0.066357,multi,bright,13,13,0,605.370000,220.140000,143.680000,425.760000,61173.196800,1,1,direct,0.305495,13,1,0.146504,0.461538,6,0.200000,48.473800,20.629701,ok,
MP_T_Yoga_2,movenet,3,0.099536,multi,bright,13,13,0,604.050000,220.140000,149.250000,424.750000,63393.937500,1,1,direct,0.352137,13,0,0.000000,0.000000,0,0.200000,47.575700,21.019134,ok,
MP_T_Yoga_2,movenet,4,0.132714,multi,bright,13,13,0,602.720000,220.140000,154.840000,423.740000,65611.901600,1,1,direct,0.312446,13,5,0.167448,0.230769,3,0.200000,47.654000,20.984597,ok,
MP_T_Yoga_2,movenet,5,0.165893,multi,bright,13,13,0,601.400000,220.140000,160.410000,422.730000,67810.119300,1,1,direct,0.343563,13,0,0.218990,0.384615,5,0.200000,48.855400,20.468566,ok,
MP_T_Yoga_2,movenet,6,0.199071,multi,bright,13,13,0,599.210000,220.360000,166.870000,421.490000,70334.036300,1,1,direct,0.322984,13,2,0.183128,0.307692,4,0.200000,49.383400,20.249720,ok,
MP_T_Yoga_2,movenet,7,0.232250,multi,bright,13,13,0,597.030000,220.580000,173.310000,420.260000,72835.260600,1,1,direct,0.240984,13,3,0.255882,0.538462,7,0.200000,49.716800,20.113925,ok,
MP_T_Yoga_2,movenet,8,0.265428,multi,bright,13,13,0,594.840000,220.800000,179.770000,419.030000,75329.023100,1,1,direct,0.295827,13,3,0.166017,0.384615,5,0.200000,48.628200,20.564199,ok,
MP_T_Yoga_2,movenet,9,0.298607,multi,bright,13,13,0,592.650000,221.020000,186.220000,418.350000,77905.137000,1,1,direct,0.391481,13,1,0.131081,0.307692,4,0.200000,50.048200,19.980739,ok,
MP_T_Yoga_2,movenet,10,0.331785,multi,bright,13,13,0,590.470000,221.230000,192.670000,417.950000,80526.426500,1,1,direct,0.356248,13,0,0.120018,0.307692,4,0.200000,48.249800,20.725475,ok,
