video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_DudukBerdiri_1,posenet,0,0.000000,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000005,0.000000,0,0.200000,15.871900,63.004429,ok,
SP_R_DudukBerdiri_1,posenet,1,0.033311,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000012,0.000000,0,0.200000,15.861600,63.045342,ok,
SP_R_DudukBerdiri_1,posenet,2,0.066622,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000008,0.000000,0,0.200000,16.569500,60.351851,ok,
SP_R_DudukBerdiri_1,posenet,3,0.099933,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000036,0.000000,0,0.200000,17.256500,57.949179,ok,
SP_R_DudukBerdiri_1,posenet,4,0.133244,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000003,0.000000,0,0.200000,16.315200,61.292537,ok,
SP_R_DudukBerdiri_1,posenet,5,0.166556,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000012,0.000000,0,0.200000,17.068400,58.587800,ok,
SP_R_DudukBerdiri_1,posenet,6,0.199867,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000015,0.000000,0,0.200000,16.568100,60.356951,ok,
SP_R_DudukBerdiri_1,posenet,7,0.233178,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000057,0.000000,0,0.200000,18.296600,54.654963,ok,
SP_R_DudukBerdiri_1,posenet,8,0.266489,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000109,0.000000,0,0.200000,13.403200,74.609049,ok,
SP_R_DudukBerdiri_1,posenet,9,0.299800,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000038,0.000000,0,0.200000,16.454300,60.774387,ok,
SP_R_DudukBerdiri_1,posenet,10,0.333111,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000040,0.000000,0,0.200000,15.624400,64.002458,ok,
SP_R_DudukBerdiri_1,posenet,11,0.366422,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,1.000000,12,0,0.000014,0.000000,0,0.200000,15.541400,64.344268,ok,
SP_R_DudukBerdiri_1,posenet,12,0.399733,single,dim,12,12,0,633.620000,355.290000,167.240000,319.030000,53354.577200,1,1,direct,1.000000,12,0,0.000005,0.000000,0,0.200000,15.369600,65.063502,ok,
SP_R_DudukBerdiri_1,posenet,13,0.433044,single,dim,12,12,0,637.410000,355.600000,163.190000,318.600000,51992.334000,1,1,direct,1.000000,12,0,0.000117,0.000000,0,0.200000,15.511500,64.468298,ok,
SP_R_DudukBerdiri_1,posenet,14,0.466356,single,dim,12,12,0,641.210000,355.920000,159.140000,318.160000,50631.982400,1,1,direct,1.000000,12,0,0.001642,0.000000,0,0.200000,15.751400,63.486420,ok,
SP_R_DudukBerdiri_1,posenet,15,0.499667,single,dim,12,12,0,645.000000,356.240000,155.100000,317.720000,49278.372000,1,1,direct,1.000000,12,0,0.014921,0.083333,1,0.200000,15.861800,63.044547,ok,
SP_R_DudukBerdiri_1,posenet,16,0.532978,single,dim,12,12,0,648.120000,355.690000,151.730000,318.150000,48272.899500,1,1,direct,1.000000,12,0,0.002751,0.083333,1,0.200000,15.307800,65.326174,ok,
SP_R_DudukBerdiri_1,posenet,17,0.566289,single,dim,12,12,0,648.430000,355.140000,151.160000,318.570000,48155.041200,1,1,direct,1.000000,12,0,0.002872,0.083333,1,0.200000,15.453500,64.710260,ok,
SP_R_DudukBerdiri_1,posenet,18,0.599600,single,dim,12,12,0,648.730000,354.590000,151.300000,319.000000,48264.700000,1,1,direct,1.000000,12,0,0.001242,0.000000,0,0.200000,15.624700,64.001229,ok,
SP_R_DudukBerdiri_1,posenet,19,0.632911,single,dim,12,12,0,649.040000,354.040000,151.580000,319.430000,48419.199400,1,1,direct,1.000000,12,0,0.001026,0.000000,0,0.200000,14.409200,69.400105,ok,
SP_R_DudukBerdiri_1,posenet,20,0.666222,single,dim,12,12,0,649.340000,350.930000,151.870000,322.420000,48965.925400,1,1,direct,1.000000,12,0,0.000222,0.000000,0,0.200000,16.075600,62.206076,ok,
SP_R_DudukBerdiri_1,posenet,21,0.699533,single,dim,12,12,0,649.650000,347.820000,152.150000,325.410000,49511.131500,1,1,direct,1.000000,12,0,0.000320,0.000000,0,0.200000,15.605400,64.080382,ok,
SP_R_DudukBerdiri_1,posenet,22,0.732844,single,dim,12,12,0,649.950000,344.710000,152.440000,328.390000,50059.771600,1,1,direct,1.000000,12,0,0.000024,0.000000,0,0.200000,15.468600,64.647092,ok,
SP_R_DudukBerdiri_1,posenet,23,0.766156,single,dim,12,12,0,650.260000,341.590000,152.720000,331.390000,50609.880800,1,1,direct,1.000000,12,0,0.000031,0.000000,0,0.200000,15.400600,64.932535,ok,
SP_R_DudukBerdiri_1,posenet,24,0.799467,single,dim,12,12,0,652.600000,337.040000,150.970000,335.760000,50689.687200,1,1,direct,1.000000,12,0,0.000012,0.000000,0,0.200000,14.331300,69.777341,ok,
SP_R_DudukBerdiri_1,posenet,25,0.832778,single,dim,12,12,0,654.940000,332.460000,147.530000,340.160000,50183.804800,1,1,direct,1.000000,12,0,0.000101,0.000000,0,0.200000,14.693900,68.055452,ok,
SP_R_DudukBerdiri_1,posenet,26,0.866089,single,dim,12,12,0,657.280000,325.720000,144.090000,346.710000,49957.443900,1,1,direct,1.000000,12,0,0.000104,0.000000,0,0.200000,15.526100,64.407675,ok,
SP_R_DudukBerdiri_1,posenet,27,0.899400,single,dim,12,12,0,659.630000,318.990000,140.640000,353.260000,49682.486400,1,1,direct,1.000000,12,0,0.000562,0.000000,0,0.200000,15.213800,65.729798,ok,
SP_R_DudukBerdiri_1,posenet,28,0.932711,single,dim,12,12,0,661.970000,312.250000,137.210000,359.820000,49370.902200,1,1,direct,1.000000,12,0,0.007024,0.000000,0,0.200000,15.640700,63.935757,ok,
SP_R_DudukBerdiri_1,posenet,29,0.966022,single,dim,12,12,0,664.530000,304.430000,133.550000,367.460000,49074.283000,1,1,direct,1.000000,12,0,0.020234,0.083333,1,0.200000,13.441400,74.397012,ok,
SP_R_DudukBerdiri_1,posenet,30,0.999333,single,dim,12,12,0,667.090000,296.600000,129.890000,375.100000,48721.739000,1,1,direct,1.000000,12,0,0.021623,0.083333,1,0.200000,15.590500,64.141625,ok,
SP_R_DudukBerdiri_1,posenet,31,1.032644,single,dim,12,12,0,669.650000,288.770000,126.230000,382.750000,48314.532500,1,1,direct,1.000000,12,0,0.035064,0.083333,1,0.200000,16.390600,61.010579,ok,
SP_R_DudukBerdiri_1,posenet,32,1.065956,single,dim,12,12,0,672.210000,280.940000,122.570000,390.400000,47851.328000,1,1,direct,1.000000,12,0,0.063637,0.083333,1,0.200000,15.751000,63.488032,ok,
SP_R_DudukBerdiri_1,posenet,33,1.099267,single,dim,12,12,0,673.680000,271.450000,119.210000,399.420000,47614.858200,1,1,direct,1.000000,12,0,0.061781,0.083333,1,0.200000,14.952000,66.880685,ok,
SP_R_DudukBerdiri_1,posenet,34,1.132578,single,dim,12,12,0,675.140000,261.950000,115.850000,408.460000,47320.091000,1,1,direct,1.000000,12,0,0.072732,0.083333,1,0.200000,14.270200,70.076103,ok,
SP_R_DudukBerdiri_1,posenet,35,1.165889,single,dim,12,12,0,676.610000,252.450000,112.480000,417.500000,46960.400000,1,1,direct,1.000000,12,0,0.029922,0.083333,1,0.200000,15.554300,64.290903,ok,
SP_R_DudukBerdiri_1,posenet,36,1.199200,single,dim,12,12,0,678.070000,242.950000,109.120000,426.530000,46542.953600,1,1,direct,1.000000,12,0,0.054035,0.083333,1,0.200000,13.787000,72.532095,ok,
SP_R_DudukBerdiri_1,posenet,37,1.232511,single,dim,12,12,0,681.000000,239.120000,105.650000,430.360000,45467.534000,1,1,direct,1.000000,12,0,0.048770,0.083333,1,0.200000,15.411200,64.887874,ok,
SP_R_DudukBerdiri_1,posenet,38,1.265822,single,dim,12,12,0,682.350000,235.300000,103.750000,434.180000,45046.175000,1,1,direct,1.000000,12,0,0.066887,0.083333,1,0.200000,16.467100,60.727147,ok,
SP_R_DudukBerdiri_1,posenet,39,1.299133,single,dim,12,12,0,680.160000,231.470000,105.390000,438.010000,46161.873900,1,1,direct,1.000000,12,0,0.073018,0.083333,1,0.200000,16.616300,60.181870,ok,
SP_R_DudukBerdiri_1,posenet,40,1.332444,single,dim,12,12,0,677.980000,227.640000,107.030000,441.840000,47290.135200,1,1,direct,1.000000,12,0,0.080717,0.083333,1,0.200000,14.171400,70.564658,ok,
SP_R_DudukBerdiri_1,posenet,41,1.365756,single,dim,12,12,0,675.520000,225.870000,109.350000,443.610000,48508.753500,1,1,direct,1.000000,12,0,0.043643,0.083333,1,0.200000,15.395700,64.953201,ok,
SP_R_DudukBerdiri_1,posenet,42,1.399067,single,dim,12,12,0,673.060000,224.090000,111.670000,445.390000,49736.701300,1,1,direct,1.000000,12,0,0.046373,0.166667,2,0.200000,15.346400,65.161862,ok,
SP_R_DudukBerdiri_1,posenet,43,1.432378,single,dim,12,12,0,670.590000,222.310000,114.010000,447.170000,50981.851700,1,1,direct,1.000000,12,0,0.036086,0.083333,1,0.200000,15.459100,64.686819,ok,
SP_R_DudukBerdiri_1,posenet,44,1.465689,single,dim,12,12,0,668.130000,220.540000,116.330000,448.940000,52225.190200,1,1,direct,1.000000,12,0,0.041417,0.083333,1,0.200000,14.684800,68.097625,ok,
SP_R_DudukBerdiri_1,posenet,45,1.499000,single,dim,12,12,0,668.130000,220.540000,117.290000,448.940000,52656.172600,1,1,direct,1.000000,12,0,0.034143,0.083333,1,0.200000,16.764600,59.649500,ok,
SP_R_DudukBerdiri_1,posenet,46,1.532311,single,dim,12,12,0,668.130000,220.540000,118.240000,448.940000,53082.665600,1,1,direct,1.000000,12,0,0.022595,0.083333,1,0.200000,17.588300,56.855978,ok,
SP_R_DudukBerdiri_1,posenet,47,1.565622,single,dim,12,12,0,668.130000,220.540000,119.200000,448.940000,53513.648000,1,1,direct,1.000000,12,0,0.029866,0.166667,2,0.200000,15.875200,62.991332,ok,
SP_R_DudukBerdiri_1,posenet,48,1.598933,single,dim,12,12,0,668.130000,220.540000,120.160000,448.940000,53944.630400,1,1,direct,1.000000,12,0,0.037123,0.166667,2,0.200000,15.488600,64.563615,ok,
SP_R_DudukBerdiri_1,posenet,49,1.632244,single,dim,12,12,0,668.130000,220.540000,121.100000,448.940000,54366.634000,1,1,direct,1.000000,12,0,0.021070,0.083333,1,0.200000,14.990400,66.709361,ok,
SP_R_DudukBerdiri_1,posenet,50,1.665556,single,dim,12,12,0,668.130000,220.540000,122.050000,448.940000,54793.127000,1,1,direct,1.000000,12,0,0.032660,0.166667,2,0.200000,13.744900,72.754258,ok,
SP_R_DudukBerdiri_1,posenet,51,1.698867,single,dim,12,12,0,668.130000,220.540000,122.990000,448.940000,55215.130600,1,1,direct,1.000000,12,0,0.024878,0.083333,1,0.200000,16.217200,61.662926,ok,
