video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,554.579102,240.973618,,,,0.026000,
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,567.909973,232.086365,,,,0.025000,
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,541.248230,232.086365,,,,0.025000,
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,581.240784,240.973618,,,,0.035000,
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,527.917358,240.973618,,,,0.035000,
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,5,left_shoulder,1,1,2.000000,599.480000,305.540000,2.000000,603.458923,303.184296,4.623978,36.862161,1,0.079000,0.950825
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,6,right_shoulder,1,1,2.000000,509.720000,306.140000,2.000000,505.699280,307.627930,4.287205,36.862161,1,0.079000,0.957579
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,7,left_elbow,1,1,2.000000,609.080000,375.890000,2.000000,616.789795,378.725830,8.214796,36.862161,1,0.072000,0.825637
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,8,right_elbow,1,1,2.000000,500.880000,374.250000,2.000000,501.255646,378.725830,4.491566,36.862161,1,0.072000,0.944330
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,9,left_wrist,1,1,2.000000,587.490000,434.170000,2.000000,599.015320,427.605652,13.263622,36.862161,1,0.062000,0.509864
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,10,right_wrist,1,1,2.000000,525.350000,431.580000,2.000000,523.473755,432.049286,1.934044,36.862161,1,0.062000,0.985780
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,11,left_hip,1,1,2.000000,602.810000,431.960000,2.000000,590.128052,449.823761,21.907665,36.862161,1,0.107000,0.539555
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,12,right_hip,1,1,2.000000,523.970000,436.860000,2.000000,532.361023,449.823761,15.442421,36.862161,1,0.107000,0.735966
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,13,left_knee,1,1,2.000000,595.460000,476.120000,2.000000,599.015320,538.696167,62.677085,36.862161,0,0.087000,0.000481
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,14,right_knee,1,1,2.000000,538.280000,480.180000,2.000000,532.361023,543.139771,63.237386,36.862161,0,0.087000,0.000420
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,15,left_ankle,1,1,2.000000,606.600000,617.810000,2.000000,603.458923,627.568542,10.251610,36.862161,1,0.089000,0.822599
SP_R_DudukBerdiri_2,hrnet,0,0.000000,ok,1,direct,0.751567,16,right_ankle,1,1,2.000000,543.990000,619.500000,2.000000,536.804626,627.568542,10.804211,36.862161,1,0.089000,0.805004
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,555.049805,240.984573,,,,0.026000,
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,568.365723,232.107300,,,,0.025000,
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,541.733887,232.107300,,,,0.025000,
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,581.681641,240.984573,,,,0.035000,
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,528.417908,240.984573,,,,0.035000,
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,5,left_shoulder,1,1,2.000000,599.480000,305.540000,2.000000,603.874817,303.125549,5.014378,36.754688,1,0.079000,0.942098
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,6,right_shoulder,1,1,2.000000,509.720000,306.140000,2.000000,506.224731,307.564209,3.774291,36.754688,1,0.079000,0.966772
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,7,left_elbow,1,1,2.000000,609.080000,375.890000,2.000000,617.190735,378.582458,8.545955,36.754688,1,0.072000,0.811741
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,8,right_elbow,1,1,2.000000,501.510000,374.370000,2.000000,497.347443,378.582458,5.922136,36.754688,1,0.072000,0.904692
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,9,left_wrist,1,1,2.000000,587.490000,434.170000,2.000000,599.436218,427.407532,13.727458,36.754688,1,0.062000,0.483950
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,10,right_wrist,1,1,2.000000,525.350000,431.580000,2.000000,519.540649,431.846161,5.815445,36.754688,1,0.062000,0.877873
SP_R_DudukBerdiri_2,hrnet,1,0.033210,ok,1,direct,0.751880,11,left_hip,1,1,2.000000,602.810000,431.960000,2.000000,590.558899,449.600739,21.477550,36.754688,1,0.107000,0.550739
