video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_Jongkok_1,mediapipe,0,0.000000,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.945871,12,0,0.895959,1.000000,12,0.200000,54.564300,18.327001,ok,
SP_R_Jongkok_1,mediapipe,1,0.040454,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.944915,12,0,0.885347,1.000000,12,0.200000,59.757200,16.734385,ok,
SP_R_Jongkok_1,mediapipe,2,0.080907,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.945216,12,0,0.882296,1.000000,12,0.200000,56.341500,17.748906,ok,
SP_R_Jongkok_1,mediapipe,3,0.121361,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.945265,12,0,0.882160,1.000000,12,0.200000,61.823100,16.175184,ok,
SP_R_Jongkok_1,mediapipe,4,0.161815,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.945985,12,0,0.884037,1.000000,12,0.200000,64.944800,15.397692,ok,
SP_R_Jongkok_1,mediapipe,5,0.202269,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.949319,12,0,0.886352,1.000000,12,0.200000,62.697000,15.949726,ok,
SP_R_Jongkok_1,mediapipe,6,0.242722,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.949749,12,0,0.892711,1.000000,12,0.200000,56.445300,17.716267,ok,
SP_R_Jongkok_1,mediapipe,7,0.283176,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.953008,12,0,0.876730,1.000000,12,0.200000,63.513100,15.744783,ok,
SP_R_Jongkok_1,mediapipe,8,0.323630,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.953745,12,0,0.868378,1.000000,12,0.200000,66.046100,15.140939,ok,
SP_R_Jongkok_1,mediapipe,9,0.364083,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.950177,12,0,0.860132,1.000000,12,0.200000,57.721400,17.324597,ok,
SP_R_Jongkok_1,mediapipe,10,0.404537,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.949193,12,0,0.881019,1.000000,12,0.200000,57.801400,17.300619,ok,
SP_R_Jongkok_1,mediapipe,11,0.444991,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.941574,12,0,0.888129,1.000000,12,0.200000,63.724100,15.692650,ok,
SP_R_Jongkok_1,mediapipe,12,0.485445,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.947671,12,0,0.890122,1.000000,12,0.200000,65.353000,15.301516,ok,
SP_R_Jongkok_1,mediapipe,13,0.525898,single,dim,12,12,0,598.740000,250.100000,115.970000,399.880000,46374.083600,1,1,direct,0.944199,12,0,0.887706,1.000000,12,0.200000,62.016700,16.124689,ok,
SP_R_Jongkok_1,mediapipe,14,0.566352,single,dim,12,12,0,596.860000,251.480000,115.340000,398.030000,45908.780200,1,1,direct,0.929078,12,0,0.878626,1.000000,12,0.200000,58.549700,17.079507,ok,
SP_R_Jongkok_1,mediapipe,15,0.606806,single,dim,12,12,0,594.940000,252.870000,116.480000,396.180000,46147.046400,1,1,direct,0.900182,12,0,0.817919,1.000000,12,0.200000,60.879600,16.425864,ok,
