video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,652.944000,221.880000,,,,0.026000,
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,664.581000,212.096000,,,,0.025000,
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,648.929000,212.099000,,,,0.025000,
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,684.209000,221.846000,,,,0.035000,
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,639.178000,221.889000,,,,0.035000,
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,5,left_shoulder,1,1,2.000000,712.410000,276.190000,2.000000,705.735000,278.692000,7.128508,40.918083,1,0.079000,0.907318
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,6,right_shoulder,1,1,2.000000,622.150000,284.750000,2.000000,631.315000,278.704000,10.979587,40.918083,1,0.079000,0.793948
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,7,left_elbow,1,1,2.000000,719.520000,354.670000,2.000000,717.602000,351.164000,3.996343,40.918083,1,0.072000,0.963868
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,8,right_elbow,1,1,2.000000,611.440000,349.920000,2.000000,615.675000,351.204000,4.425368,40.918083,1,0.072000,0.955876
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,9,left_wrist,1,1,2.000000,705.140000,415.160000,2.000000,707.696000,409.950000,5.803209,40.918083,1,0.062000,0.900637
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,10,right_wrist,1,1,2.000000,607.680000,412.140000,2.000000,617.601000,411.880000,9.924406,40.918083,1,0.062000,0.736333
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,11,left_hip,1,1,2.000000,690.350000,404.440000,2.000000,690.064000,425.627000,21.188930,40.918083,1,0.107000,0.625981
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,12,right_hip,1,1,2.000000,637.910000,408.100000,2.000000,639.150000,425.633000,17.576794,40.918083,1,0.107000,0.724453
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,13,left_knee,1,1,2.000000,702.030000,533.670000,2.000000,695.950000,531.399000,6.490288,40.918083,1,0.087000,0.935682
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,14,right_knee,1,1,2.000000,647.340000,531.150000,2.000000,647.019000,533.390000,2.262883,40.918083,1,0.087000,0.991951
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,15,left_ankle,1,1,2.000000,712.950000,650.450000,2.000000,705.776000,635.262000,16.797072,40.918083,1,0.089000,0.653451
SP_R_Jongkok_2,openpose,0,0.000000,ok,1,direct,0.604486,16,right_ankle,1,1,2.000000,659.670000,639.480000,2.000000,656.809000,631.309000,8.657399,40.918083,1,0.089000,0.893124
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,652.855000,219.923000,,,,0.026000,
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,662.690000,212.027000,,,,0.025000,
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,647.040000,212.029000,,,,0.025000,
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,682.341000,219.965000,,,,0.035000,
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,637.219000,218.013000,,,,0.035000,
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,5,left_shoulder,1,1,2.000000,712.080000,276.190000,2.000000,703.862000,278.646000,8.577148,40.871039,1,0.079000,0.868373
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,6,right_shoulder,1,1,2.000000,622.360000,285.050000,2.000000,629.415000,278.744000,9.462487,40.871039,1,0.079000,0.842170
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,7,left_elbow,1,1,2.000000,719.000000,354.670000,2.000000,717.539000,351.164000,3.798231,40.871039,1,0.072000,0.967230
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,8,right_elbow,1,1,2.000000,611.270000,349.790000,2.000000,615.625000,351.221000,4.584080,40.871039,1,0.072000,0.952626
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,9,left_wrist,1,1,2.000000,705.140000,415.160000,2.000000,705.775000,410.001000,5.197933,40.871039,1,0.062000,0.919289
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,10,right_wrist,1,1,2.000000,607.420000,412.050000,2.000000,615.643000,415.804000,9.039372,40.871039,1,0.062000,0.775302
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,11,left_hip,1,1,2.000000,690.710000,404.470000,2.000000,688.153000,425.630000,21.313936,40.871039,1,0.107000,0.621841
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,12,right_hip,1,1,2.000000,638.050000,408.140000,2.000000,637.245000,425.616000,17.494531,40.871039,1,0.107000,0.726103
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,13,left_knee,1,1,2.000000,701.880000,533.230000,2.000000,694.045000,531.387000,8.048843,40.871039,1,0.087000,0.902599
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,14,right_knee,1,1,2.000000,647.080000,531.010000,2.000000,645.098000,533.346000,3.063531,40.871039,1,0.087000,0.985264
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,15,left_ankle,1,1,2.000000,712.950000,650.460000,2.000000,699.931000,635.234000,20.033109,40.871039,1,0.089000,0.545192
SP_R_Jongkok_2,openpose,1,0.033790,ok,1,direct,0.628237,16,right_ankle,1,1,2.000000,659.450000,639.540000,2.000000,656.839000,631.349000,8.597081,40.871039,1,0.089000,0.894297
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,652.906000,217.937000,,,,0.026000,
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,664.573000,210.096000,,,,0.025000,
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,647.066000,210.088000,,,,0.025000,
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,684.201000,219.900000,,,,0.035000,
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,637.241000,216.040000,,,,0.035000,
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,5,left_shoulder,1,1,2.000000,711.750000,276.190000,2.000000,703.876000,276.795000,7.897208,40.823939,1,0.079000,0.886991
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,6,right_shoulder,1,1,2.000000,622.560000,285.340000,2.000000,629.416000,278.750000,9.509618,40.823939,1,0.079000,0.840390
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,7,left_elbow,1,1,2.000000,718.480000,354.670000,2.000000,715.602000,351.133000,4.559962,40.823939,1,0.072000,0.953005
SP_R_Jongkok_2,openpose,2,0.067579,ok,1,direct,0.629589,8,right_elbow,1,1,2.000000,611.090000,349.660000,2.000000,613.704000,351.201000,3.034415,40.823939,1,0.072000,0.978911
