video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,646.510071,225.713821,,,,0.026000,
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,654.175964,214.178833,,,,0.025000,
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,642.677063,216.101334,,,,0.025000,
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,678.131958,217.062592,,,,0.035000,
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,635.969360,220.907578,,,,0.035000,
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,5,left_shoulder,1,1,2.000000,712.410000,276.190000,2.000000,704.004395,279.543701,9.049946,40.918083,1,0.079000,0.854909
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,6,right_shoulder,1,1,2.000000,622.150000,284.750000,2.000000,634.052979,280.504944,12.637302,40.918083,1,0.079000,0.736629
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,7,left_elbow,1,1,2.000000,719.520000,354.670000,2.000000,716.461609,351.637299,4.307091,40.918083,1,0.072000,0.958154
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,8,right_elbow,1,1,2.000000,611.440000,349.920000,2.000000,617.762878,351.637299,6.551939,40.918083,1,0.072000,0.905817
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,9,left_wrist,1,1,2.000000,705.140000,415.160000,2.000000,706.879150,406.428467,8.903051,40.918083,1,0.062000,0.781675
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,10,right_wrist,1,1,2.000000,607.680000,412.140000,2.000000,620.637573,413.157196,12.997438,40.918083,1,0.062000,0.591575
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,11,left_hip,1,1,2.000000,690.350000,404.440000,2.000000,689.630859,422.769653,18.343755,40.918083,1,0.107000,0.703926
SP_R_Jongkok_2,posenet,0,0.000000,ok,1,direct,1.000000,12,right_hip,1,1,2.000000,637.910000,408.100000,2.000000,646.510071,423.730927,17.840602,40.918083,1,0.107000,0.717425
