video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,654.925049,220.878967,,,,0.026000,
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,665.037659,212.977661,,,,0.025000,
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,647.464294,212.722290,,,,0.025000,
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,684.089783,221.239777,,,,0.035000,
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,641.031067,221.570526,,,,0.035000,
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,5,left_shoulder,1,1,2.000000,712.410000,276.190000,2.000000,705.371277,283.099426,9.863255,40.918083,1,0.079000,0.830105
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,6,right_shoulder,1,1,2.000000,622.150000,284.750000,2.000000,629.572937,282.591278,7.730464,40.918083,1,0.079000,0.891917
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,7,left_elbow,1,1,2.000000,719.520000,354.670000,2.000000,723.017395,358.075043,4.881197,40.918083,1,0.072000,0.946578
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,8,right_elbow,1,1,2.000000,611.440000,349.920000,2.000000,610.665588,352.959412,3.136517,40.918083,1,0.072000,0.977586
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,9,left_wrist,1,1,2.000000,705.140000,415.160000,2.000000,702.974365,417.949707,3.531634,40.918083,1,0.062000,0.961983
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,10,right_wrist,1,1,2.000000,607.680000,412.140000,2.000000,614.405762,412.804932,6.758550,40.918083,1,0.062000,0.867668
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,11,left_hip,1,1,2.000000,690.350000,404.440000,2.000000,690.063660,425.734192,21.296117,40.918083,1,0.107000,0.623014
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,12,right_hip,1,1,2.000000,637.910000,408.100000,2.000000,640.887024,424.462433,16.631052,40.918083,1,0.107000,0.749324
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,13,left_knee,1,1,2.000000,702.030000,533.670000,2.000000,696.934631,536.025513,5.613486,40.918083,1,0.087000,0.951485
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,14,right_knee,1,1,2.000000,647.340000,531.150000,2.000000,650.259521,531.824707,2.996470,40.918083,1,0.087000,0.985930
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,15,left_ankle,1,1,2.000000,712.950000,650.450000,2.000000,703.300842,639.649719,14.482828,40.918083,1,0.089000,0.728826
SP_R_Jongkok_2,yolopose,0,0.000000,ok,1,direct,0.887598,16,right_ankle,1,1,2.000000,659.670000,639.480000,2.000000,655.463318,631.906494,8.663381,40.918083,1,0.089000,0.892984
SP_R_Jongkok_2,yolopose,1,0.033790,ok,1,direct,0.886396,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,653.865601,219.862686,,,,0.026000,
SP_R_Jongkok_2,yolopose,1,0.033790,ok,1,direct,0.886396,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,663.542419,211.656342,,,,0.025000,
SP_R_Jongkok_2,yolopose,1,0.033790,ok,1,direct,0.886396,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,645.806702,212.397141,,,,0.025000,
SP_R_Jongkok_2,yolopose,1,0.033790,ok,1,direct,0.886396,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,683.318909,219.621002,,,,0.035000,
SP_R_Jongkok_2,yolopose,1,0.033790,ok,1,direct,0.886396,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,640.092590,222.485077,,,,0.035000,
SP_R_Jongkok_2,yolopose,1,0.033790,ok,1,direct,0.886396,5,left_shoulder,1,1,2.000000,712.080000,276.190000,2.000000,707.336914,281.584015,7.182775,40.871039,1,0.079000,0.905765
SP_R_Jongkok_2,yolopose,1,0.033790,ok,1,direct,0.886396,6,right_shoulder,1,1,2.000000,622.360000,285.050000,2.000000,629.492615,283.710602,7.257285,40.871039,1,0.079000,0.903897
