video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_PushUp_1,movenet,0,0.000000,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.386800,9,2,0.192769,0.666667,6,0.200000,103.987900,9.616503,ok,
SP_R_PushUp_1,movenet,1,0.033510,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.386706,9,1,0.170741,0.666667,6,0.200000,110.951600,9.012939,ok,
SP_R_PushUp_1,movenet,2,0.067019,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.430236,9,1,0.191145,0.777778,7,0.200000,114.758200,8.713974,ok,
SP_R_PushUp_1,movenet,3,0.100529,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.403534,9,1,0.189149,0.666667,6,0.200000,115.530000,8.655760,ok,
SP_R_PushUp_1,movenet,4,0.134038,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.366292,9,1,0.196457,0.666667,6,0.200000,112.625600,8.878976,ok,
SP_R_PushUp_1,movenet,5,0.167548,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.359496,9,2,0.213341,0.777778,7,0.200000,114.649800,8.722213,ok,
SP_R_PushUp_1,movenet,6,0.201057,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.343813,9,2,0.214412,0.777778,7,0.200000,117.378200,8.519470,ok,
SP_R_PushUp_1,movenet,7,0.234567,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.362677,9,1,0.203949,0.777778,7,0.200000,119.067100,8.398626,ok,
SP_R_PushUp_1,movenet,8,0.268077,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.374053,9,2,0.284961,0.777778,7,0.200000,118.228400,8.458205,ok,
SP_R_PushUp_1,movenet,9,0.301586,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.327291,9,2,0.324349,0.777778,7,0.200000,122.589600,8.157299,ok,
SP_R_PushUp_1,movenet,10,0.335096,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.338128,9,2,0.309915,0.777778,7,0.200000,125.358700,7.977109,ok,
SP_R_PushUp_1,movenet,11,0.368605,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.323078,9,1,0.351268,0.777778,7,0.200000,124.105100,8.057687,ok,
SP_R_PushUp_1,movenet,12,0.402115,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.321005,9,2,0.346196,0.777778,7,0.200000,117.764000,8.491559,ok,
SP_R_PushUp_1,movenet,13,0.435624,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.352792,9,2,0.346564,0.777778,7,0.200000,121.283200,8.245165,ok,
SP_R_PushUp_1,movenet,14,0.469134,single,dim,12,9,0,325.750000,210.120000,439.450000,253.170000,111255.556500,1,1,direct,0.348929,9,2,0.335171,0.777778,7,0.200000,115.874000,8.630064,ok,
SP_R_PushUp_1,movenet,15,0.502644,single,dim,12,9,0,325.230000,213.540000,439.750000,249.140000,109559.315000,1,1,direct,0.373592,9,1,0.272903,0.777778,7,0.200000,115.088900,8.688935,ok,
SP_R_PushUp_1,movenet,16,0.536153,single,dim,12,9,0,324.720000,216.960000,440.040000,245.120000,107862.604800,1,1,direct,0.350884,9,2,0.253655,0.666667,6,0.200000,122.259500,8.179323,ok,
SP_R_PushUp_1,movenet,17,0.569663,single,dim,12,9,0,324.210000,220.370000,440.330000,241.100000,106163.563000,1,1,direct,0.323236,9,1,0.310953,0.777778,7,0.200000,123.627700,8.088802,ok,
SP_R_PushUp_1,movenet,18,0.603172,single,dim,12,9,0,323.700000,223.790000,440.620000,237.080000,104462.189600,1,1,direct,0.374782,9,1,0.233255,0.777778,7,0.200000,124.469200,8.034116,ok,
SP_R_PushUp_1,movenet,19,0.636682,single,dim,12,9,0,323.180000,227.200000,441.880000,233.060000,102984.552800,1,1,direct,0.379838,9,1,0.283205,0.888889,8,0.200000,124.720100,8.017954,ok,
SP_R_PushUp_1,movenet,20,0.670191,single,dim,12,9,0,322.670000,230.620000,445.680000,229.030000,102074.090400,1,1,direct,0.374785,9,0,0.343732,0.888889,8,0.200000,125.944300,7.940018,ok,
SP_R_PushUp_1,movenet,21,0.703701,single,dim,12,9,0,322.160000,242.170000,447.650000,216.880000,97086.332000,1,1,direct,0.410627,9,1,0.398194,0.888889,8,0.200000,122.870000,8.138683,ok,
SP_R_PushUp_1,movenet,22,0.737211,single,dim,12,9,0,321.650000,253.710000,449.630000,204.730000,92052.749900,1,1,direct,0.422365,9,1,0.438578,0.777778,7,0.200000,123.141000,8.120772,ok,
SP_R_PushUp_1,movenet,23,0.770720,single,dim,12,9,0,321.130000,265.260000,451.610000,192.580000,86971.053800,1,1,direct,0.433279,9,1,0.350203,0.777778,7,0.200000,120.936800,8.268782,ok,
SP_R_PushUp_1,movenet,24,0.804230,single,dim,12,9,0,320.620000,276.810000,453.580000,180.420000,81834.903600,1,1,direct,0.431754,9,1,0.406702,0.666667,6,0.200000,122.461400,8.165838,ok,
SP_R_PushUp_1,movenet,25,0.837739,single,dim,12,9,0,321.900000,280.660000,447.910000,178.000000,79727.980000,1,1,direct,0.379549,9,2,0.357001,0.666667,6,0.200000,127.976700,7.813922,ok,
SP_R_PushUp_1,movenet,26,0.871249,single,dim,12,8,0,323.180000,298.880000,441.290000,161.200000,71135.948000,1,1,direct,0.410015,8,1,0.326673,0.625000,5,0.200000,123.529700,8.095219,ok,
SP_R_PushUp_1,movenet,27,0.904759,single,dim,12,8,0,324.460000,307.980000,440.740000,153.530000,67666.812200,1,1,direct,0.391005,8,2,0.284285,0.750000,6,0.200000,124.520900,8.030780,ok,
SP_R_PushUp_1,movenet,28,0.938268,single,dim,12,8,0,325.740000,315.940000,440.190000,146.990000,64703.528100,1,1,direct,0.356019,8,1,0.304238,0.625000,5,0.200000,123.018000,8.128892,ok,
SP_R_PushUp_1,movenet,29,0.971778,single,dim,12,7,0,326.670000,320.540000,438.530000,142.390000,62442.286700,1,1,direct,0.326901,7,2,0.350541,0.714286,5,0.200000,121.476800,8.232025,ok,
