video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_PushUp_2,blazepose,0,0.000000,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.861230,11,3,0.602453,0.727273,8,0.200000,27.813200,35.954151,ok,
SP_R_PushUp_2,blazepose,1,0.040454,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.847703,11,3,0.585233,0.727273,8,0.200000,27.606500,36.223353,ok,
SP_R_PushUp_2,blazepose,2,0.080908,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.853506,11,3,0.604725,0.727273,8,0.200000,27.134900,36.852909,ok,
SP_R_PushUp_2,blazepose,3,0.121362,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.858425,11,3,0.601903,0.727273,8,0.200000,26.999500,37.037723,ok,
SP_R_PushUp_2,blazepose,4,0.161816,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.873866,11,2,0.682592,0.818182,9,0.200000,27.471100,36.401891,ok,
SP_R_PushUp_2,blazepose,5,0.202270,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.882210,11,2,0.686257,0.818182,9,0.200000,27.238200,36.713146,ok,
SP_R_PushUp_2,blazepose,6,0.242724,single,dim,12,11,0,397.800000,220.820000,347.160000,196.700000,68286.372000,1,1,direct,0.873151,11,3,0.619774,0.727273,8,0.200000,27.340500,36.575776,ok,
SP_R_PushUp_2,blazepose,7,0.283178,single,dim,12,11,0,397.520000,223.240000,349.230000,194.500000,67925.235000,1,1,direct,0.879597,11,2,0.667993,0.818182,9,0.200000,27.419100,36.470927,ok,
SP_R_PushUp_2,blazepose,8,0.323632,single,dim,12,11,0,397.240000,225.660000,351.310000,192.300000,67556.913000,1,1,direct,0.852168,11,3,0.589209,0.727273,8,0.200000,27.508000,36.353061,ok,
SP_R_PushUp_2,blazepose,9,0.364086,single,dim,12,11,0,396.950000,228.080000,353.390000,190.100000,67179.439000,1,1,direct,0.838245,11,4,0.521936,0.636364,7,0.200000,27.680500,36.126515,ok,
SP_R_PushUp_2,blazepose,10,0.404540,single,dim,12,11,0,396.670000,230.500000,355.470000,187.900000,66792.813000,1,1,direct,0.807282,11,4,0.422301,0.636364,7,0.200000,27.778600,35.998934,ok,
SP_R_PushUp_2,blazepose,11,0.444994,single,dim,12,11,0,397.830000,231.710000,354.310000,186.930000,66231.168300,0,0,none,0.000000,11,11,0.000000,0.000000,0,0.200000,26.806500,37.304385,no_pred_match,
SP_R_PushUp_2,blazepose,12,0.485448,single,dim,12,11,0,398.980000,231.710000,353.160000,187.170000,66100.957200,1,1,direct,0.767355,11,2,0.064015,0.090909,1,0.200000,27.434500,36.450455,ok,
SP_R_PushUp_2,blazepose,13,0.525902,single,dim,12,10,0,400.130000,239.970000,332.840000,179.150000,59628.286000,0,0,none,0.000000,10,10,0.000000,0.000000,0,0.200000,27.197100,36.768626,no_pred_match,
SP_R_PushUp_2,blazepose,14,0.566356,single,dim,12,10,0,401.290000,243.130000,333.870000,176.230000,58837.910100,1,1,direct,0.852956,10,3,0.628569,0.700000,7,0.200000,28.217500,35.439001,ok,
SP_R_PushUp_2,blazepose,15,0.606810,single,dim,12,10,0,402.440000,246.290000,334.910000,173.310000,58043.252100,1,1,direct,0.804201,10,2,0.022779,0.100000,1,0.200000,27.879900,35.868134,ok,
SP_R_PushUp_2,blazepose,16,0.647264,single,dim,12,10,0,403.600000,249.450000,335.930000,170.390000,57239.112700,1,1,direct,0.776968,10,2,0.016283,0.000000,0,0.200000,27.460100,36.416473,ok,
