video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,805.902100,217.168872,,,,0.026000,
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,809.887085,202.411680,,,,0.025000,
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,809.750977,203.248551,,,,0.025000,
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,793.348236,188.941627,,,,0.035000,
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,792.354889,189.888875,,,,0.035000,
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,5,left_shoulder,1,1,2.000000,743.160000,221.680000,2.000000,718.916779,214.540586,25.272614,52.396345,1,0.079000,0.474475
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,6,right_shoulder,1,1,2.000000,716.490000,218.400000,2.000000,724.185867,225.519834,10.484198,52.396345,1,0.079000,0.879585
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,7,left_elbow,1,1,2.000000,733.130000,308.320000,0.000000,696.017990,292.557614,,52.396345,0,0.072000,0.000000
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,8,right_elbow,1,1,2.000000,709.430000,319.120000,2.000000,700.823669,323.912337,9.850656,52.396345,1,0.072000,0.872527
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,9,left_wrist,1,1,2.000000,731.710000,384.680000,0.000000,722.921524,378.866229,,52.396345,0,0.062000,0.000000
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,10,right_wrist,1,1,2.000000,709.220000,417.300000,2.000000,719.053497,423.943090,11.867111,52.396345,1,0.062000,0.765756
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,11,left_hip,1,0,0.000000,543.040000,293.770000,2.000000,576.229477,294.315705,,,,0.107000,
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,12,right_hip,1,1,2.000000,575.710000,301.130000,2.000000,581.465836,313.562808,13.700524,52.396345,1,0.107000,0.887421
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,13,left_knee,1,1,2.000000,485.710000,371.360000,0.000000,492.864037,370.706434,,52.396345,0,0.087000,0.000000
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,14,right_knee,1,1,2.000000,485.330000,398.730000,2.000000,486.582222,409.492893,10.835494,52.396345,1,0.087000,0.893149
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,15,left_ankle,1,1,2.000000,419.190000,285.720000,2.000000,420.045013,286.305256,1.036133,52.396345,1,0.089000,0.999013
SP_R_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.861230,16,right_ankle,1,1,2.000000,398.090000,301.580000,2.000000,410.150909,296.601098,13.048180,52.396345,1,0.089000,0.855060
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,804.992218,214.299831,,,,0.026000,
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,810.101471,200.015502,,,,0.025000,
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,810.163345,201.220286,,,,0.025000,
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,793.902969,187.412660,,,,0.035000,
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,792.539520,186.127110,,,,0.035000,
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,5,left_shoulder,1,1,2.000000,743.160000,221.680000,2.000000,715.375137,214.882879,28.604186,52.396345,1,0.079000,0.384787
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,6,right_shoulder,1,1,2.000000,716.490000,218.400000,2.000000,724.583664,227.388539,12.095505,52.396345,1,0.079000,0.843012
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,7,left_elbow,1,1,2.000000,733.130000,308.320000,0.000000,690.091858,297.326968,,52.396345,0,0.072000,0.000000
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,8,right_elbow,1,1,2.000000,709.430000,319.120000,2.000000,697.733307,321.528668,11.942123,52.396345,1,0.072000,0.818393
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,9,left_wrist,1,1,2.000000,731.710000,384.680000,0.000000,717.254868,382.982798,,52.396345,0,0.062000,0.000000
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,10,right_wrist,1,1,2.000000,709.220000,417.300000,2.000000,715.948334,427.881732,12.539678,52.396345,1,0.062000,0.742301
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,11,left_hip,1,0,0.000000,543.040000,293.770000,2.000000,576.292114,295.232441,,,,0.107000,
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,12,right_hip,1,1,2.000000,575.710000,301.130000,2.000000,582.159843,315.481896,15.734593,52.396345,1,0.107000,0.854249
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,13,left_knee,1,1,2.000000,485.710000,371.360000,0.000000,485.098686,375.951977,,52.396345,0,0.087000,0.000000
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,14,right_knee,1,1,2.000000,485.330000,398.730000,2.000000,484.151230,407.846103,9.191998,52.396345,1,0.087000,0.921897
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,15,left_ankle,1,1,2.000000,419.190000,285.720000,2.000000,419.371948,287.375050,1.665021,52.396345,1,0.089000,0.997454
SP_R_PushUp_2,mediapipe,1,0.040454,ok,1,direct,0.847703,16,right_ankle,1,1,2.000000,398.090000,301.580000,2.000000,408.082581,294.890020,12.025286,52.396345,1,0.089000,0.875469
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,806.855316,213.583918,,,,0.026000,
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,810.914841,198.265157,,,,0.025000,
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,811.106262,199.581885,,,,0.025000,
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,794.266052,187.297368,,,,0.035000,
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,793.905334,186.874995,,,,0.035000,
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,5,left_shoulder,1,1,2.000000,743.160000,221.680000,2.000000,718.769989,216.308291,24.974545,52.396345,1,0.079000,0.482843
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,6,right_shoulder,1,1,2.000000,716.490000,218.400000,2.000000,726.853256,227.444930,13.755284,52.396345,1,0.079000,0.801831
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,7,left_elbow,1,1,2.000000,733.130000,308.320000,0.000000,694.883194,298.090732,,52.396345,0,0.072000,0.000000
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,8,right_elbow,1,1,2.000000,709.430000,319.120000,2.000000,700.953674,321.247444,8.739229,52.396345,1,0.072000,0.898232
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,9,left_wrist,1,1,2.000000,731.710000,384.680000,0.000000,722.861481,381.679201,,52.396345,0,0.062000,0.000000
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,10,right_wrist,1,1,2.000000,709.220000,417.300000,2.000000,718.236694,425.545378,12.218307,52.396345,1,0.062000,0.753579
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,11,left_hip,1,0,0.000000,543.040000,293.770000,2.000000,577.910728,292.876217,,,,0.107000,
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,12,right_hip,1,1,2.000000,575.710000,301.130000,2.000000,583.423004,311.976335,13.309148,52.396345,1,0.107000,0.893410
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,13,left_knee,1,1,2.000000,485.710000,371.360000,0.000000,488.465424,374.363551,,52.396345,0,0.087000,0.000000
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,14,right_knee,1,1,2.000000,485.330000,398.730000,2.000000,482.713470,404.125471,5.996444,52.396345,1,0.087000,0.965984
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,15,left_ankle,1,1,2.000000,419.190000,285.720000,2.000000,419.577026,286.166639,0.590996,52.396345,1,0.089000,0.999679
SP_R_PushUp_2,mediapipe,2,0.080908,ok,1,direct,0.853506,16,right_ankle,1,1,2.000000,398.090000,301.580000,2.000000,409.821396,296.020989,12.981843,52.396345,1,0.089000,0.856419
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,805.287704,214.582107,,,,0.026000,
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,810.676422,199.332182,,,,0.025000,
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,810.912170,200.014966,,,,0.025000,
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,794.829636,187.284687,,,,0.035000,
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,793.793945,186.152108,,,,0.035000,
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,5,left_shoulder,1,1,2.000000,743.160000,221.680000,2.000000,720.101624,204.017701,29.045577,52.396345,1,0.079000,0.373526
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,6,right_shoulder,1,1,2.000000,716.490000,218.400000,2.000000,724.964981,222.231102,9.300680,52.396345,1,0.079000,0.903958
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,7,left_elbow,1,1,2.000000,733.130000,308.320000,0.000000,705.459442,298.729355,,52.396345,0,0.072000,0.000000
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,8,right_elbow,1,1,2.000000,709.430000,319.120000,2.000000,698.012848,321.264460,11.616801,52.396345,1,0.072000,0.827255
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,9,left_wrist,1,1,2.000000,731.710000,384.680000,0.000000,726.888885,387.456894,,52.396345,0,0.062000,0.000000
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,10,right_wrist,1,1,2.000000,709.220000,417.300000,2.000000,715.220947,424.225001,9.163352,52.396345,1,0.062000,0.852885
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,11,left_hip,1,0,0.000000,543.040000,293.770000,2.000000,578.449478,295.332177,,,,0.107000,
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,12,right_hip,1,1,2.000000,575.710000,301.130000,2.000000,582.390404,314.567757,15.006702,52.396345,1,0.107000,0.866498
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,13,left_knee,1,1,2.000000,485.710000,371.360000,0.000000,486.697922,375.633459,,52.396345,0,0.087000,0.000000
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,14,right_knee,1,1,2.000000,485.330000,398.730000,2.000000,483.859940,404.542780,5.995789,52.396345,1,0.087000,0.965991
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,15,left_ankle,1,1,2.000000,419.190000,285.720000,2.000000,418.386307,288.985255,3.362709,52.396345,1,0.089000,0.989654
SP_R_PushUp_2,mediapipe,3,0.121362,ok,1,direct,0.858425,16,right_ankle,1,1,2.000000,398.090000,301.580000,2.000000,411.185684,297.510023,13.713557,52.396345,1,0.089000,0.841170
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,806.505280,215.495474,,,,0.026000,
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,811.069946,198.988152,,,,0.025000,
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,811.256180,199.185047,,,,0.025000,
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,793.958435,185.648346,,,,0.035000,
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,794.992676,186.513305,,,,0.035000,
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,5,left_shoulder,1,1,2.000000,743.160000,221.680000,2.000000,721.008911,205.863662,27.218143,52.396345,1,0.079000,0.421157
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,6,right_shoulder,1,1,2.000000,716.490000,218.400000,2.000000,725.842819,221.178410,9.756782,52.396345,1,0.079000,0.894833
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,7,left_elbow,1,1,2.000000,733.130000,308.320000,0.000000,706.449127,299.410250,,52.396345,0,0.072000,0.000000
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,8,right_elbow,1,1,2.000000,709.430000,319.120000,2.000000,700.047684,325.775657,11.503288,52.396345,1,0.072000,0.830311
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,9,left_wrist,1,1,2.000000,731.710000,384.680000,2.000000,726.988220,386.556444,5.080969,52.396345,1,0.062000,0.952252
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,10,right_wrist,1,1,2.000000,709.220000,417.300000,2.000000,715.354919,426.032767,10.672322,52.396345,1,0.062000,0.805852
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,11,left_hip,1,0,0.000000,543.040000,293.770000,2.000000,575.977974,298.072729,,,,0.107000,
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,12,right_hip,1,1,2.000000,575.710000,301.130000,2.000000,578.806458,316.486073,15.665153,52.396345,1,0.107000,0.855435
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,13,left_knee,1,1,2.000000,485.710000,371.360000,0.000000,492.085457,378.348627,,52.396345,0,0.087000,0.000000
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,14,right_knee,1,1,2.000000,485.330000,398.730000,2.000000,483.479996,406.390028,7.880263,52.396345,1,0.087000,0.941983
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,15,left_ankle,1,1,2.000000,419.190000,285.720000,2.000000,419.654770,290.682278,4.983995,52.396345,1,0.089000,0.977413
SP_R_PushUp_2,mediapipe,4,0.161816,ok,1,direct,0.873866,16,right_ankle,1,1,2.000000,398.090000,301.580000,2.000000,412.117462,298.976569,14.267009,52.396345,1,0.089000,0.829275
SP_R_PushUp_2,mediapipe,5,0.202270,ok,1,direct,0.882210,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,804.828339,214.156001,,,,0.026000,
SP_R_PushUp_2,mediapipe,5,0.202270,ok,1,direct,0.882210,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,809.608078,198.559299,,,,0.025000,
SP_R_PushUp_2,mediapipe,5,0.202270,ok,1,direct,0.882210,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,809.944611,197.946038,,,,0.025000,
