video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_PushUp_2,posenet,0,0.000000,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,1.000000,11,0,0.645298,1.000000,11,0.200000,1184.045400,0.844562,ok,
SP_R_PushUp_2,posenet,1,0.040454,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,1.000000,11,0,0.596001,0.818182,9,0.200000,1197.250800,0.835247,ok,
SP_R_PushUp_2,posenet,2,0.080908,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,1.000000,11,0,0.618037,0.909091,10,0.200000,1185.597600,0.843456,ok,
SP_R_PushUp_2,posenet,3,0.121362,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,1.000000,11,0,0.621212,0.909091,10,0.200000,1180.956700,0.846771,ok,
SP_R_PushUp_2,posenet,4,0.161816,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,1.000000,11,0,0.507994,0.818182,9,0.200000,1186.768100,0.842625,ok,
SP_R_PushUp_2,posenet,5,0.202270,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,1.000000,11,0,0.668894,0.909091,10,0.200000,1199.231800,0.833867,ok,
SP_R_PushUp_2,posenet,6,0.242724,single,dim,12,11,0,397.800000,220.820000,347.160000,196.700000,68286.372000,1,1,direct,1.000000,11,0,0.608189,0.909091,10,0.200000,1134.436500,0.881495,ok,
SP_R_PushUp_2,posenet,7,0.283178,single,dim,12,11,0,397.520000,223.240000,349.230000,194.500000,67925.235000,1,1,direct,1.000000,11,0,0.631516,0.909091,10,0.200000,1271.963500,0.786186,ok,
SP_R_PushUp_2,posenet,8,0.323632,single,dim,12,11,0,397.240000,225.660000,351.310000,192.300000,67556.913000,1,1,direct,1.000000,11,0,0.634755,0.909091,10,0.200000,1115.704400,0.896295,ok,
SP_R_PushUp_2,posenet,9,0.364086,single,dim,12,11,0,396.950000,228.080000,353.390000,190.100000,67179.439000,1,1,direct,1.000000,11,0,0.543579,0.727273,8,0.200000,1199.009900,0.834021,ok,
SP_R_PushUp_2,posenet,10,0.404540,single,dim,12,11,0,396.670000,230.500000,355.470000,187.900000,66792.813000,1,1,direct,1.000000,11,0,0.277960,0.363636,4,0.200000,1144.968300,0.873387,ok,
SP_R_PushUp_2,posenet,11,0.444994,single,dim,12,11,0,397.830000,231.710000,354.310000,186.930000,66231.168300,1,1,direct,1.000000,11,0,0.276364,0.363636,4,0.200000,1186.845200,0.842570,ok,
SP_R_PushUp_2,posenet,12,0.485448,single,dim,12,11,0,398.980000,231.710000,353.160000,187.170000,66100.957200,1,1,direct,1.000000,11,0,0.266632,0.363636,4,0.200000,1194.212200,0.837372,ok,
SP_R_PushUp_2,posenet,13,0.525902,single,dim,12,10,0,400.130000,239.970000,332.840000,179.150000,59628.286000,1,1,direct,1.000000,10,0,0.171309,0.200000,2,0.200000,1164.818300,0.858503,ok,
SP_R_PushUp_2,posenet,14,0.566356,single,dim,12,10,0,401.290000,243.130000,333.870000,176.230000,58837.910100,1,1,direct,1.000000,10,0,0.165847,0.300000,3,0.200000,1147.735100,0.871281,ok,
SP_R_PushUp_2,posenet,15,0.606810,single,dim,12,10,0,402.440000,246.290000,334.910000,173.310000,58043.252100,1,1,direct,1.000000,10,0,0.329273,0.400000,4,0.200000,1155.528200,0.865405,ok,
SP_R_PushUp_2,posenet,16,0.647264,single,dim,12,10,0,403.600000,249.450000,335.930000,170.390000,57239.112700,1,1,direct,1.000000,10,0,0.267577,0.500000,5,0.200000,1132.068300,0.883339,ok,
SP_R_PushUp_2,posenet,17,0.687718,single,dim,12,10,0,404.750000,252.610000,336.970000,167.470000,56432.365900,1,1,direct,1.000000,10,0,0.364878,0.500000,5,0.200000,1170.190600,0.854562,ok,
SP_R_PushUp_2,posenet,18,0.728172,single,dim,12,10,0,405.910000,255.770000,338.000000,164.550000,55617.900000,1,1,direct,1.000000,10,0,0.467764,0.600000,6,0.200000,1090.834800,0.916729,ok,
SP_R_PushUp_2,posenet,19,0.768626,single,dim,12,10,0,407.060000,258.930000,339.040000,161.620000,54795.644800,1,1,direct,1.000000,10,0,0.709368,1.000000,10,0.200000,1029.419700,0.971421,ok,
SP_R_PushUp_2,posenet,20,0.809080,single,dim,12,10,0,410.890000,266.950000,339.400000,153.840000,52213.296000,1,1,direct,1.000000,10,0,0.374173,0.600000,6,0.200000,1054.947100,0.947915,ok,
SP_R_PushUp_2,posenet,21,0.849534,single,dim,12,10,0,414.720000,272.090000,339.760000,148.940000,50603.854400,1,1,direct,1.000000,10,0,0.609051,1.000000,10,0.200000,1039.967800,0.961568,ok,
SP_R_PushUp_2,posenet,22,0.889988,single,dim,12,10,0,418.540000,269.900000,340.130000,151.370000,51485.478100,1,1,direct,1.000000,10,0,0.112268,0.200000,2,0.200000,1053.795400,0.948951,ok,
SP_R_PushUp_2,posenet,23,0.930442,single,dim,12,10,0,421.410000,268.810000,340.950000,152.700000,52063.065000,1,1,direct,1.000000,10,0,0.193058,0.200000,2,0.200000,1119.790700,0.893024,ok,
SP_R_PushUp_2,posenet,24,0.970896,single,dim,12,10,0,424.280000,267.710000,341.770000,154.040000,52646.250800,1,1,direct,1.000000,10,0,0.290804,0.400000,4,0.200000,1087.397000,0.919627,ok,
SP_R_PushUp_2,posenet,25,1.011350,single,dim,12,10,0,427.150000,266.620000,342.590000,155.370000,53228.208300,1,1,direct,1.000000,10,0,0.439190,0.500000,5,0.200000,1048.589400,0.953662,ok,
SP_R_PushUp_2,posenet,26,1.051804,single,dim,12,9,0,430.020000,265.520000,343.410000,156.710000,53815.781100,1,1,direct,1.000000,9,0,0.545065,0.777778,7,0.200000,1038.610600,0.962825,ok,
SP_R_PushUp_2,posenet,27,1.092258,single,dim,12,9,0,431.670000,264.870000,343.080000,157.360000,53987.068800,1,1,direct,1.000000,9,0,0.297065,0.333333,3,0.200000,1102.959000,0.906652,ok,
SP_R_PushUp_2,posenet,28,1.132712,single,dim,12,9,0,433.310000,264.210000,342.750000,158.020000,54161.355000,1,1,direct,1.000000,9,0,0.488024,0.666667,6,0.200000,1053.591200,0.949135,ok,
SP_R_PushUp_2,posenet,29,1.173166,single,dim,12,8,0,434.950000,263.560000,342.420000,158.670000,54331.781400,1,1,direct,1.000000,8,0,0.356891,0.500000,4,0.200000,1040.780300,0.960818,ok,
SP_R_PushUp_2,posenet,30,1.213621,single,dim,12,8,0,436.590000,262.900000,342.090000,159.330000,54505.199700,1,1,direct,1.000000,8,0,0.180343,0.250000,2,0.200000,1022.584700,0.977914,ok,
SP_R_PushUp_2,posenet,31,1.254075,single,dim,12,8,0,438.230000,262.240000,341.760000,159.990000,54678.182400,1,1,direct,1.000000,8,0,0.378006,0.625000,5,0.200000,1032.667600,0.968366,ok,
SP_R_PushUp_2,posenet,32,1.294529,single,dim,12,8,0,438.550000,262.240000,341.880000,159.990000,54697.381200,1,1,direct,1.000000,8,0,0.335448,0.500000,4,0.200000,1022.051800,0.978424,ok,
SP_R_PushUp_2,posenet,33,1.334983,single,dim,12,8,0,438.860000,262.240000,342.010000,159.990000,54718.179900,1,1,direct,1.000000,8,0,0.360024,0.500000,4,0.200000,1029.350000,0.971487,ok,
SP_R_PushUp_2,posenet,34,1.375437,single,dim,12,8,0,439.180000,262.240000,342.130000,159.990000,54737.378700,1,1,direct,1.000000,8,0,0.164372,0.250000,2,0.200000,1025.200300,0.975419,ok,
SP_R_PushUp_2,posenet,35,1.415891,single,dim,12,8,0,439.500000,262.240000,342.240000,159.990000,54754.977600,1,1,direct,1.000000,8,0,0.356990,0.500000,4,0.200000,1033.425900,0.967655,ok,
SP_R_PushUp_2,posenet,36,1.456345,single,dim,12,8,0,439.820000,262.240000,342.360000,159.990000,54774.176400,1,1,direct,1.000000,8,0,0.360728,0.625000,5,0.200000,1015.629700,0.984611,ok,
SP_R_PushUp_2,posenet,37,1.496799,single,dim,12,8,0,440.140000,262.240000,341.880000,159.990000,54697.381200,1,1,direct,1.000000,8,0,0.231604,0.375000,3,0.200000,994.987200,1.005038,ok,
SP_R_PushUp_2,posenet,38,1.537253,single,dim,12,8,0,440.460000,262.240000,341.410000,159.990000,54622.185900,1,1,direct,1.000000,8,0,0.293495,0.375000,3,0.200000,1014.265500,0.985935,ok,
SP_R_PushUp_2,posenet,39,1.577707,single,dim,12,8,0,440.780000,262.240000,340.930000,159.990000,54545.390700,1,1,direct,1.000000,8,0,0.264947,0.375000,3,0.200000,996.374400,1.003639,ok,
SP_R_PushUp_2,posenet,40,1.618161,single,dim,12,8,0,441.100000,262.240000,340.460000,159.990000,54470.195400,1,1,direct,1.000000,8,0,0.269603,0.375000,3,0.200000,1026.057200,0.974605,ok,
SP_R_PushUp_2,posenet,41,1.658615,single,dim,12,8,0,441.420000,262.240000,339.980000,159.990000,54393.400200,1,1,direct,1.000000,8,0,0.283366,0.375000,3,0.200000,1058.461300,0.944768,ok,
SP_R_PushUp_2,posenet,42,1.699069,single,dim,12,8,0,441.740000,262.240000,339.500000,159.990000,54316.605000,1,1,direct,1.000000,8,0,0.266073,0.375000,3,0.200000,1037.707100,0.963663,ok,
SP_R_PushUp_2,posenet,43,1.739523,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.251669,0.375000,3,0.200000,1028.478500,0.972310,ok,
SP_R_PushUp_2,posenet,44,1.779977,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.224129,0.375000,3,0.200000,1012.680200,0.987479,ok,
SP_R_PushUp_2,posenet,45,1.820431,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.276709,0.375000,3,0.200000,1015.671100,0.984571,ok,
SP_R_PushUp_2,posenet,46,1.860885,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.262090,0.375000,3,0.200000,1048.431600,0.953806,ok,
SP_R_PushUp_2,posenet,47,1.901339,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.252792,0.375000,3,0.200000,1091.355900,0.916291,ok,
SP_R_PushUp_2,posenet,48,1.941793,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.257894,0.375000,3,0.200000,1037.711600,0.963659,ok,
SP_R_PushUp_2,posenet,49,1.982247,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.263273,0.375000,3,0.200000,1074.873600,0.930342,ok,
SP_R_PushUp_2,posenet,50,2.022701,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.299963,0.375000,3,0.200000,1056.119200,0.946863,ok,
SP_R_PushUp_2,posenet,51,2.063155,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,1.000000,8,0,0.269451,0.375000,3,0.200000,1039.938800,0.961595,ok,
