video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_Yoga_1,efficientpose,0,0.000000,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.332037,13,0,0.061176,0.076923,1,0.200000,35.928800,27.832825,ok,
SP_R_Yoga_1,efficientpose,1,0.040150,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.353585,13,0,0.106023,0.230769,3,0.200000,36.109100,27.693850,ok,
SP_R_Yoga_1,efficientpose,2,0.080299,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.357481,13,0,0.063709,0.153846,2,0.200000,33.289000,30.039953,ok,
SP_R_Yoga_1,efficientpose,3,0.120449,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.366933,13,0,0.046132,0.230769,3,0.200000,34.914900,28.641067,ok,
SP_R_Yoga_1,efficientpose,4,0.160599,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.362934,13,0,0.026813,0.230769,3,0.200000,30.369200,32.928098,ok,
SP_R_Yoga_1,efficientpose,5,0.200749,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.361727,13,0,0.001062,0.076923,1,0.200000,30.668700,32.606534,ok,
SP_R_Yoga_1,efficientpose,6,0.240898,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.363888,13,0,0.000949,0.076923,1,0.200000,28.635600,34.921566,ok,
SP_R_Yoga_1,efficientpose,7,0.281048,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.371112,13,0,0.000874,0.076923,1,0.200000,29.802900,33.553782,ok,
SP_R_Yoga_1,efficientpose,8,0.321198,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.385686,13,0,0.001003,0.076923,1,0.200000,32.530600,30.740288,ok,
SP_R_Yoga_1,efficientpose,9,0.361347,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.356574,13,0,0.001003,0.076923,1,0.200000,29.132000,34.326514,ok,
SP_R_Yoga_1,efficientpose,10,0.401497,single,dim,13,13,0,447.690000,300.380000,102.500000,374.710000,38407.775000,1,1,direct,0.366391,13,0,0.000875,0.076923,1,0.200000,30.320700,32.980769,ok,
SP_R_Yoga_1,efficientpose,11,0.441647,single,dim,13,13,0,448.380000,300.380000,104.340000,372.600000,38877.084000,1,1,direct,0.362558,13,0,0.003179,0.076923,1,0.200000,28.641700,34.914129,ok,
SP_R_Yoga_1,efficientpose,12,0.481797,single,dim,13,13,0,449.060000,300.380000,106.190000,371.160000,39413.480400,1,1,direct,0.386616,13,0,0.082956,0.307692,4,0.200000,29.552500,33.838085,ok,
SP_R_Yoga_1,efficientpose,13,0.521946,single,dim,13,13,0,450.320000,300.310000,111.370000,370.380000,41249.220600,1,1,direct,0.348797,13,0,0.024339,0.153846,2,0.200000,32.633000,30.643827,ok,
SP_R_Yoga_1,efficientpose,14,0.562096,single,dim,13,13,0,448.570000,300.230000,121.840000,369.610000,45033.282400,1,1,direct,0.344138,13,0,0.051839,0.230769,3,0.200000,29.494000,33.905201,ok,
SP_R_Yoga_1,efficientpose,15,0.602246,single,dim,13,13,0,446.250000,300.160000,132.890000,368.830000,49013.818700,1,1,direct,0.286697,13,0,0.051879,0.230769,3,0.200000,30.164600,33.151442,ok,
SP_R_Yoga_1,efficientpose,16,0.642395,single,dim,13,13,0,434.190000,300.700000,153.160000,370.540000,56751.906400,1,1,direct,0.303801,13,0,0.091571,0.384615,5,0.200000,31.619500,31.626054,ok,
SP_R_Yoga_1,efficientpose,17,0.682545,single,dim,13,12,0,422.130000,301.250000,154.670000,372.240000,57574.360800,1,1,direct,0.277261,12,0,0.154800,0.333333,4,0.200000,30.956300,32.303602,ok,
SP_R_Yoga_1,efficientpose,18,0.722695,single,dim,13,12,0,418.010000,301.660000,161.820000,371.830000,60169.530600,1,1,direct,0.274018,12,0,0.100699,0.250000,3,0.200000,36.162200,27.653185,ok,
