video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,568.904076,243.175142,,,,0.026000,
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,578.998184,233.610792,,,,0.025000,
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,557.277946,233.114583,,,,0.025000,
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,587.653503,240.198104,,,,0.035000,
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,546.680527,240.541234,,,,0.035000,
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,5,left_shoulder,1,1,2.000000,615.710000,311.530000,2.000000,619.764862,300.064731,12.161180,37.525648,1,0.079000,0.714218
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,6,right_shoulder,1,1,2.000000,519.350000,307.770000,2.000000,516.434784,302.785671,5.774255,37.525648,1,0.079000,0.926930
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,7,left_elbow,1,1,2.000000,627.450000,370.530000,2.000000,630.783997,368.276095,4.024378,37.525648,1,0.072000,0.956598
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,8,right_elbow,1,1,2.000000,511.310000,383.960000,2.000000,510.940819,375.014791,8.952824,37.525648,1,0.072000,0.802841
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,9,left_wrist,1,1,2.000000,604.890000,425.210000,2.000000,609.707870,420.862112,6.489685,37.525648,1,0.062000,0.855893
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,10,right_wrist,1,1,2.000000,538.340000,428.010000,2.000000,540.445023,427.089171,2.297617,37.525648,1,0.062000,0.980684
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,11,left_hip,1,1,2.000000,619.340000,420.040000,2.000000,607.365608,431.134930,16.324323,37.525648,1,0.107000,0.718507
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,12,right_hip,1,1,2.000000,531.380000,429.870000,2.000000,547.007065,439.819922,18.525823,37.525648,1,0.107000,0.653276
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,13,left_knee,1,1,2.000000,605.230000,467.930000,2.000000,610.469894,471.963730,6.612675,37.525648,1,0.087000,0.921224
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,14,right_knee,1,1,2.000000,545.710000,472.660000,2.000000,552.495537,489.744501,18.382701,37.525648,1,0.087000,0.530416
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,15,left_ankle,1,1,2.000000,605.110000,610.890000,2.000000,609.521713,597.313013,14.275776,37.525648,1,0.089000,0.693905
SP_T_DudukBerdiri_2,blazepose,0,0.000000,ok,1,direct,0.969510,16,right_ankle,1,1,2.000000,553.740000,608.710000,2.000000,573.223305,600.722938,21.056883,37.525648,1,0.089000,0.451569
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,568.364677,240.149031,,,,0.026000,
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,578.273315,231.294887,,,,0.025000,
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,557.302322,230.358646,,,,0.025000,
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,586.377106,238.224149,,,,0.035000,
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,546.919518,237.469590,,,,0.035000,
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,5,left_shoulder,1,1,2.000000,615.710000,311.530000,2.000000,617.377777,299.046435,12.594478,37.525648,1,0.079000,0.696995
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,6,right_shoulder,1,1,2.000000,519.350000,307.770000,2.000000,515.540962,302.499962,6.502467,37.525648,1,0.079000,0.908262
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,7,left_elbow,1,1,2.000000,627.450000,370.530000,2.000000,629.986763,367.683134,3.813111,37.525648,1,0.072000,0.960948
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,8,right_elbow,1,1,2.000000,511.310000,383.960000,2.000000,510.267563,374.250941,9.764860,37.525648,1,0.072000,0.770096
SP_T_DudukBerdiri_2,blazepose,1,0.033311,ok,1,direct,0.968503,9,left_wrist,1,1,2.000000,604.890000,425.210000,2.000000,608.402176,421.165867,5.356341,37.525648,1,0.062000,0.899420
