video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,566.666687,233.333328,,,,0.026000,
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,566.666687,220.000000,,,,0.025000,
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,553.333313,233.333328,,,,0.025000,
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,580.000000,233.333328,,,,0.035000,
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,540.000000,246.666672,,,,0.035000,
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,5,left_shoulder,1,1,2.000000,615.710000,311.530000,2.000000,606.666687,300.000000,14.653409,37.525648,1,0.079000,0.613455
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,6,right_shoulder,1,1,2.000000,519.350000,307.770000,2.000000,526.666687,286.666656,22.335734,37.525648,1,0.079000,0.321318
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,7,left_elbow,1,1,2.000000,627.450000,370.530000,2.000000,620.000000,366.666656,8.392135,37.525648,1,0.072000,0.824520
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,8,right_elbow,1,1,2.000000,511.310000,383.960000,2.000000,486.666656,340.000000,50.396190,37.525648,0,0.072000,0.000951
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,9,left_wrist,1,1,2.000000,604.890000,425.210000,2.000000,580.000000,366.666656,63.614740,37.525648,0,0.062000,0.000000
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,10,right_wrist,1,1,2.000000,538.340000,428.010000,2.000000,526.666687,420.000000,14.157201,37.525648,1,0.062000,0.476859
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,11,left_hip,1,1,2.000000,619.340000,420.040000,2.000000,593.333313,420.000000,26.006718,37.525648,1,0.107000,0.432130
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,12,right_hip,1,1,2.000000,531.380000,429.870000,2.000000,540.000000,446.666656,18.879409,37.525648,1,0.107000,0.642645
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,13,left_knee,1,1,2.000000,605.230000,467.930000,2.000000,606.666687,460.000000,8.059092,37.525648,1,0.087000,0.885261
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,14,right_knee,1,1,2.000000,545.710000,472.660000,2.000000,540.000000,473.333344,5.749564,37.525648,1,0.087000,0.939854
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,15,left_ankle,1,1,2.000000,605.110000,610.890000,2.000000,686.666687,513.333313,127.156598,37.525648,0,0.089000,0.000000
SP_T_DudukBerdiri_2,efficientpose,0,0.000000,ok,1,direct,0.569333,16,right_ankle,1,1,2.000000,553.740000,608.710000,2.000000,460.000000,513.333313,133.730700,37.525648,0,0.089000,0.000000
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,566.666687,233.333328,,,,0.026000,
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,580.000000,220.000000,,,,0.025000,
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,566.666687,233.333328,,,,0.025000,
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,580.000000,233.333328,,,,0.035000,
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,540.000000,246.666672,,,,0.035000,
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,5,left_shoulder,1,1,2.000000,615.710000,311.530000,2.000000,620.000000,300.000000,12.302236,37.525648,1,0.079000,0.708632
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,6,right_shoulder,1,1,2.000000,519.350000,307.770000,2.000000,526.666687,286.666656,22.335734,37.525648,1,0.079000,0.321318
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,7,left_elbow,1,1,2.000000,627.450000,370.530000,2.000000,620.000000,380.000000,12.049207,37.525648,1,0.072000,0.671821
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,8,right_elbow,1,1,2.000000,511.310000,383.960000,2.000000,500.000000,353.333344,32.648249,37.525648,1,0.072000,0.053917
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,9,left_wrist,1,1,2.000000,604.890000,425.210000,2.000000,580.000000,366.666656,63.614740,37.525648,0,0.062000,0.000000
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,10,right_wrist,1,1,2.000000,538.340000,428.010000,2.000000,540.000000,433.333344,5.576162,37.525648,1,0.062000,0.891469
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,11,left_hip,1,1,2.000000,619.340000,420.040000,2.000000,606.666687,433.333344,18.366433,37.525648,1,0.107000,0.658058
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,12,right_hip,1,1,2.000000,531.380000,429.870000,2.000000,540.000000,446.666656,18.879409,37.525648,1,0.107000,0.642645
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,13,left_knee,1,1,2.000000,605.230000,467.930000,2.000000,620.000000,473.333344,15.727334,37.525648,1,0.087000,0.628678
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,14,right_knee,1,1,2.000000,545.710000,472.660000,2.000000,540.000000,473.333344,5.749564,37.525648,1,0.087000,0.939854
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,15,left_ankle,1,1,2.000000,605.110000,610.890000,2.000000,766.666687,486.666656,203.794019,37.525648,0,0.089000,0.000000
SP_T_DudukBerdiri_2,efficientpose,1,0.033311,ok,1,direct,0.573072,16,right_ankle,1,1,2.000000,553.740000,608.710000,2.000000,526.666687,566.666687,50.006044,37.525648,0,0.089000,0.011291
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,566.666687,233.333328,,,,0.026000,
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,580.000000,233.333328,,,,0.025000,
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,566.666687,233.333328,,,,0.025000,
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,580.000000,233.333328,,,,0.035000,
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,553.333313,246.666672,,,,0.035000,
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,5,left_shoulder,1,1,2.000000,615.710000,311.530000,2.000000,606.666687,300.000000,14.653409,37.525648,1,0.079000,0.613455
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,6,right_shoulder,1,1,2.000000,519.350000,307.770000,2.000000,526.666687,286.666656,22.335734,37.525648,1,0.079000,0.321318
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,7,left_elbow,1,1,2.000000,627.450000,370.530000,2.000000,620.000000,380.000000,12.049207,37.525648,1,0.072000,0.671821
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,8,right_elbow,1,1,2.000000,511.310000,383.960000,2.000000,500.000000,353.333344,32.648249,37.525648,1,0.072000,0.053917
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,9,left_wrist,1,1,2.000000,604.890000,425.210000,2.000000,593.333313,366.666656,59.673110,37.525648,0,0.062000,0.000002
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,10,right_wrist,1,1,2.000000,538.340000,428.010000,2.000000,540.000000,433.333344,5.576162,37.525648,1,0.062000,0.891469
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,11,left_hip,1,1,2.000000,619.340000,420.040000,2.000000,606.666687,433.333344,18.366433,37.525648,1,0.107000,0.658058
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,12,right_hip,1,1,2.000000,531.380000,429.870000,2.000000,540.000000,446.666656,18.879409,37.525648,1,0.107000,0.642645
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,13,left_knee,1,1,2.000000,605.230000,467.930000,2.000000,620.000000,460.000000,16.764182,37.525648,1,0.087000,0.590166
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,14,right_knee,1,1,2.000000,545.710000,472.660000,2.000000,540.000000,473.333344,5.749564,37.525648,1,0.087000,0.939854
SP_T_DudukBerdiri_2,efficientpose,2,0.066622,ok,1,direct,0.587253,15,left_ankle,1,1,2.000000,605.110000,610.890000,2.000000,833.333313,486.666656,259.840951,37.525648,0,0.089000,0.000000
