video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,568.601807,235.557404,,,,0.026000,
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,578.665527,229.171127,,,,0.025000,
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,558.825317,228.294754,,,,0.025000,
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,592.546997,241.693665,,,,0.035000,
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,542.529297,238.884277,,,,0.035000,
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,5,left_shoulder,1,1,2.000000,615.710000,311.530000,2.000000,608.764160,299.144897,14.199840,37.525648,1,0.079000,0.632000
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,6,right_shoulder,1,1,2.000000,519.350000,307.770000,2.000000,521.562500,297.163696,10.834613,37.525648,1,0.079000,0.765562
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,7,left_elbow,1,1,2.000000,627.450000,370.530000,2.000000,629.639709,372.713196,3.092114,37.525648,1,0.072000,0.974145
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,8,right_elbow,1,1,2.000000,511.310000,383.960000,2.000000,509.208496,371.413269,12.721508,37.525648,1,0.072000,0.641857
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,9,left_wrist,1,1,2.000000,604.890000,425.210000,2.000000,610.015747,424.884918,5.136045,37.525648,1,0.062000,0.907134
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,10,right_wrist,1,1,2.000000,538.340000,428.010000,2.000000,534.948547,420.983551,7.802111,37.525648,1,0.062000,0.798586
SP_T_DudukBerdiri_2,yolopose,0,0.000000,ok,1,direct,0.895169,11,left_hip,1,1,2.000000,619.340000,420.040000,2.000000,598.690674,420.967804,20.670159,37.525648,1,0.107000,0.588592
