video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_Jongkok_2,mediapipe,0,0.000000,single,bright,12,12,0,591.350000,279.470000,115.110000,364.590000,41967.954900,1,1,direct,0.949556,12,0,0.929858,1.000000,12,0.200000,27.095100,36.907042,ok,
SP_T_Jongkok_2,mediapipe,1,0.033312,single,bright,12,12,0,584.720000,281.130000,121.740000,362.990000,44190.402600,1,1,direct,0.951603,12,0,0.931151,1.000000,12,0.200000,26.668700,37.497141,ok,
SP_T_Jongkok_2,mediapipe,2,0.066624,single,bright,12,12,0,578.080000,282.790000,128.380000,361.390000,46395.248200,1,1,direct,0.954515,12,0,0.938133,1.000000,12,0.200000,27.350100,36.562938,ok,
SP_T_Jongkok_2,mediapipe,3,0.099936,single,bright,12,12,0,571.450000,284.450000,135.010000,359.790000,48575.247900,1,1,direct,0.951087,12,0,0.941870,1.000000,12,0.200000,27.249700,36.697652,ok,
SP_T_Jongkok_2,mediapipe,4,0.133248,single,bright,12,12,0,564.820000,286.000000,141.640000,358.310000,50751.028400,1,1,direct,0.934875,12,0,0.931447,1.000000,12,0.200000,26.843700,37.252689,ok,
SP_T_Jongkok_2,mediapipe,5,0.166559,single,bright,12,12,0,558.190000,287.530000,148.270000,356.840000,52908.666800,1,1,direct,0.929437,12,0,0.945039,1.000000,12,0.200000,27.041000,36.980881,ok,
SP_T_Jongkok_2,mediapipe,6,0.199871,single,bright,12,12,0,552.960000,289.420000,153.500000,355.010000,54494.035000,1,1,direct,0.934378,12,0,0.940043,1.000000,12,0.200000,26.973700,37.073149,ok,
SP_T_Jongkok_2,mediapipe,7,0.233183,single,bright,12,12,0,547.730000,291.080000,158.730000,353.410000,56096.769300,1,1,direct,0.943235,12,0,0.940221,1.000000,12,0.200000,26.547000,37.669040,ok,
SP_T_Jongkok_2,mediapipe,8,0.266495,single,bright,12,12,0,542.500000,292.740000,165.200000,351.810000,58119.012000,1,1,direct,0.942160,12,0,0.899523,1.000000,12,0.200000,26.801900,37.310788,ok,
SP_T_Jongkok_2,mediapipe,9,0.299807,single,bright,12,12,0,537.270000,294.390000,173.360000,350.220000,60714.139200,1,1,direct,0.949337,12,0,0.881665,1.000000,12,0.200000,27.303300,36.625609,ok,
SP_T_Jongkok_2,mediapipe,10,0.333119,single,bright,12,12,0,532.040000,296.050000,181.530000,348.620000,63284.988600,1,1,direct,0.958414,12,0,0.884174,1.000000,12,0.200000,27.423200,36.465474,ok,
SP_T_Jongkok_2,mediapipe,11,0.366431,single,bright,12,12,0,530.900000,299.950000,183.180000,344.790000,63158.632200,1,1,direct,0.959266,12,0,0.862048,1.000000,12,0.200000,27.124800,36.866631,ok,
SP_T_Jongkok_2,mediapipe,12,0.399743,single,bright,12,12,0,529.750000,303.840000,184.840000,340.960000,63023.046400,1,1,direct,0.940434,12,0,0.787945,1.000000,12,0.200000,27.342400,36.573234,ok,
SP_T_Jongkok_2,mediapipe,13,0.433054,single,bright,12,12,0,528.600000,307.740000,186.500000,337.120000,62872.880000,1,1,direct,0.930538,12,0,0.798278,1.000000,12,0.200000,26.953100,37.101484,ok,
SP_T_Jongkok_2,mediapipe,14,0.466366,single,bright,12,12,0,527.450000,311.630000,188.160000,333.290000,62711.846400,1,1,direct,0.897610,12,1,0.692804,0.750000,9,0.200000,26.723100,37.420808,ok,
SP_T_Jongkok_2,mediapipe,15,0.499678,single,bright,12,12,0,526.300000,315.190000,189.820000,329.790000,62600.737800,1,1,direct,0.926565,12,0,0.791016,0.916667,11,0.200000,27.246200,36.702366,ok,
SP_T_Jongkok_2,mediapipe,16,0.532990,single,bright,12,12,0,527.200000,319.500000,189.810000,325.710000,61823.015100,1,1,direct,0.934721,12,0,0.791730,1.000000,12,0.200000,26.934200,37.127518,ok,
SP_T_Jongkok_2,mediapipe,17,0.566302,single,bright,12,12,0,528.090000,323.470000,189.810000,321.960000,61111.227600,1,1,direct,0.941490,12,0,0.784811,0.916667,11,0.200000,28.465800,35.129875,ok,
SP_T_Jongkok_2,mediapipe,18,0.599614,single,bright,12,12,0,528.980000,327.440000,189.820000,318.220000,60404.520400,1,1,direct,0.955947,12,0,0.836709,1.000000,12,0.200000,28.695900,34.848184,ok,
SP_T_Jongkok_2,mediapipe,19,0.632926,single,bright,12,12,0,529.870000,331.410000,189.820000,314.480000,59694.593600,1,1,direct,0.949577,12,0,0.834449,1.000000,12,0.200000,27.989200,35.728067,ok,
SP_T_Jongkok_2,mediapipe,20,0.666238,single,bright,12,12,0,530.770000,335.380000,189.810000,310.740000,58981.559400,1,1,direct,0.940370,12,0,0.781200,1.000000,12,0.200000,27.828600,35.934255,ok,
SP_T_Jongkok_2,mediapipe,21,0.699549,single,bright,12,12,0,530.900000,340.480000,191.080000,305.710000,58415.066800,1,1,direct,0.945948,12,0,0.767011,1.000000,12,0.200000,28.017700,35.691723,ok,
SP_T_Jongkok_2,mediapipe,22,0.732861,single,bright,12,12,0,531.020000,345.580000,192.370000,300.690000,57843.735300,1,1,direct,0.944477,12,0,0.800902,1.000000,12,0.200000,27.516100,36.342360,ok,
SP_T_Jongkok_2,mediapipe,23,0.766173,single,bright,12,12,0,531.150000,350.690000,193.640000,295.660000,57251.602400,1,1,direct,0.937300,12,0,0.768187,1.000000,12,0.200000,26.686600,37.471990,ok,
SP_T_Jongkok_2,mediapipe,24,0.799485,single,bright,12,12,0,531.280000,355.790000,194.910000,290.640000,56648.642400,1,1,direct,0.942209,12,0,0.780932,1.000000,12,0.200000,28.445500,35.154945,ok,
SP_T_Jongkok_2,mediapipe,25,0.832797,single,bright,12,12,0,531.410000,360.890000,196.190000,285.620000,56035.787800,1,1,direct,0.957199,12,0,0.839172,1.000000,12,0.200000,27.513200,36.346190,ok,
SP_T_Jongkok_2,mediapipe,26,0.866109,single,bright,12,12,0,531.920000,364.080000,196.570000,282.500000,55531.025000,1,1,direct,0.943277,12,0,0.746983,1.000000,12,0.200000,26.744300,37.391145,ok,
SP_T_Jongkok_2,mediapipe,27,0.899421,single,bright,12,12,0,532.430000,367.270000,196.950000,279.390000,55025.860500,1,1,direct,0.894044,12,0,0.703545,0.916667,11,0.200000,27.325800,36.595452,ok,
SP_T_Jongkok_2,mediapipe,28,0.932733,single,bright,12,12,0,532.940000,370.450000,197.330000,276.290000,54520.305700,1,1,direct,0.901913,12,0,0.751472,1.000000,12,0.200000,27.018300,37.011951,ok,
SP_T_Jongkok_2,mediapipe,29,0.966044,single,bright,12,12,0,533.450000,373.640000,197.720000,273.180000,54013.149600,1,1,direct,0.911030,12,0,0.723353,0.916667,11,0.200000,28.056500,35.642365,ok,
SP_T_Jongkok_2,mediapipe,30,0.999356,single,bright,12,12,0,533.960000,376.830000,198.100000,270.060000,53498.886000,1,1,direct,0.906011,12,0,0.722414,1.000000,12,0.200000,27.752800,36.032400,ok,
SP_T_Jongkok_2,mediapipe,31,1.032668,single,bright,12,12,0,534.210000,378.660000,197.850000,268.310000,53085.133500,1,1,direct,0.903046,12,0,0.694438,1.000000,12,0.200000,26.989400,37.051583,ok,
SP_T_Jongkok_2,mediapipe,32,1.065980,single,bright,12,12,0,534.470000,380.440000,197.590000,266.610000,52679.469900,1,1,direct,0.913169,12,0,0.700204,1.000000,12,0.200000,27.018400,37.011814,ok,
SP_T_Jongkok_2,mediapipe,33,1.099292,single,bright,12,12,0,534.720000,382.220000,197.340000,264.910000,52277.339400,1,1,direct,0.896286,12,2,0.539183,0.750000,9,0.200000,26.680300,37.480838,ok,
SP_T_Jongkok_2,mediapipe,34,1.132604,single,bright,12,12,0,534.980000,384.000000,197.080000,263.200000,51871.456000,1,1,direct,0.933269,12,0,0.773506,1.000000,12,0.200000,27.720200,36.074776,ok,
SP_T_Jongkok_2,mediapipe,35,1.165916,single,bright,12,12,0,535.230000,385.790000,196.830000,261.490000,51469.076700,1,1,direct,0.943291,12,0,0.763257,1.000000,12,0.200000,27.174000,36.799882,ok,
SP_T_Jongkok_2,mediapipe,36,1.199228,single,bright,12,12,0,535.230000,387.050000,196.830000,260.360000,51246.658800,1,1,direct,0.926324,12,0,0.709169,1.000000,12,0.200000,29.097500,34.367214,ok,
SP_T_Jongkok_2,mediapipe,37,1.232539,single,bright,12,12,0,535.230000,388.320000,196.830000,259.220000,51022.272600,1,1,direct,0.927970,12,0,0.702541,1.000000,12,0.200000,28.171300,35.497119,ok,
SP_T_Jongkok_2,mediapipe,38,1.265851,single,bright,12,12,0,535.230000,389.590000,196.830000,258.080000,50797.886400,1,1,direct,0.925589,12,0,0.705363,1.000000,12,0.200000,27.908800,35.830992,ok,
SP_T_Jongkok_2,mediapipe,39,1.299163,single,bright,12,12,0,535.230000,390.850000,196.830000,256.940000,50573.500200,1,1,direct,0.881826,12,2,0.502733,0.666667,8,0.200000,27.719200,36.076077,ok,
SP_T_Jongkok_2,mediapipe,40,1.332475,single,bright,12,12,0,535.230000,392.120000,196.830000,255.800000,50349.114000,1,1,direct,0.894798,12,2,0.524560,0.750000,9,0.200000,28.045900,35.655836,ok,
SP_T_Jongkok_2,mediapipe,41,1.365787,single,bright,12,12,0,535.170000,392.860000,196.890000,255.090000,50224.670100,1,1,direct,0.903330,12,1,0.616930,0.833333,10,0.200000,28.372000,35.246017,ok,
SP_T_Jongkok_2,mediapipe,42,1.399099,single,bright,12,12,0,535.100000,393.590000,196.960000,254.380000,50102.684800,1,1,direct,0.904705,12,1,0.617202,0.916667,11,0.200000,28.279000,35.361929,ok,
SP_T_Jongkok_2,mediapipe,43,1.432411,single,bright,12,12,0,535.040000,394.330000,197.020000,253.670000,49978.063400,1,1,direct,0.922752,12,0,0.706269,1.000000,12,0.200000,28.497500,35.090797,ok,
SP_T_Jongkok_2,mediapipe,44,1.465723,single,bright,12,12,0,534.980000,395.060000,197.080000,252.960000,49853.356800,1,1,direct,0.927110,12,0,0.726963,1.000000,12,0.200000,28.886100,34.618727,ok,
SP_T_Jongkok_2,mediapipe,45,1.499034,single,bright,12,12,0,534.910000,395.800000,197.150000,252.250000,49731.087500,1,1,direct,0.909566,12,1,0.629253,0.833333,10,0.200000,28.327000,35.302009,ok,
SP_T_Jongkok_2,mediapipe,46,1.532346,single,bright,12,12,0,534.850000,396.530000,197.210000,251.540000,49606.203400,1,1,direct,0.897639,12,2,0.550313,0.833333,10,0.200000,28.386500,35.228013,ok,
SP_T_Jongkok_2,mediapipe,47,1.565658,single,bright,12,12,0,534.790000,397.270000,197.270000,250.830000,49481.234100,1,1,direct,0.893453,12,2,0.551276,0.750000,9,0.200000,28.307900,35.325828,ok,
SP_T_Jongkok_2,mediapipe,48,1.598970,single,bright,12,12,0,534.720000,398.000000,197.340000,250.130000,49360.654200,1,1,direct,0.927156,12,0,0.747689,1.000000,12,0.200000,28.004900,35.708037,ok,
SP_T_Jongkok_2,mediapipe,49,1.632282,single,bright,12,12,0,534.660000,398.740000,197.400000,249.410000,49233.534000,1,1,direct,0.933310,12,0,0.741182,1.000000,12,0.200000,27.975200,35.745946,ok,
SP_T_Jongkok_2,mediapipe,50,1.665594,single,bright,12,12,0,534.590000,398.820000,197.470000,249.360000,49241.119200,1,1,direct,0.899719,12,2,0.539959,0.750000,9,0.200000,28.149800,35.524231,ok,
SP_T_Jongkok_2,mediapipe,51,1.698906,single,bright,12,12,0,534.590000,398.890000,197.470000,249.290000,49227.296300,1,1,direct,0.886295,12,2,0.532048,0.666667,8,0.200000,27.749200,36.037075,ok,
SP_T_Jongkok_2,mediapipe,52,1.732218,single,bright,12,12,0,534.590000,398.950000,197.470000,249.240000,49217.422800,1,1,direct,0.879456,12,2,0.520111,0.666667,8,0.200000,28.465600,35.130122,ok,
SP_T_Jongkok_2,mediapipe,53,1.765530,single,bright,12,12,0,534.590000,399.010000,197.470000,249.180000,49205.574600,1,1,direct,0.913556,12,0,0.719220,1.000000,12,0.200000,28.777200,34.749732,ok,
SP_T_Jongkok_2,mediapipe,54,1.798841,single,bright,12,12,0,534.590000,399.070000,197.470000,249.130000,49195.701100,1,1,direct,0.904933,12,1,0.635249,0.833333,10,0.200000,28.273400,35.368933,ok,
SP_T_Jongkok_2,mediapipe,55,1.832153,single,bright,12,12,0,534.590000,399.140000,197.470000,249.060000,49181.878200,1,1,direct,0.922765,12,0,0.723930,1.000000,12,0.200000,28.181700,35.484020,ok,
SP_T_Jongkok_2,mediapipe,56,1.865465,single,bright,12,12,0,534.590000,399.200000,197.470000,249.000000,49170.030000,1,1,direct,0.888433,12,2,0.510188,0.666667,8,0.200000,28.407600,35.201847,ok,
SP_T_Jongkok_2,mediapipe,57,1.898777,single,bright,12,12,0,534.590000,399.260000,197.470000,248.950000,49160.156500,1,1,direct,0.919773,12,1,0.615958,0.833333,10,0.200000,28.196300,35.465646,ok,
SP_T_Jongkok_2,mediapipe,58,1.932089,single,bright,12,12,0,534.590000,399.330000,197.470000,248.880000,49146.333600,1,1,direct,0.900618,12,2,0.531522,0.750000,9,0.200000,27.624000,36.200405,ok,
SP_T_Jongkok_2,mediapipe,59,1.965401,single,bright,12,12,0,534.590000,399.390000,197.470000,248.830000,49136.460100,1,1,direct,0.918187,12,1,0.625218,0.916667,11,0.200000,27.663000,36.149369,ok,
SP_T_Jongkok_2,mediapipe,60,1.998713,single,bright,12,12,0,534.590000,399.450000,197.470000,248.770000,49124.611900,1,1,direct,0.902963,12,2,0.525936,0.750000,9,0.200000,28.660900,34.890740,ok,
SP_T_Jongkok_2,mediapipe,61,2.032025,single,bright,12,12,0,534.590000,399.040000,197.470000,249.150000,49199.650500,1,1,direct,0.910232,12,1,0.631376,0.833333,10,0.200000,27.681800,36.124818,ok,
SP_T_Jongkok_2,mediapipe,62,2.065336,single,bright,12,12,0,534.590000,398.620000,197.470000,249.540000,49276.663800,1,1,direct,0.891991,12,2,0.526142,0.750000,9,0.200000,28.152800,35.520446,ok,
SP_T_Jongkok_2,mediapipe,63,2.098648,single,bright,12,12,0,534.590000,398.210000,197.470000,249.920000,49351.702400,1,1,direct,0.893520,12,2,0.531733,0.750000,9,0.200000,26.976800,37.068889,ok,
SP_T_Jongkok_2,mediapipe,64,2.131960,single,bright,12,12,0,534.590000,397.800000,197.470000,250.300000,49426.741000,1,1,direct,0.899747,12,2,0.529882,0.750000,9,0.200000,27.984700,35.733812,ok,
SP_T_Jongkok_2,mediapipe,65,2.165272,single,bright,12,12,0,534.590000,397.380000,197.470000,250.690000,49503.754300,1,1,direct,0.908776,12,1,0.601044,0.916667,11,0.200000,26.846900,37.248248,ok,
SP_T_Jongkok_2,mediapipe,66,2.198584,single,bright,12,12,0,534.590000,396.970000,197.470000,251.070000,49578.792900,1,1,direct,0.882292,12,2,0.516311,0.750000,9,0.200000,27.221600,36.735534,ok,
