video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_Jongkok_2,yolopose,0,0.000000,single,bright,12,12,0,591.350000,279.470000,115.110000,364.590000,41967.954900,1,1,direct,0.893653,12,0,0.936769,1.000000,12,0.200000,35.174800,28.429444,ok,
SP_T_Jongkok_2,yolopose,1,0.033312,single,bright,12,12,0,584.720000,281.130000,121.740000,362.990000,44190.402600,1,1,direct,0.899047,12,0,0.928177,1.000000,12,0.200000,30.991400,32.267016,ok,
SP_T_Jongkok_2,yolopose,2,0.066624,single,bright,12,12,0,578.080000,282.790000,128.380000,361.390000,46395.248200,1,1,direct,0.899655,12,0,0.906743,1.000000,12,0.200000,28.819000,34.699330,ok,
SP_T_Jongkok_2,yolopose,3,0.099936,single,bright,12,12,0,571.450000,284.450000,135.010000,359.790000,48575.247900,1,1,direct,0.908358,12,0,0.899818,1.000000,12,0.200000,27.757900,36.025780,ok,
SP_T_Jongkok_2,yolopose,4,0.133248,single,bright,12,12,0,564.820000,286.000000,141.640000,358.310000,50751.028400,1,1,direct,0.913662,12,0,0.826156,1.000000,12,0.200000,25.293900,39.535224,ok,
SP_T_Jongkok_2,yolopose,5,0.166559,single,bright,12,12,0,558.190000,287.530000,148.270000,356.840000,52908.666800,1,1,direct,0.914560,12,0,0.776069,1.000000,12,0.200000,23.692400,42.207628,ok,
SP_T_Jongkok_2,yolopose,6,0.199871,single,bright,12,12,0,552.960000,289.420000,153.500000,355.010000,54494.035000,1,1,direct,0.911807,12,0,0.846738,1.000000,12,0.200000,27.176200,36.796903,ok,
SP_T_Jongkok_2,yolopose,7,0.233183,single,bright,12,12,0,547.730000,291.080000,158.730000,353.410000,56096.769300,1,1,direct,0.901308,12,0,0.790023,1.000000,12,0.200000,25.298400,39.528192,ok,
SP_T_Jongkok_2,yolopose,8,0.266495,single,bright,12,12,0,542.500000,292.740000,165.200000,351.810000,58119.012000,1,1,direct,0.908864,12,0,0.774210,1.000000,12,0.200000,25.594900,39.070284,ok,
SP_T_Jongkok_2,yolopose,9,0.299807,single,bright,12,12,0,537.270000,294.390000,173.360000,350.220000,60714.139200,1,1,direct,0.918673,12,0,0.764482,1.000000,12,0.200000,21.973500,45.509364,ok,
SP_T_Jongkok_2,yolopose,10,0.333119,single,bright,12,12,0,532.040000,296.050000,181.530000,348.620000,63284.988600,1,1,direct,0.904297,12,0,0.806541,1.000000,12,0.200000,25.591200,39.075932,ok,
SP_T_Jongkok_2,yolopose,11,0.366431,single,bright,12,12,0,530.900000,299.950000,183.180000,344.790000,63158.632200,1,1,direct,0.906230,12,0,0.778660,1.000000,12,0.200000,24.307800,41.139058,ok,
SP_T_Jongkok_2,yolopose,12,0.399743,single,bright,12,12,0,529.750000,303.840000,184.840000,340.960000,63023.046400,1,1,direct,0.913606,12,0,0.752928,0.916667,11,0.200000,27.019600,37.010170,ok,
SP_T_Jongkok_2,yolopose,13,0.433054,single,bright,12,12,0,528.600000,307.740000,186.500000,337.120000,62872.880000,1,1,direct,0.924914,12,0,0.741685,0.916667,11,0.200000,23.953700,41.747204,ok,
SP_T_Jongkok_2,yolopose,14,0.466366,single,bright,12,12,0,527.450000,311.630000,188.160000,333.290000,62711.846400,1,1,direct,0.924467,12,0,0.765554,0.833333,10,0.200000,27.922600,35.813284,ok,
SP_T_Jongkok_2,yolopose,15,0.499678,single,bright,12,12,0,526.300000,315.190000,189.820000,329.790000,62600.737800,1,1,direct,0.924102,12,0,0.753548,0.916667,11,0.200000,27.521200,36.335625,ok,
SP_T_Jongkok_2,yolopose,16,0.532990,single,bright,12,12,0,527.200000,319.500000,189.810000,325.710000,61823.015100,1,1,direct,0.923554,12,0,0.759001,0.916667,11,0.200000,26.765900,37.360970,ok,
SP_T_Jongkok_2,yolopose,17,0.566302,single,bright,12,12,0,528.090000,323.470000,189.810000,321.960000,61111.227600,1,1,direct,0.924908,12,0,0.737914,0.916667,11,0.200000,28.972200,34.515846,ok,
SP_T_Jongkok_2,yolopose,18,0.599614,single,bright,12,12,0,528.980000,327.440000,189.820000,318.220000,60404.520400,1,1,direct,0.925305,12,0,0.742219,0.916667,11,0.200000,28.024900,35.682554,ok,
SP_T_Jongkok_2,yolopose,19,0.632926,single,bright,12,12,0,529.870000,331.410000,189.820000,314.480000,59694.593600,1,1,direct,0.922724,12,0,0.663694,0.916667,11,0.200000,35.747800,27.973749,ok,
SP_T_Jongkok_2,yolopose,20,0.666238,single,bright,12,12,0,530.770000,335.380000,189.810000,310.740000,58981.559400,1,1,direct,0.919517,12,0,0.723835,0.916667,11,0.200000,26.967200,37.082085,ok,
SP_T_Jongkok_2,yolopose,21,0.699549,single,bright,12,12,0,530.900000,340.480000,191.080000,305.710000,58415.066800,1,1,direct,0.928536,12,0,0.751802,0.916667,11,0.200000,28.820300,34.697765,ok,
SP_T_Jongkok_2,yolopose,22,0.732861,single,bright,12,12,0,531.020000,345.580000,192.370000,300.690000,57843.735300,1,1,direct,0.922228,12,0,0.729383,0.916667,11,0.200000,27.667000,36.144143,ok,
SP_T_Jongkok_2,yolopose,23,0.766173,single,bright,12,12,0,531.150000,350.690000,193.640000,295.660000,57251.602400,1,1,direct,0.921104,12,0,0.714883,0.916667,11,0.200000,26.817200,37.289501,ok,
SP_T_Jongkok_2,yolopose,24,0.799485,single,bright,12,12,0,531.280000,355.790000,194.910000,290.640000,56648.642400,1,1,direct,0.921535,12,0,0.718694,0.916667,11,0.200000,27.844700,35.913477,ok,
SP_T_Jongkok_2,yolopose,25,0.832797,single,bright,12,12,0,531.410000,360.890000,196.190000,285.620000,56035.787800,1,1,direct,0.923680,12,0,0.739920,0.916667,11,0.200000,26.667400,37.498969,ok,
SP_T_Jongkok_2,yolopose,26,0.866109,single,bright,12,12,0,531.920000,364.080000,196.570000,282.500000,55531.025000,1,1,direct,0.925920,12,0,0.725464,0.916667,11,0.200000,23.016900,43.446337,ok,
SP_T_Jongkok_2,yolopose,27,0.899421,single,bright,12,12,0,532.430000,367.270000,196.950000,279.390000,55025.860500,1,1,direct,0.925596,12,0,0.709730,0.916667,11,0.200000,28.881800,34.623881,ok,
SP_T_Jongkok_2,yolopose,28,0.932733,single,bright,12,12,0,532.940000,370.450000,197.330000,276.290000,54520.305700,1,1,direct,0.923672,12,0,0.664985,0.916667,11,0.200000,26.129100,38.271506,ok,
SP_T_Jongkok_2,yolopose,29,0.966044,single,bright,12,12,0,533.450000,373.640000,197.720000,273.180000,54013.149600,1,1,direct,0.925979,12,0,0.703808,0.916667,11,0.200000,27.426900,36.460555,ok,
SP_T_Jongkok_2,yolopose,30,0.999356,single,bright,12,12,0,533.960000,376.830000,198.100000,270.060000,53498.886000,1,1,direct,0.921898,12,0,0.761895,1.000000,12,0.200000,26.135200,38.262573,ok,
SP_T_Jongkok_2,yolopose,31,1.032668,single,bright,12,12,0,534.210000,378.660000,197.850000,268.310000,53085.133500,1,1,direct,0.923029,12,0,0.676723,0.916667,11,0.200000,26.947100,37.109745,ok,
