video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_PushUp_1,alphapose,0,0.000000,single,bright,12,9,0,325.830000,197.990000,432.610000,250.880000,108533.196800,1,1,direct,3.027939,9,0,0.835632,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,1,0.033312,single,bright,12,9,0,325.830000,197.990000,432.380000,250.880000,108475.494400,1,1,direct,3.021610,9,0,0.861907,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,2,0.066625,single,bright,12,9,0,325.830000,197.990000,432.160000,250.880000,108420.300800,1,1,direct,3.023107,9,0,0.868029,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,3,0.099937,single,bright,12,9,0,325.830000,197.990000,431.930000,250.880000,108362.598400,1,1,direct,3.044299,9,0,0.865268,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,4,0.133250,single,bright,12,9,0,325.830000,197.990000,431.700000,250.880000,108304.896000,1,1,direct,3.021048,9,0,0.863809,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,5,0.166562,single,bright,12,9,0,325.830000,197.990000,431.480000,250.880000,108249.702400,1,1,direct,3.012885,9,0,0.860083,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,6,0.199875,single,bright,12,9,0,325.830000,197.990000,431.250000,250.880000,108192.000000,1,1,direct,3.035680,9,0,0.847326,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,7,0.233187,single,bright,12,9,0,325.830000,197.990000,431.030000,250.880000,108136.806400,1,1,direct,3.032899,9,0,0.865183,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,8,0.266500,single,bright,12,9,0,325.830000,197.990000,430.800000,250.880000,108079.104000,1,1,direct,3.028105,9,0,0.858933,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,9,0.299812,single,bright,12,9,0,325.830000,197.990000,430.580000,250.880000,108023.910400,1,1,direct,3.014013,9,0,0.837385,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,10,0.333125,single,bright,12,9,0,325.830000,197.990000,430.350000,250.880000,107966.208000,1,1,direct,3.019354,9,0,0.833274,1.000000,9,0.200000,325.590010,3.071347,ok,
SP_T_PushUp_1,alphapose,11,0.366437,single,bright,12,9,0,325.830000,197.990000,430.120000,250.880000,107908.505600,1,1,direct,3.022927,9,0,0.848163,1.000000,9,0.200000,325.590010,3.071347,ok,
