video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_PushUp_1,hrnet,0,0.000000,single,bright,12,9,0,325.830000,197.990000,432.610000,250.880000,108533.196800,1,1,direct,0.902047,9,0,0.903502,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,1,0.033312,single,bright,12,9,0,325.830000,197.990000,432.380000,250.880000,108475.494400,1,1,direct,0.900752,9,0,0.904640,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,2,0.066625,single,bright,12,9,0,325.830000,197.990000,432.160000,250.880000,108420.300800,1,1,direct,0.892601,9,0,0.889572,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,3,0.099937,single,bright,12,9,0,325.830000,197.990000,431.930000,250.880000,108362.598400,1,1,direct,0.892339,9,0,0.904473,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,4,0.133250,single,bright,12,9,0,325.830000,197.990000,431.700000,250.880000,108304.896000,1,1,direct,0.891794,9,0,0.885314,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,5,0.166562,single,bright,12,9,0,325.830000,197.990000,431.480000,250.880000,108249.702400,1,1,direct,0.892479,9,0,0.885001,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,6,0.199875,single,bright,12,9,0,325.830000,197.990000,431.250000,250.880000,108192.000000,1,1,direct,0.891378,9,0,0.905547,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,7,0.233187,single,bright,12,9,0,325.830000,197.990000,431.030000,250.880000,108136.806400,1,1,direct,0.891580,9,0,0.904636,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,8,0.266500,single,bright,12,9,0,325.830000,197.990000,430.800000,250.880000,108079.104000,1,1,direct,0.891482,9,0,0.903730,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,9,0.299812,single,bright,12,9,0,325.830000,197.990000,430.580000,250.880000,108023.910400,1,1,direct,0.890687,9,0,0.904670,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,10,0.333125,single,bright,12,9,0,325.830000,197.990000,430.350000,250.880000,107966.208000,1,1,direct,0.890206,9,0,0.904280,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,11,0.366437,single,bright,12,9,0,325.830000,197.990000,430.120000,250.880000,107908.505600,1,1,direct,0.891812,9,0,0.883603,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,12,0.399749,single,bright,12,9,0,325.830000,197.990000,429.900000,250.880000,107853.312000,1,1,direct,0.891432,9,0,0.903834,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,13,0.433062,single,bright,12,9,0,325.830000,197.990000,429.670000,250.880000,107795.609600,1,1,direct,0.892210,9,0,0.881033,1.000000,9,0.200000,322.473023,3.101035,ok,
SP_T_PushUp_1,hrnet,14,0.466374,single,bright,12,9,0,325.830000,197.990000,429.450000,250.880000,107740.416000,1,1,direct,0.891458,9,0,0.882539,1.000000,9,0.200000,322.473023,3.101035,ok,
