video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,836.175995,299.596567,,,,0.026000,
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,840.853043,285.476882,,,,0.025000,
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,839.985046,287.126377,,,,0.025000,
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,824.317932,270.678406,,,,0.035000,
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,825.251770,275.051694,,,,0.035000,
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,5,left_shoulder,1,1,2.000000,764.070000,297.460000,2.000000,754.850769,261.367214,37.251623,44.227870,1,0.079000,0.102962
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,6,right_shoulder,1,1,2.000000,742.440000,290.280000,2.000000,747.755127,293.557091,6.244189,44.227870,1,0.079000,0.938122
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,7,left_elbow,1,1,2.000000,716.040000,356.640000,0.000000,696.721420,324.132299,,44.227870,0,0.072000,0.000000
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,8,right_elbow,1,1,2.000000,668.870000,345.060000,2.000000,671.098480,343.330500,2.820868,44.227870,1,0.072000,0.984428
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,9,left_wrist,1,1,2.000000,728.390000,394.150000,2.000000,730.106354,387.609158,6.762284,44.227870,1,0.062000,0.885476
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,10,right_wrist,1,1,2.000000,698.940000,417.010000,2.000000,700.511246,420.165854,3.525369,44.227870,1,0.062000,0.967483
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,11,left_hip,1,1,2.000000,576.160000,308.050000,2.000000,600.164795,323.611500,28.607525,44.227870,1,0.107000,0.481497
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,12,right_hip,1,1,2.000000,587.680000,343.440000,2.000000,592.043266,352.787175,10.315415,44.227870,1,0.107000,0.909349
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,13,left_knee,1,1,2.000000,502.370000,363.530000,2.000000,509.580917,360.089951,7.989447,44.227870,1,0.087000,0.917388
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,14,right_knee,1,1,2.000000,477.410000,390.980000,2.000000,474.473724,393.721547,4.017187,44.227870,1,0.087000,0.978437
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,15,left_ankle,1,1,2.000000,432.170000,276.570000,2.000000,433.937645,281.856136,5.573850,44.227870,1,0.089000,0.960691
SP_T_PushUp_2,mediapipe,0,0.000000,ok,1,direct,0.923587,16,right_ankle,1,1,2.000000,415.860000,291.460000,2.000000,417.812309,285.804477,5.983014,44.227870,1,0.089000,0.954845
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,844.200134,301.223788,,,,0.026000,
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,850.587082,288.330131,,,,0.025000,
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,848.205185,288.587043,,,,0.025000,
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,832.234955,274.639707,,,,0.035000,
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,832.308350,276.671834,,,,0.035000,
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,5,left_shoulder,1,1,2.000000,764.070000,297.460000,2.000000,759.484558,271.922307,25.946099,44.215529,1,0.079000,0.331710
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,6,right_shoulder,1,1,2.000000,743.750000,296.730000,2.000000,752.202072,300.561433,9.279946,44.215529,1,0.079000,0.868349
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,7,left_elbow,1,1,2.000000,716.040000,356.640000,0.000000,691.507263,330.016165,,44.215529,0,0.072000,0.000000
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,8,right_elbow,1,1,2.000000,668.710000,346.280000,2.000000,668.553467,343.058395,3.225405,44.215529,1,0.072000,0.979680
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,9,left_wrist,1,1,2.000000,728.390000,394.150000,2.000000,728.368683,392.455072,1.695062,44.215529,1,0.062000,0.992383
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,10,right_wrist,1,1,2.000000,698.970000,416.950000,2.000000,699.791794,416.123872,1.165261,44.215529,1,0.062000,0.996393
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,11,left_hip,1,1,2.000000,576.160000,308.050000,2.000000,608.118134,324.981315,36.166168,44.215529,1,0.107000,0.310758
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,12,right_hip,1,1,2.000000,589.210000,345.960000,2.000000,597.362213,350.287678,9.229701,44.215529,1,0.107000,0.926707
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,13,left_knee,1,1,2.000000,503.790000,363.070000,2.000000,508.812599,355.546181,9.046234,44.215529,1,0.087000,0.895292
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,14,right_knee,1,1,2.000000,477.520000,390.980000,2.000000,472.295341,390.827336,5.226888,44.215529,1,0.087000,0.963748
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,15,left_ankle,1,1,2.000000,434.360000,275.700000,2.000000,434.212685,279.854650,4.157261,44.215529,1,0.089000,0.977926
SP_T_PushUp_2,mediapipe,1,0.033312,ok,1,direct,0.895503,16,right_ankle,1,1,2.000000,418.050000,289.820000,2.000000,424.262505,285.749159,7.427446,44.215529,1,0.089000,0.931230
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,850.218353,314.876447,,,,0.026000,
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,856.941910,303.037133,,,,0.025000,
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,854.851227,302.815905,,,,0.025000,
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,839.997711,288.083711,,,,0.035000,
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,836.266479,292.123911,,,,0.035000,
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,5,left_shoulder,1,1,2.000000,764.070000,297.460000,2.000000,766.384888,278.782732,18.820176,44.202222,1,0.079000,0.559370
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,6,right_shoulder,1,1,2.000000,745.060000,303.180000,2.000000,753.301773,312.241852,12.249244,44.202222,1,0.079000,0.781846
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,7,left_elbow,1,1,2.000000,716.040000,356.640000,0.000000,684.013748,328.946929,,44.202222,0,0.072000,0.000000
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,8,right_elbow,1,1,2.000000,668.560000,347.500000,2.000000,658.634644,366.588364,21.514607,44.202222,1,0.072000,0.400919
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,9,left_wrist,1,1,2.000000,728.390000,394.150000,0.000000,720.556641,394.765635,,44.202222,0,0.062000,0.000000
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,10,right_wrist,1,1,2.000000,699.000000,416.880000,2.000000,696.567841,421.647120,5.351713,44.202222,1,0.062000,0.926568
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,11,left_hip,1,1,2.000000,576.160000,308.050000,2.000000,605.581017,328.058903,35.580225,44.202222,1,0.107000,0.322434
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,12,right_hip,1,1,2.000000,590.740000,348.470000,2.000000,588.201637,355.283239,7.270730,44.202222,1,0.107000,0.953836
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,13,left_knee,1,1,2.000000,505.210000,362.620000,0.000000,513.179169,351.451006,,44.202222,0,0.087000,0.000000
SP_T_PushUp_2,mediapipe,2,0.066624,ok,1,direct,0.834487,14,right_knee,1,1,2.000000,477.630000,390.980000,2.000000,469.672127,390.585423,7.967649,44.202222,1,0.087000,0.917728
