video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,962.115234,326.695740,,,,0.026000,
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,645.472961,204.973877,,,,0.025000,
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,1059.333008,393.987488,,,,0.025000,
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,453.991974,321.328125,,,,0.035000,
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,481.009094,138.057938,,,,0.035000,
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,5,left_shoulder,1,1,2.000000,764.070000,297.460000,2.000000,674.275879,498.497559,220.179663,44.227870,0,0.079000,0.000000
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,6,right_shoulder,1,1,2.000000,742.440000,290.280000,2.000000,1004.023987,268.814941,262.463199,44.227870,0,0.079000,0.000000
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,7,left_elbow,1,1,2.000000,716.040000,356.640000,2.000000,567.878296,412.761444,158.434551,44.227870,0,0.072000,0.000000
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,8,right_elbow,1,1,2.000000,668.870000,345.060000,2.000000,699.316101,418.379211,79.389369,44.227870,0,0.072000,0.000004
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,9,left_wrist,1,1,2.000000,728.390000,394.150000,2.000000,938.497437,433.770660,213.810504,44.227870,0,0.062000,0.000000
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,10,right_wrist,1,1,2.000000,698.940000,417.010000,2.000000,642.935242,438.786041,60.089341,44.227870,0,0.062000,0.000067
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,11,left_hip,1,1,2.000000,576.160000,308.050000,2.000000,307.652100,98.514931,340.589838,44.227870,0,0.107000,0.000000
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,12,right_hip,1,1,2.000000,587.680000,343.440000,2.000000,637.646606,372.525757,57.815595,44.227870,0,0.107000,0.050534
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,13,left_knee,1,1,2.000000,502.370000,363.530000,2.000000,328.966827,242.846130,211.265844,44.227870,0,0.087000,0.000000
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,14,right_knee,1,1,2.000000,477.410000,390.980000,2.000000,357.572052,454.524261,135.642939,44.227870,0,0.087000,0.000000
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,15,left_ankle,1,1,2.000000,432.170000,276.570000,2.000000,233.076462,219.021011,207.244115,44.227870,0,0.089000,0.000000
SP_T_PushUp_2,posenet,0,0.000000,ok,1,direct,1.000000,16,right_ankle,1,1,2.000000,415.860000,291.460000,2.000000,912.007690,264.529449,496.878039,44.227870,0,0.089000,0.000000
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,969.944336,326.507477,,,,0.026000,
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,709.016113,209.405640,,,,0.025000,
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,1089.652588,407.491821,,,,0.025000,
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,501.127930,324.294922,,,,0.035000,
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,483.358032,163.900146,,,,0.035000,
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,5,left_shoulder,1,1,2.000000,764.070000,297.460000,2.000000,649.789185,497.672241,230.532094,44.215529,0,0.079000,0.000000
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,6,right_shoulder,1,1,2.000000,743.750000,296.730000,2.000000,1005.997070,278.137390,262.905327,44.215529,0,0.079000,0.000000
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,7,left_elbow,1,1,2.000000,716.040000,356.640000,2.000000,560.449585,401.594543,161.954587,44.215529,0,0.072000,0.000000
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,8,right_elbow,1,1,2.000000,668.710000,346.280000,2.000000,696.157288,461.991669,118.922428,44.215529,0,0.072000,0.000000
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,9,left_wrist,1,1,2.000000,728.390000,394.150000,2.000000,957.772949,435.864105,233.145028,44.215529,0,0.062000,0.000000
SP_T_PushUp_2,posenet,1,0.033312,ok,1,direct,1.000000,10,right_wrist,1,1,2.000000,698.970000,416.950000,2.000000,637.573547,452.446472,70.919137,44.215529,0,0.062000,0.000002
