video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_Yoga_1,efficientpose,0,0.000000,single,bright,13,13,0,457.700000,298.100000,103.400000,381.150000,39410.910000,1,1,direct,0.336550,13,0,0.167757,0.461538,6,0.200000,33.265800,30.060903,ok,
SP_T_Yoga_1,efficientpose,1,0.033114,single,bright,13,13,0,458.480000,298.100000,104.000000,380.270000,39548.080000,1,1,direct,0.291971,13,0,0.052607,0.307692,4,0.200000,33.447200,29.897869,ok,
SP_T_Yoga_1,efficientpose,2,0.066229,single,bright,13,13,0,459.250000,298.100000,104.710000,379.390000,39725.926900,1,1,direct,0.277366,13,0,0.029558,0.153846,2,0.200000,33.082200,30.227736,ok,
SP_T_Yoga_1,efficientpose,3,0.099343,single,bright,13,13,0,459.050000,298.100000,110.610000,378.500000,41865.885000,1,1,direct,0.251632,13,0,0.017097,0.230769,3,0.200000,30.352900,32.945781,ok,
SP_T_Yoga_1,efficientpose,4,0.132457,single,bright,13,13,0,456.280000,298.100000,119.500000,377.620000,45125.590000,1,1,direct,0.276113,13,0,0.010976,0.153846,2,0.200000,29.442500,33.964507,ok,
SP_T_Yoga_1,efficientpose,5,0.165571,single,bright,13,13,0,453.510000,298.100000,128.390000,376.740000,48369.648600,1,1,direct,0.310095,13,0,0.060168,0.230769,3,0.200000,28.018000,35.691341,ok,
SP_T_Yoga_1,efficientpose,6,0.198686,single,bright,13,13,0,444.060000,298.100000,148.700000,375.850000,55888.895000,1,1,direct,0.297955,13,0,0.090630,0.307692,4,0.200000,29.133100,34.325218,ok,
SP_T_Yoga_1,efficientpose,7,0.231800,single,bright,13,13,0,434.610000,298.100000,169.020000,374.970000,63377.429400,1,1,direct,0.366359,13,0,0.142533,0.384615,5,0.200000,27.187300,36.781880,ok,
SP_T_Yoga_1,efficientpose,8,0.264914,single,bright,13,13,0,425.140000,298.690000,190.340000,373.500000,71091.990000,1,1,direct,0.490966,13,0,0.337813,0.461538,6,0.200000,26.173900,38.205999,ok,
SP_T_Yoga_1,efficientpose,9,0.298029,single,bright,13,13,0,415.660000,299.270000,211.670000,372.210000,78785.690700,1,1,direct,0.456950,13,0,0.332120,0.538462,7,0.200000,30.048200,33.279864,ok,
SP_T_Yoga_1,efficientpose,10,0.331143,single,bright,13,13,0,406.180000,299.860000,232.990000,371.620000,86583.743800,1,1,direct,0.476817,13,0,0.294459,0.538462,7,0.200000,28.458200,35.139257,ok,
SP_T_Yoga_1,efficientpose,11,0.364257,single,bright,13,13,0,400.530000,300.070000,247.390000,371.410000,91883.119900,1,1,direct,0.435159,13,0,0.232123,0.384615,5,0.200000,25.669200,38.957194,ok,
SP_T_Yoga_1,efficientpose,12,0.397371,single,bright,13,13,0,394.880000,300.270000,261.790000,371.210000,97179.065900,1,1,direct,0.433333,13,0,0.175415,0.461538,6,0.200000,29.502400,33.895547,ok,
SP_T_Yoga_1,efficientpose,13,0.430486,single,bright,13,13,0,389.230000,300.470000,276.190000,371.010000,102469.251900,1,1,direct,0.335134,13,0,0.123525,0.384615,5,0.200000,30.086300,33.237719,ok,
SP_T_Yoga_1,efficientpose,14,0.463600,single,bright,13,13,0,388.210000,300.470000,279.050000,371.010000,103530.340500,1,1,direct,0.369749,13,0,0.159587,0.384615,5,0.200000,29.699300,33.670827,ok,
SP_T_Yoga_1,efficientpose,15,0.496714,single,bright,13,13,0,387.190000,300.470000,281.900000,371.010000,104587.719000,1,1,direct,0.313031,13,0,0.161498,0.307692,4,0.200000,26.955000,37.098868,ok,
SP_T_Yoga_1,efficientpose,16,0.529829,single,bright,13,13,0,390.460000,300.470000,276.630000,371.010000,102632.496300,1,1,direct,0.320242,13,0,0.155423,0.461538,6,0.200000,28.109800,35.574782,ok,
SP_T_Yoga_1,efficientpose,17,0.562943,single,bright,13,13,0,393.730000,292.140000,271.350000,379.340000,102933.909000,1,1,direct,0.292480,13,0,0.219061,0.615385,8,0.200000,30.901000,32.361412,ok,
