video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_Yoga_1,mediapipe,0,0.000000,single,bright,13,13,0,457.700000,298.100000,103.400000,381.150000,39410.910000,2,1,gt_bbox_iou,0.981772,13,0,0.889368,1.000000,13,0.200000,57.933500,17.261170,ok,
SP_T_Yoga_1,mediapipe,1,0.033114,single,bright,13,13,0,458.480000,298.100000,104.000000,380.270000,39548.080000,1,1,direct,0.980291,13,0,0.905797,1.000000,13,0.200000,35.019300,28.555682,ok,
SP_T_Yoga_1,mediapipe,2,0.066229,single,bright,13,13,0,459.250000,298.100000,104.710000,379.390000,39725.926900,1,1,direct,0.980958,13,0,0.904135,1.000000,13,0.200000,32.919400,30.377224,ok,
SP_T_Yoga_1,mediapipe,3,0.099343,single,bright,13,13,0,459.050000,298.100000,110.610000,378.500000,41865.885000,1,1,direct,0.980213,13,0,0.893001,1.000000,13,0.200000,30.804800,32.462473,ok,
SP_T_Yoga_1,mediapipe,4,0.132457,single,bright,13,13,0,456.280000,298.100000,119.500000,377.620000,45125.590000,1,1,direct,0.981655,13,0,0.926548,1.000000,13,0.200000,31.756500,31.489616,ok,
SP_T_Yoga_1,mediapipe,5,0.165571,single,bright,13,13,0,453.510000,298.100000,128.390000,376.740000,48369.648600,1,1,direct,0.981991,13,0,0.956395,1.000000,13,0.200000,31.081100,32.173893,ok,
SP_T_Yoga_1,mediapipe,6,0.198686,single,bright,13,13,0,444.060000,298.100000,148.700000,375.850000,55888.895000,1,1,direct,0.985539,13,0,0.942948,1.000000,13,0.200000,30.685200,32.589001,ok,
SP_T_Yoga_1,mediapipe,7,0.231800,single,bright,13,13,0,434.610000,298.100000,169.020000,374.970000,63377.429400,1,1,direct,0.987036,13,0,0.952759,1.000000,13,0.200000,30.682300,32.592081,ok,
SP_T_Yoga_1,mediapipe,8,0.264914,single,bright,13,13,0,425.140000,298.690000,190.340000,373.500000,71091.990000,1,1,direct,0.990019,13,0,0.959018,1.000000,13,0.200000,31.939800,31.308900,ok,
SP_T_Yoga_1,mediapipe,9,0.298029,single,bright,13,13,0,415.660000,299.270000,211.670000,372.210000,78785.690700,1,1,direct,0.945155,13,0,0.946502,1.000000,13,0.200000,28.520200,35.062868,ok,
SP_T_Yoga_1,mediapipe,10,0.331143,single,bright,13,13,0,406.180000,299.860000,232.990000,371.620000,86583.743800,1,1,direct,0.901215,13,0,0.889551,1.000000,13,0.200000,28.811200,34.708724,ok,
SP_T_Yoga_1,mediapipe,11,0.364257,single,bright,13,13,0,400.530000,300.070000,247.390000,371.410000,91883.119900,1,1,direct,0.861325,13,1,0.828084,0.923077,12,0.200000,29.869500,33.478967,ok,
SP_T_Yoga_1,mediapipe,12,0.397371,single,bright,13,13,0,394.880000,300.270000,261.790000,371.210000,97179.065900,1,1,direct,0.964928,13,0,0.940616,1.000000,13,0.200000,28.296100,35.340559,ok,
SP_T_Yoga_1,mediapipe,13,0.430486,single,bright,13,13,0,389.230000,300.470000,276.190000,371.010000,102469.251900,1,1,direct,0.972895,13,0,0.939924,1.000000,13,0.200000,30.249700,33.058179,ok,
SP_T_Yoga_1,mediapipe,14,0.463600,single,bright,13,13,0,388.210000,300.470000,279.050000,371.010000,103530.340500,1,1,direct,0.985889,13,0,0.944807,1.000000,13,0.200000,34.509500,28.977528,ok,
SP_T_Yoga_1,mediapipe,15,0.496714,single,bright,13,13,0,387.190000,300.470000,281.900000,371.010000,104587.719000,1,1,direct,0.978485,13,0,0.949594,1.000000,13,0.200000,29.310500,34.117466,ok,
