video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,0,nose,1,1,2.000000,636.050000,222.320000,2.000000,636.927307,222.496979,0.894980,45.973355,1,0.026000,0.988850
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,646.482788,213.854172,,,,0.025000,
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,626.416138,214.814484,,,,0.025000,
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,657.949402,222.496979,,,,0.035000,
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,613.038452,224.417603,,,,0.035000,
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,5,left_shoulder,1,1,2.000000,687.840000,287.780000,2.000000,684.704956,277.234741,11.001408,45.973355,1,0.079000,0.832343
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,6,right_shoulder,1,1,2.000000,593.180000,284.390000,2.000000,595.838440,282.036285,3.550673,45.973355,1,0.079000,0.981066
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,7,left_elbow,1,1,2.000000,702.700000,344.730000,2.000000,703.815979,346.377136,1.989590,45.973355,1,0.072000,0.992800
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,8,right_elbow,1,1,2.000000,583.910000,359.560000,2.000000,581.505188,348.297760,11.516127,45.973355,1,0.072000,0.784991
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,9,left_wrist,1,1,2.000000,709.370000,414.060000,2.000000,709.549316,408.797363,5.265691,45.973355,1,0.062000,0.934021
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,10,right_wrist,1,1,2.000000,585.110000,422.330000,2.000000,585.327393,414.559265,7.773775,45.973355,1,0.062000,0.861772
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,11,left_hip,1,1,2.000000,676.690000,418.010000,2.000000,678.016052,425.122681,7.235236,45.973355,1,0.107000,0.957656
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,12,right_hip,1,1,2.000000,619.280000,415.270000,2.000000,618.771729,427.043304,11.784271,45.973355,1,0.107000,0.891565
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,13,left_knee,1,1,2.000000,675.600000,533.410000,2.000000,673.238281,529.796570,4.316780,45.973355,1,0.087000,0.976972
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,14,right_knee,1,1,2.000000,627.080000,531.940000,2.000000,629.282898,531.717224,2.214134,45.973355,1,0.087000,0.993890
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,15,left_ankle,1,1,2.000000,665.870000,642.300000,2.000000,666.549438,626.788086,15.526787,45.973355,1,0.089000,0.749757
SP_T_Yoga_2,posenet,0,0.000000,ok,1,direct,1.000000,16,right_ankle,1,1,2.000000,640.140000,643.480000,2.000000,638.838379,632.549927,11.007303,45.973355,1,0.089000,0.865244
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,0,nose,1,1,2.000000,636.260000,222.430000,2.000000,637.088928,222.111969,0.887843,45.973355,1,0.026000,0.989026
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,646.652954,213.475739,,,,0.025000,
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,626.568481,214.435318,,,,0.025000,
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,658.129822,222.111969,,,,0.035000,
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,614.135193,224.031113,,,,0.035000,
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,5,left_shoulder,1,1,2.000000,688.060000,287.890000,2.000000,684.909180,276.807983,11.521231,45.973355,1,0.079000,0.817698
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,6,right_shoulder,1,1,2.000000,593.400000,284.500000,2.000000,595.963501,281.605865,3.866206,45.973355,1,0.079000,0.977591
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,7,left_elbow,1,1,2.000000,702.920000,344.840000,2.000000,704.037231,345.897705,1.538488,45.973355,1,0.072000,0.995689
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,8,right_elbow,1,1,2.000000,584.130000,359.670000,2.000000,581.617432,347.816864,12.116511,45.973355,1,0.072000,0.764921
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,9,left_wrist,1,1,2.000000,709.590000,414.170000,2.000000,709.775635,408.270355,5.902565,45.973355,1,0.062000,0.917809
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,10,right_wrist,1,1,2.000000,585.330000,422.440000,2.000000,584.486633,413.068237,9.409634,45.973355,1,0.062000,0.804156
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,11,left_hip,1,1,2.000000,676.910000,418.110000,2.000000,678.214294,424.583191,6.603286,45.973355,1,0.107000,0.964603
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,12,right_hip,1,1,2.000000,619.500000,415.380000,2.000000,618.917236,426.502350,11.137607,45.973355,1,0.107000,0.902555
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,13,left_knee,1,1,2.000000,675.820000,533.520000,2.000000,673.432312,530.136902,4.140822,45.973355,1,0.087000,0.978792
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,14,right_knee,1,1,2.000000,627.300000,532.050000,2.000000,629.437683,532.056030,2.137692,45.973355,1,0.087000,0.994303
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,15,left_ankle,1,1,2.000000,666.090000,642.410000,2.000000,666.737427,627.054443,15.369199,45.973355,1,0.089000,0.754131
SP_T_Yoga_2,posenet,1,0.033254,ok,1,direct,1.000000,16,right_ankle,1,1,2.000000,640.360000,643.590000,2.000000,639.001709,632.811890,10.863361,45.973355,1,0.089000,0.868504
SP_T_Yoga_2,posenet,2,0.066509,ok,1,direct,1.000000,0,nose,1,1,2.000000,636.480000,222.530000,2.000000,637.344116,222.643814,0.871579,45.973901,1,0.026000,0.989423
SP_T_Yoga_2,posenet,2,0.066509,ok,1,direct,1.000000,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,645.958679,213.046204,,,,0.025000,
