video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_Jongkok_1,alphapose,0,0.000000,multi,bright,12,12,0,597.940000,247.920000,117.940000,390.890000,46101.566600,2,1,gt_bbox_iou,3.124244,12,0,0.913788,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,1,0.033311,multi,bright,12,12,0,598.130000,248.680000,116.890000,390.180000,45608.140200,2,1,gt_bbox_iou,3.130554,12,0,0.903435,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,2,0.066622,multi,bright,12,12,0,598.320000,249.440000,115.850000,389.480000,45121.258000,2,1,gt_bbox_iou,3.135732,12,0,0.897503,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,3,0.099933,multi,bright,12,12,0,598.500000,250.200000,114.820000,388.770000,44638.571400,2,1,gt_bbox_iou,3.130397,12,0,0.898013,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,4,0.133244,multi,bright,12,12,0,598.690000,250.960000,113.780000,388.070000,44154.604600,2,1,gt_bbox_iou,3.140725,12,0,0.904114,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,5,0.166556,multi,bright,12,12,0,598.880000,251.730000,112.730000,387.350000,43665.965500,2,1,gt_bbox_iou,3.140857,12,0,0.893879,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,6,0.199867,multi,bright,12,12,0,596.990000,252.490000,113.770000,386.650000,43989.170500,2,1,gt_bbox_iou,3.150081,12,0,0.896545,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,7,0.233178,multi,bright,12,12,0,595.090000,253.250000,114.820000,385.940000,44313.630800,2,1,gt_bbox_iou,3.158927,12,0,0.907757,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,8,0.266489,multi,bright,12,12,0,593.200000,254.010000,115.860000,385.230000,44632.747800,2,1,gt_bbox_iou,3.148757,12,0,0.910233,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,9,0.299800,multi,bright,12,12,0,591.310000,254.770000,117.320000,384.530000,45113.059600,2,1,gt_bbox_iou,3.139499,12,0,0.904780,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,10,0.333111,multi,bright,12,12,0,589.410000,255.530000,119.220000,383.820000,45759.020400,2,1,gt_bbox_iou,3.139876,12,0,0.915539,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,11,0.366422,multi,bright,12,12,0,584.040000,256.290000,124.590000,383.120000,47732.920800,2,1,gt_bbox_iou,3.116956,12,0,0.935438,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,12,0.399733,multi,bright,12,12,0,578.670000,257.050000,129.960000,382.410000,49698.003600,2,1,gt_bbox_iou,3.136603,12,0,0.930585,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,13,0.433044,multi,bright,12,12,0,573.300000,257.820000,135.330000,381.700000,51655.461000,2,1,gt_bbox_iou,3.122346,12,0,0.927919,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,14,0.466356,multi,bright,12,12,0,567.920000,258.580000,140.710000,380.990000,53609.102900,2,1,gt_bbox_iou,3.129065,12,0,0.935128,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,15,0.499667,multi,bright,12,12,0,562.550000,259.340000,146.080000,380.290000,55552.763200,2,1,gt_bbox_iou,3.106667,12,0,0.943448,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,16,0.532978,multi,bright,12,12,0,557.520000,264.910000,151.110000,374.770000,56631.494700,2,1,gt_bbox_iou,3.105362,12,0,0.960066,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,17,0.566289,multi,bright,12,12,0,552.480000,270.490000,156.150000,369.250000,57658.387500,2,1,gt_bbox_iou,3.101776,12,0,0.960297,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,18,0.599600,multi,bright,12,12,0,547.450000,276.060000,161.180000,363.730000,58626.001400,2,1,gt_bbox_iou,3.083292,12,0,0.959465,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,19,0.632911,multi,bright,12,12,0,542.410000,281.630000,166.220000,358.220000,59543.328400,2,1,gt_bbox_iou,3.080947,12,0,0.943204,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,20,0.666222,multi,bright,12,12,0,537.380000,287.210000,171.250000,352.690000,60398.162500,2,1,gt_bbox_iou,3.110313,12,0,0.943385,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,21,0.699533,multi,bright,12,12,0,534.500000,294.580000,174.130000,345.380000,60141.019400,2,1,gt_bbox_iou,3.078677,12,0,0.925305,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,22,0.732844,multi,bright,12,12,0,531.630000,301.950000,177.000000,338.060000,59836.620000,2,1,gt_bbox_iou,3.083380,12,0,0.929147,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,23,0.766156,multi,bright,12,12,0,528.750000,309.320000,179.880000,330.750000,59495.310000,2,1,gt_bbox_iou,3.113169,12,0,0.901640,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,24,0.799467,multi,bright,12,12,0,525.870000,316.700000,182.760000,323.420000,59108.239200,2,1,gt_bbox_iou,3.101873,12,0,0.890077,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,25,0.832778,multi,bright,12,12,0,523.000000,324.070000,185.630000,316.110000,58679.499300,2,1,gt_bbox_iou,3.068678,12,0,0.912487,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,26,0.866089,multi,bright,12,12,0,521.920000,331.260000,186.710000,308.970000,57687.788700,2,1,gt_bbox_iou,3.087779,12,0,0.904921,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,27,0.899400,multi,bright,12,12,0,520.840000,338.450000,187.790000,301.840000,56682.533600,2,1,gt_bbox_iou,3.087842,12,0,0.928826,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,28,0.932711,multi,bright,12,12,0,519.760000,345.650000,188.870000,294.690000,55658.100300,2,1,gt_bbox_iou,3.136606,12,0,0.885510,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,29,0.966022,multi,bright,12,12,0,518.680000,352.840000,189.950000,287.550000,54620.122500,3,1,gt_bbox_iou,3.119472,12,0,0.920002,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,30,0.999333,multi,bright,12,12,0,517.600000,359.820000,191.030000,280.630000,53608.748900,3,1,gt_bbox_iou,3.071460,12,0,0.930324,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,31,1.032644,multi,bright,12,12,0,517.240000,365.560000,191.390000,274.940000,52620.766600,3,1,gt_bbox_iou,3.115532,12,0,0.933704,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,32,1.065956,multi,bright,12,12,0,516.880000,371.290000,191.750000,269.270000,51632.522500,3,1,gt_bbox_iou,3.064468,12,0,0.918301,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,33,1.099267,multi,bright,12,12,0,516.520000,377.020000,192.750000,263.590000,50806.972500,3,1,gt_bbox_iou,3.072018,12,0,0.918482,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,34,1.132578,multi,bright,12,12,0,516.160000,382.750000,194.190000,257.920000,50085.484800,3,1,gt_bbox_iou,3.090415,12,0,0.933409,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,35,1.165889,multi,bright,12,12,0,515.800000,388.480000,195.630000,252.240000,49345.711200,3,1,gt_bbox_iou,3.090314,12,0,0.914740,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,36,1.199200,multi,bright,12,12,0,515.620000,392.530000,197.070000,248.480000,48967.953600,3,1,gt_bbox_iou,3.077682,12,0,0.908950,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,37,1.232511,multi,bright,12,12,0,515.440000,396.380000,198.500000,244.910000,48614.635000,3,1,gt_bbox_iou,3.087393,12,0,0.909944,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,38,1.265822,multi,bright,12,12,0,515.260000,400.240000,199.940000,241.330000,48251.520200,3,1,gt_bbox_iou,3.081649,12,0,0.901137,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,39,1.299133,multi,bright,12,12,0,515.080000,404.100000,201.380000,237.760000,47880.108800,3,1,gt_bbox_iou,3.084637,12,0,0.927594,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,40,1.332444,multi,bright,12,12,0,514.900000,407.960000,202.820000,234.180000,47496.387600,3,1,gt_bbox_iou,3.073372,12,0,0.933928,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,41,1.365756,multi,bright,12,12,0,514.900000,406.960000,202.820000,235.100000,47682.982000,3,1,gt_bbox_iou,3.077556,12,0,0.924926,1.000000,12,0.200000,364.832727,2.740982,ok,
MP_T_Jongkok_1,alphapose,42,1.399067,multi,bright,12,12,0,514.900000,405.970000,202.820000,236.010000,47867.548200,3,1,gt_bbox_iou,3.077420,12,0,0.928955,1.000000,12,0.200000,364.832727,2.740982,ok,
