video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_Jongkok_1,alphapose,0,0.000000,single,bright,12,12,0,592.130000,239.520000,125.530000,402.030000,50466.825900,1,1,direct,3.139976,12,0,0.913207,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,1,0.033231,single,bright,12,12,0,592.270000,240.060000,124.880000,401.390000,50125.583200,1,1,direct,3.155544,12,0,0.915953,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,2,0.066461,single,bright,12,12,0,592.410000,240.610000,124.230000,400.750000,49785.172500,1,1,direct,3.154905,12,0,0.914138,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,3,0.099692,single,bright,12,12,0,592.550000,241.150000,123.580000,400.110000,49445.593800,1,1,direct,3.157412,12,0,0.905202,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,4,0.132923,single,bright,12,12,0,592.690000,241.690000,122.930000,399.470000,49106.847100,1,1,direct,3.155233,12,0,0.905756,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,5,0.166154,single,bright,12,12,0,592.430000,242.950000,122.840000,398.110000,48903.832400,1,1,direct,3.143723,12,0,0.915566,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,6,0.199384,single,bright,12,12,0,592.170000,244.200000,122.750000,396.760000,48702.290000,1,1,direct,3.135731,12,0,0.917961,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,7,0.232615,single,bright,12,12,0,591.920000,245.460000,122.650000,395.400000,48495.810000,1,1,direct,3.135675,12,0,0.913649,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,8,0.265846,single,bright,12,12,0,591.660000,246.710000,122.560000,394.060000,48295.993600,1,1,direct,3.134456,12,0,0.906389,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,9,0.299077,single,bright,12,12,0,591.410000,252.940000,119.620000,387.730000,46380.262600,1,1,direct,3.122032,12,0,0.904811,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,10,0.332307,single,bright,12,12,0,591.150000,259.170000,118.100000,381.400000,45043.340000,1,1,direct,3.124566,12,0,0.919432,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,11,0.365538,single,bright,12,12,0,585.130000,265.370000,124.020000,375.200000,46532.304000,1,1,direct,3.128070,12,0,0.900136,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,12,0.398769,single,bright,12,12,0,578.150000,271.560000,130.900000,369.010000,48303.409000,1,1,direct,3.124844,12,0,0.912048,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,13,0.432000,single,bright,12,12,0,571.170000,277.750000,137.780000,362.820000,49989.339600,1,1,direct,3.091423,12,0,0.914263,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,14,0.465230,single,bright,12,12,0,564.190000,283.940000,144.670000,356.630000,51593.662100,1,1,direct,3.124075,12,0,0.942801,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,15,0.498461,single,bright,12,12,0,557.210000,290.130000,151.550000,350.440000,53109.182000,1,1,direct,3.151894,12,0,0.938483,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,16,0.531692,single,bright,12,12,0,550.240000,296.330000,158.420000,344.240000,54534.500800,1,1,direct,3.120442,12,0,0.938389,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,17,0.564922,single,bright,12,12,0,545.030000,302.520000,163.530000,338.050000,55281.316500,1,1,direct,3.096369,12,0,0.921018,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,18,0.598153,single,bright,12,12,0,539.820000,308.710000,168.640000,331.860000,55964.870400,1,1,direct,3.140728,12,0,0.958562,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,19,0.631384,single,bright,12,12,0,534.610000,314.900000,173.750000,325.670000,56585.162500,1,1,direct,3.125514,12,0,0.950416,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,20,0.664615,single,bright,12,12,0,529.400000,321.090000,178.870000,319.480000,57145.387600,1,1,direct,3.104667,12,0,0.934797,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,21,0.697845,single,bright,12,12,0,527.860000,326.600000,180.310000,313.970000,56611.930700,1,1,direct,3.116688,12,0,0.924302,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,22,0.731076,single,bright,12,12,0,526.320000,332.100000,181.750000,308.470000,56064.422500,1,1,direct,3.135771,12,0,0.945790,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,23,0.764307,single,bright,12,12,0,524.780000,337.610000,183.190000,302.960000,55499.242400,1,1,direct,3.145139,12,0,0.943865,1.000000,12,0.200000,323.822726,3.088109,ok,
SP_T_Jongkok_1,alphapose,24,0.797538,single,bright,12,12,0,523.250000,343.110000,184.620000,297.460000,54917.065200,1,1,direct,3.136404,12,0,0.958523,1.000000,12,0.200000,323.822726,3.088109,ok,
