video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,alphapose,multi,dim,121,121,0,0,1.000000,1283,0,1218,0.679595,0.714144,0.681086,0.949337,400.143283,400.143283,400.143283,2.499105,2.499105,
MP_R_DudukBerdiri_2,alphapose,multi,dim,150,150,0,0,1.000000,1538,0,1454,0.743989,0.763374,0.743577,0.945384,453.488699,453.488699,453.488699,2.205127,2.205127,
MP_R_Jongkok_1,alphapose,multi,dim,126,126,0,0,1.000000,1512,0,1500,0.861465,0.862631,0.861465,0.992063,373.670563,373.670563,373.670563,2.676154,2.676154,
MP_R_Jongkok_2,alphapose,multi,dim,139,139,0,0,1.000000,1668,0,1632,0.740284,0.747166,0.740284,0.978417,370.431245,370.431245,370.431245,2.699556,2.699556,
MP_R_PushUp_1,alphapose,multi,dim,77,77,0,0,1.000000,557,0,435,0.443905,0.353575,0.475171,0.780969,390.465925,390.465925,390.465925,2.561043,2.561043,
MP_R_PushUp_2,alphapose,multi,dim,91,91,0,0,1.000000,728,0,605,0.576576,0.613855,0.576576,0.831044,433.577093,433.577093,433.577093,2.306395,2.306395,
MP_R_Yoga_1,alphapose,multi,dim,182,182,0,0,1.000000,2361,0,2173,0.743786,0.740999,0.743628,0.920373,363.971453,363.971453,363.971453,2.747468,2.747468,
MP_R_Yoga_2,alphapose,multi,dim,173,173,0,0,1.000000,2249,0,2006,0.786890,0.828447,0.786890,0.891952,396.838968,396.838968,396.838968,2.519914,2.519914,
MP_T_DudukBerdiri_1,alphapose,multi,bright,148,148,0,0,1.000000,1771,0,1728,0.812748,0.843476,0.812624,0.975720,435.058714,435.058714,435.058714,2.298540,2.298540,
MP_T_DudukBerdiri_2,alphapose,multi,bright,145,145,0,0,1.000000,1697,0,1668,0.757937,0.764942,0.756970,0.982911,411.783612,411.783612,411.783612,2.428460,2.428460,
MP_T_Jongkok_1,alphapose,multi,bright,144,144,0,0,1.000000,1728,0,1728,0.924631,0.927625,0.924631,1.000000,364.832727,364.832727,364.832727,2.740982,2.740982,
MP_T_Jongkok_2,alphapose,multi,bright,208,145,63,0,0.697115,1740,0,960,0.273592,0.206850,0.273592,0.551724,379.420745,379.420745,379.420745,2.635597,2.635597,
MP_T_PushUp_1,alphapose,multi,bright,76,76,0,0,1.000000,532,0,528,0.798923,0.807693,0.801669,0.992481,390.789175,390.789175,390.789175,2.558925,2.558925,
MP_T_PushUp_2,alphapose,multi,bright,134,134,0,0,1.000000,1072,0,1025,0.726254,0.731332,0.726254,0.956157,380.910289,380.910289,380.910289,2.625290,2.625290,
MP_T_Yoga_1,alphapose,multi,bright,171,171,0,0,1.000000,2223,0,2223,0.910531,0.912913,0.910531,1.000000,375.759869,375.759869,375.759869,2.661274,2.661274,
MP_T_Yoga_2,alphapose,multi,bright,213,213,0,0,1.000000,2769,0,2769,0.927356,0.935538,0.927356,1.000000,372.801492,372.801492,372.801492,2.682393,2.682393,
SP_R_DudukBerdiri_1,alphapose,single,dim,121,121,0,0,1.000000,1452,0,1444,0.724022,0.716465,0.724022,0.994490,354.598536,354.598536,354.598536,2.820091,2.820091,
SP_R_DudukBerdiri_2,alphapose,single,dim,128,128,0,0,1.000000,1536,0,1469,0.793910,0.758554,0.793910,0.956380,342.004866,342.004866,342.004866,2.923935,2.923935,
SP_R_Jongkok_1,alphapose,single,dim,109,109,0,0,1.000000,1308,0,1306,0.886447,0.886662,0.886447,0.998471,328.799059,328.799059,328.799059,3.041371,3.041371,
SP_R_Jongkok_2,alphapose,single,dim,169,169,0,0,1.000000,2028,0,1962,0.755334,0.764503,0.755334,0.967456,315.149000,315.149000,315.149000,3.173102,3.173102,
SP_R_PushUp_1,alphapose,single,dim,85,84,0,1,0.988235,647,6,597,0.568467,0.648600,0.594200,0.922720,353.911798,353.911798,353.911798,2.825563,2.825563,
SP_R_PushUp_2,alphapose,single,dim,130,130,0,0,1.000000,1214,0,1213,0.668609,0.681079,0.663875,0.999176,315.715507,315.715507,315.715507,3.167409,3.167409,
SP_R_Yoga_1,alphapose,single,dim,115,115,0,0,1.000000,1487,0,1450,0.832212,0.858568,0.833030,0.975118,321.520216,321.520216,321.520216,3.110224,3.110224,
SP_R_Yoga_2,alphapose,single,dim,175,175,0,0,1.000000,2275,0,2214,0.854352,0.871620,0.854352,0.973187,313.234382,313.234382,313.234382,3.192498,3.192498,
SP_T_DudukBerdiri_1,alphapose,single,bright,122,122,0,0,1.000000,1464,0,1464,0.848615,0.846786,0.848615,1.000000,343.618500,343.618500,343.618500,2.910204,2.910204,
SP_T_DudukBerdiri_2,alphapose,single,bright,134,134,0,0,1.000000,1608,0,1608,0.864109,0.859323,0.864109,1.000000,320.098976,320.098976,320.098976,3.124034,3.124034,
SP_T_Jongkok_1,alphapose,single,bright,124,124,0,0,1.000000,1488,0,1488,0.926911,0.928604,0.926911,1.000000,323.822726,323.822726,323.822726,3.088109,3.088109,
SP_T_Jongkok_2,alphapose,single,bright,145,145,0,0,1.000000,1740,0,1709,0.860175,0.863556,0.860175,0.982184,317.051114,317.051114,317.051114,3.154066,3.154066,
SP_T_PushUp_1,alphapose,single,bright,124,124,0,0,1.000000,998,0,998,0.824345,0.817028,0.825549,1.000000,318.978699,318.978699,318.978699,3.135006,3.135006,
SP_T_PushUp_2,alphapose,single,bright,128,128,0,0,1.000000,1190,0,1175,0.769705,0.773367,0.766408,0.987395,326.901909,326.901909,326.901909,3.059022,3.059022,
SP_T_Yoga_1,alphapose,single,bright,121,120,1,0,0.991736,1560,0,1560,0.899481,0.898640,0.899481,1.000000,331.276877,331.276877,331.276877,3.018623,3.018623,
SP_T_Yoga_2,alphapose,single,bright,226,226,0,0,1.000000,2938,0,2938,0.907418,0.904734,0.907418,1.000000,312.084243,312.084243,312.084243,3.204263,3.204263,
