video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_DudukBerdiri_1,blazepose,0,0.000000,multi,dim,12,10,0,520.040000,290.560000,184.750000,313.120000,57848.920000,1,1,direct,0.803638,10,1,0.451950,0.900000,9,0.200000,34.599400,28.902235,ok,
MP_R_DudukBerdiri_1,blazepose,1,0.033292,multi,dim,12,10,0,519.910000,290.940000,185.550000,312.630000,58008.496500,1,1,direct,0.792314,10,1,0.431751,0.900000,9,0.200000,29.583800,33.802284,ok,
MP_R_DudukBerdiri_1,blazepose,2,0.066584,multi,dim,12,10,0,519.780000,291.320000,186.360000,312.140000,58170.410400,1,1,direct,0.786813,10,1,0.451507,0.900000,9,0.200000,31.091300,32.163338,ok,
MP_R_DudukBerdiri_1,blazepose,3,0.099876,multi,dim,12,10,0,519.660000,291.700000,187.150000,311.650000,58325.297500,1,1,direct,0.763779,10,1,0.529907,0.900000,9,0.200000,32.838800,30.451783,ok,
MP_R_DudukBerdiri_1,blazepose,4,0.133167,multi,dim,12,10,0,519.530000,292.080000,187.960000,311.160000,58485.633600,1,1,direct,0.793103,10,1,0.496289,0.900000,9,0.200000,30.948400,32.311848,ok,
MP_R_DudukBerdiri_1,blazepose,5,0.166459,multi,dim,12,10,0,519.410000,292.460000,188.750000,310.670000,58638.962500,2,1,gt_bbox_iou,0.761139,10,1,0.464941,0.900000,9,0.200000,44.875200,22.284023,ok,
MP_R_DudukBerdiri_1,blazepose,6,0.199751,multi,dim,12,10,0,519.280000,293.530000,189.560000,309.490000,58666.924400,2,1,gt_bbox_iou,0.777830,10,1,0.431047,0.800000,8,0.200000,44.232800,22.607658,ok,
MP_R_DudukBerdiri_1,blazepose,7,0.233043,multi,dim,12,10,0,519.150000,294.600000,190.360000,308.310000,58689.891600,2,1,gt_bbox_iou,0.810772,10,1,0.509202,0.900000,9,0.200000,45.491900,21.981935,ok,
MP_R_DudukBerdiri_1,blazepose,8,0.266335,multi,dim,12,10,0,519.030000,295.670000,191.160000,307.130000,58710.970800,2,1,gt_bbox_iou,0.842424,10,0,0.447434,1.000000,10,0.200000,46.499600,21.505561,ok,
MP_R_DudukBerdiri_1,blazepose,9,0.299627,multi,dim,12,10,0,518.900000,296.750000,191.960000,305.940000,58728.242400,1,1,direct,0.793207,10,1,0.484662,0.900000,9,0.200000,31.367000,31.880639,ok,
MP_R_DudukBerdiri_1,blazepose,10,0.332919,multi,dim,12,10,0,518.770000,297.820000,192.770000,304.750000,58746.657500,2,1,gt_bbox_iou,0.824450,10,1,0.460224,0.900000,9,0.200000,45.714600,21.874850,ok,
MP_R_DudukBerdiri_1,blazepose,11,0.366211,multi,dim,12,10,0,516.240000,300.860000,195.970000,301.600000,59104.552000,1,1,direct,0.550205,10,5,0.000001,0.000000,0,0.200000,31.055500,32.200415,ok,
MP_R_DudukBerdiri_1,blazepose,12,0.399502,multi,dim,12,10,0,513.710000,303.890000,199.180000,298.460000,59447.262800,0,0,none,0.000000,10,10,0.000000,0.000000,0,0.200000,32.214000,31.042404,no_pred_match,
MP_R_DudukBerdiri_1,blazepose,13,0.432794,multi,dim,12,10,0,511.180000,306.930000,202.380000,295.310000,59764.837800,1,1,direct,0.573500,10,5,0.000000,0.000000,0,0.200000,30.504600,32.781941,ok,
MP_R_DudukBerdiri_1,blazepose,14,0.466086,multi,dim,12,10,0,508.650000,309.970000,205.590000,292.160000,60065.174400,1,1,direct,0.798250,10,1,0.334082,0.900000,9,0.200000,29.647900,33.729202,ok,
MP_R_DudukBerdiri_1,blazepose,15,0.499378,multi,dim,12,10,0,506.120000,313.000000,208.790000,289.020000,60344.485800,1,1,direct,0.812606,10,1,0.319626,0.900000,9,0.200000,30.412700,32.881000,ok,
MP_R_DudukBerdiri_1,blazepose,16,0.532670,multi,dim,12,10,0,510.770000,304.940000,203.750000,296.970000,60507.637500,1,1,direct,0.749232,10,2,0.317686,0.800000,8,0.200000,30.791700,32.476284,ok,
MP_R_DudukBerdiri_1,blazepose,17,0.565962,multi,dim,12,10,0,515.420000,296.870000,198.700000,304.930000,60589.591000,1,1,direct,0.771737,10,1,0.450983,0.900000,9,0.200000,32.133500,31.120171,ok,
MP_R_DudukBerdiri_1,blazepose,18,0.599254,multi,dim,12,10,0,520.060000,288.810000,194.840000,312.880000,60961.539200,1,1,direct,0.826744,10,1,0.495326,0.900000,9,0.200000,31.271000,31.978510,ok,
MP_R_DudukBerdiri_1,blazepose,19,0.632545,multi,dim,12,10,0,524.710000,280.750000,191.790000,320.830000,61531.985700,1,1,direct,0.754831,10,1,0.528313,0.900000,9,0.200000,30.602800,32.676749,ok,
MP_R_DudukBerdiri_1,blazepose,20,0.665837,multi,dim,12,10,0,528.350000,269.840000,184.590000,331.630000,61215.581700,1,1,direct,0.811691,10,1,0.586488,0.800000,8,0.200000,30.291800,33.012234,ok,
MP_R_DudukBerdiri_1,blazepose,21,0.699129,multi,dim,12,10,0,531.990000,258.940000,180.550000,342.420000,61823.931000,1,1,direct,0.784959,10,2,0.412058,0.700000,7,0.200000,29.528400,33.865702,ok,
MP_R_DudukBerdiri_1,blazepose,22,0.732421,multi,dim,12,10,0,535.620000,248.040000,176.520000,353.210000,62348.629200,1,1,direct,0.853721,10,2,0.500254,0.700000,7,0.200000,30.071000,33.254631,ok,
MP_R_DudukBerdiri_1,blazepose,23,0.765713,multi,dim,12,10,0,539.260000,237.140000,172.490000,364.000000,62786.360000,1,1,direct,0.832799,10,1,0.528392,0.800000,8,0.200000,31.762400,31.483767,ok,
MP_R_DudukBerdiri_1,blazepose,24,0.799005,multi,dim,12,10,0,540.520000,227.620000,168.070000,372.920000,62676.664400,1,1,direct,0.816999,10,2,0.388172,0.700000,7,0.200000,31.378500,31.868955,ok,
MP_R_DudukBerdiri_1,blazepose,25,0.832297,multi,dim,12,10,0,541.790000,218.110000,163.630000,381.840000,62480.479200,1,1,direct,0.816324,10,2,0.367752,0.600000,6,0.200000,29.773800,33.586576,ok,
MP_R_DudukBerdiri_1,blazepose,26,0.865588,multi,dim,12,10,0,543.060000,208.590000,159.200000,390.760000,62208.992000,1,1,direct,0.897727,10,0,0.539519,0.900000,9,0.200000,30.185400,33.128599,ok,
MP_R_DudukBerdiri_1,blazepose,27,0.898880,multi,dim,12,11,0,544.320000,199.070000,154.780000,399.690000,61864.018200,1,1,direct,0.823754,11,2,0.446047,0.636364,7,0.200000,30.005800,33.326890,ok,
MP_R_DudukBerdiri_1,blazepose,28,0.932172,multi,dim,12,11,0,545.600000,196.140000,146.620000,402.560000,59023.347200,1,1,direct,0.835533,11,2,0.437324,0.636364,7,0.200000,30.191900,33.121466,ok,
MP_R_DudukBerdiri_1,blazepose,29,0.965464,multi,dim,12,11,0,546.890000,193.210000,138.450000,405.430000,56131.783500,1,1,direct,0.852169,11,2,0.370600,0.636364,7,0.200000,32.477300,30.790737,ok,
MP_R_DudukBerdiri_1,blazepose,30,0.998756,multi,dim,12,11,0,548.170000,189.710000,136.840000,408.880000,55951.139200,1,1,direct,0.847280,11,1,0.442476,0.727273,8,0.200000,32.663500,30.615213,ok,
MP_R_DudukBerdiri_1,blazepose,31,1.032048,multi,dim,12,11,0,549.460000,186.050000,136.870000,412.480000,56456.137600,1,1,direct,0.866171,11,1,0.470548,0.818182,9,0.200000,28.917900,34.580658,ok,
MP_R_DudukBerdiri_1,blazepose,32,1.065340,multi,dim,12,11,0,550.450000,182.390000,137.190000,416.080000,57082.015200,1,1,direct,0.889417,11,0,0.512570,0.909091,10,0.200000,30.336300,32.963809,ok,
MP_R_DudukBerdiri_1,blazepose,33,1.098632,multi,dim,12,11,0,551.000000,179.600000,137.750000,418.820000,57692.455000,1,1,direct,0.872095,11,0,0.522952,0.909091,10,0.200000,30.334900,32.965330,ok,
MP_R_DudukBerdiri_1,blazepose,34,1.131923,multi,dim,12,11,0,551.550000,176.610000,138.310000,421.750000,58332.242500,1,1,direct,0.861963,11,0,0.574795,0.909091,10,0.200000,29.918300,33.424359,ok,
MP_R_DudukBerdiri_1,blazepose,35,1.165215,multi,dim,12,11,0,552.090000,172.710000,138.870000,425.590000,59101.683300,1,1,direct,0.860402,11,1,0.537731,0.818182,9,0.200000,29.983500,33.351677,ok,
MP_R_DudukBerdiri_1,blazepose,36,1.198507,multi,dim,12,11,0,552.640000,168.810000,139.430000,429.440000,59876.819200,1,1,direct,0.845233,11,2,0.535971,0.727273,8,0.200000,30.451800,32.838781,ok,
MP_R_DudukBerdiri_1,blazepose,37,1.231799,multi,dim,12,11,0,552.710000,168.540000,140.280000,429.430000,60240.440400,1,1,direct,0.864445,11,1,0.554074,0.818182,9,0.200000,29.204100,34.241767,ok,
MP_R_DudukBerdiri_1,blazepose,38,1.265091,multi,dim,12,11,0,552.780000,168.260000,141.130000,429.440000,60606.867200,1,1,direct,0.850764,11,1,0.590804,0.818182,9,0.200000,30.112500,33.208800,ok,
MP_R_DudukBerdiri_1,blazepose,39,1.298383,multi,dim,12,11,0,552.840000,167.990000,142.010000,429.440000,60984.774400,1,1,direct,0.872716,11,0,0.640656,0.909091,10,0.200000,29.285800,34.146242,ok,
MP_R_DudukBerdiri_1,blazepose,40,1.331675,multi,dim,12,11,0,552.910000,167.720000,143.370000,429.430000,61567.379100,1,1,direct,0.874628,11,0,0.714510,1.000000,11,0.200000,30.077800,33.247112,ok,
MP_R_DudukBerdiri_1,blazepose,41,1.364966,multi,dim,12,11,0,552.980000,167.440000,144.530000,429.440000,62066.963200,1,1,direct,0.876921,11,0,0.645578,0.909091,10,0.200000,29.681100,33.691474,ok,
MP_R_DudukBerdiri_1,blazepose,42,1.398258,multi,dim,12,11,0,553.050000,167.170000,145.690000,429.440000,62565.113600,1,1,direct,0.888242,11,0,0.629036,0.909091,10,0.200000,29.763400,33.598312,ok,
MP_R_DudukBerdiri_1,blazepose,43,1.431550,multi,dim,12,11,0,553.120000,166.900000,146.850000,429.430000,63061.795500,1,1,direct,0.883447,11,0,0.679717,0.909091,10,0.200000,30.366500,32.931026,ok,
MP_R_DudukBerdiri_1,blazepose,44,1.464842,multi,dim,12,11,0,553.190000,166.620000,148.010000,429.440000,63561.414400,1,1,direct,0.880827,11,0,0.624665,0.909091,10,0.200000,30.008500,33.323892,ok,
MP_R_DudukBerdiri_1,blazepose,45,1.498134,multi,dim,12,11,0,553.430000,167.230000,146.540000,428.830000,62840.748200,1,1,direct,0.898548,11,0,0.656541,0.909091,10,0.200000,30.067800,33.258170,ok,
MP_R_DudukBerdiri_1,blazepose,46,1.531426,multi,dim,12,11,0,553.670000,167.840000,145.070000,428.220000,62121.875400,1,1,direct,0.901070,11,0,0.696118,0.909091,10,0.200000,30.577600,32.703679,ok,
MP_R_DudukBerdiri_1,blazepose,47,1.564718,multi,dim,12,11,0,553.910000,168.450000,143.600000,427.610000,61404.796000,1,1,direct,0.891022,11,0,0.742750,0.909091,10,0.200000,30.399900,32.894845,ok,
