video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_Jongkok_1,blazepose,0,0.000000,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,2,1,gt_bbox_iou,0.899764,12,1,0.788119,0.916667,11,0.200000,43.744400,22.860069,ok,
MP_R_Jongkok_1,blazepose,1,0.040454,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.893519,12,2,0.720582,0.833333,10,0.200000,28.646600,34.908157,ok,
MP_R_Jongkok_1,blazepose,2,0.080908,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.914720,12,1,0.797990,0.916667,11,0.200000,29.057400,34.414641,ok,
MP_R_Jongkok_1,blazepose,3,0.121362,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.889629,12,2,0.714606,0.833333,10,0.200000,29.358700,34.061454,ok,
MP_R_Jongkok_1,blazepose,4,0.161816,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.893562,12,2,0.705506,0.833333,10,0.200000,28.782100,34.743816,ok,
MP_R_Jongkok_1,blazepose,5,0.202270,multi,dim,12,12,0,593.420000,248.350000,121.410000,398.270000,48353.960700,1,1,direct,0.900063,12,1,0.789339,0.916667,11,0.200000,29.260100,34.176233,ok,
MP_R_Jongkok_1,blazepose,6,0.242724,multi,dim,12,12,0,592.520000,247.560000,120.500000,399.160000,48098.780000,1,1,direct,0.910024,12,0,0.874344,1.000000,12,0.200000,29.267000,34.168176,ok,
MP_R_Jongkok_1,blazepose,7,0.283178,multi,dim,12,12,0,591.610000,246.760000,119.600000,400.060000,47847.176000,1,1,direct,0.907135,12,1,0.812378,0.916667,11,0.200000,29.208500,34.236609,ok,
MP_R_Jongkok_1,blazepose,8,0.323632,multi,dim,12,12,0,590.710000,245.970000,120.370000,400.940000,48261.147800,1,1,direct,0.865240,12,2,0.732372,0.833333,10,0.200000,30.064100,33.262263,ok,
MP_R_Jongkok_1,blazepose,9,0.364086,multi,dim,12,12,0,589.800000,245.180000,121.280000,401.830000,48733.942400,1,1,direct,0.843001,12,2,0.691466,0.833333,10,0.200000,29.704300,33.665160,ok,
