video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_PushUp_1,blazepose,0,0.000000,multi,dim,12,9,0,280.350000,202.780000,459.660000,240.740000,110658.548400,2,1,gt_bbox_iou,0.901359,9,1,0.579350,0.888889,8,0.200000,44.545500,22.448957,ok,
MP_R_PushUp_1,blazepose,1,0.033522,multi,dim,12,9,0,280.620000,206.440000,461.580000,237.080000,109431.386400,2,1,gt_bbox_iou,0.882795,9,1,0.689431,0.888889,8,0.200000,42.962700,23.276005,ok,
MP_R_PushUp_1,blazepose,2,0.067044,multi,dim,12,9,0,280.890000,209.080000,463.510000,234.440000,108665.284400,2,1,gt_bbox_iou,0.913259,9,1,0.675209,0.888889,8,0.200000,44.636200,22.403341,ok,
MP_R_PushUp_1,blazepose,3,0.100567,multi,dim,12,9,0,281.160000,211.710000,465.430000,231.810000,107891.328300,2,1,gt_bbox_iou,0.912026,9,1,0.712940,0.888889,8,0.200000,42.861200,23.331125,ok,
MP_R_PushUp_1,blazepose,4,0.134089,multi,dim,12,9,0,281.430000,214.350000,467.360000,229.170000,107104.891200,2,1,gt_bbox_iou,0.932611,9,0,0.794637,1.000000,9,0.200000,43.276400,23.107282,ok,
MP_R_PushUp_1,blazepose,5,0.167611,multi,dim,12,9,0,281.700000,216.980000,469.280000,226.540000,106310.691200,1,1,direct,0.936344,9,0,0.694142,1.000000,9,0.200000,30.057000,33.270120,ok,
MP_R_PushUp_1,blazepose,6,0.201133,multi,dim,12,9,0,281.970000,224.590000,471.210000,218.930000,103162.005300,1,1,direct,0.935509,9,1,0.669596,0.888889,8,0.200000,28.638100,34.918518,ok,
MP_R_PushUp_1,blazepose,7,0.234656,multi,dim,12,9,0,282.230000,232.200000,473.150000,211.320000,99986.058000,1,1,direct,0.920330,9,0,0.789031,1.000000,9,0.200000,29.040000,34.435262,ok,
MP_R_PushUp_1,blazepose,8,0.268178,multi,dim,12,8,0,282.500000,239.820000,453.690000,203.700000,92416.653000,1,1,direct,0.929949,8,0,0.685018,1.000000,8,0.200000,30.407900,32.886191,ok,
MP_R_PushUp_1,blazepose,9,0.301700,multi,dim,12,8,0,282.770000,247.430000,453.420000,196.090000,88911.127800,1,1,direct,0.897616,8,1,0.404355,0.625000,5,0.200000,29.634400,33.744567,ok,
MP_R_PushUp_1,blazepose,10,0.335222,multi,dim,12,8,0,283.040000,255.040000,453.150000,188.480000,85409.712000,1,1,direct,0.913971,8,1,0.348738,0.625000,5,0.200000,29.308300,34.120027,ok,
MP_R_PushUp_1,blazepose,11,0.368745,multi,dim,12,8,0,283.310000,265.290000,452.880000,178.230000,80716.802400,1,1,direct,0.903931,8,1,0.446658,0.625000,5,0.200000,29.130100,34.328753,ok,
MP_R_PushUp_1,blazepose,12,0.402267,multi,dim,12,8,0,283.580000,275.540000,452.610000,167.980000,76029.427800,1,1,direct,0.865397,8,2,0.400749,0.500000,4,0.200000,28.860400,34.649554,ok,
MP_R_PushUp_1,blazepose,13,0.435789,multi,dim,12,8,0,283.850000,285.780000,452.340000,157.740000,71352.111600,1,1,direct,0.787842,8,2,0.467300,0.750000,6,0.200000,28.994200,34.489657,ok,
MP_R_PushUp_1,blazepose,14,0.469311,multi,dim,12,8,0,284.120000,296.030000,452.070000,147.490000,66675.804300,1,1,direct,0.839149,8,2,0.361013,0.500000,4,0.200000,29.710400,33.658248,ok,
MP_R_PushUp_1,blazepose,15,0.502834,multi,dim,12,7,0,284.390000,307.740000,451.800000,135.780000,61345.404000,1,1,direct,0.845788,7,1,0.463400,0.571429,4,0.200000,29.435400,33.972700,ok,
MP_R_PushUp_1,blazepose,16,0.536356,multi,dim,12,7,0,284.660000,319.450000,451.530000,124.070000,56021.327100,1,1,direct,0.823889,7,1,0.492953,0.571429,4,0.200000,29.995900,33.337890,ok,
MP_R_PushUp_1,blazepose,17,0.569878,multi,dim,12,7,0,284.930000,327.350000,451.610000,116.170000,52463.533700,1,1,direct,0.780618,7,1,0.590326,0.857143,6,0.200000,30.392000,32.903396,ok,
MP_R_PushUp_1,blazepose,18,0.603400,multi,dim,12,7,0,285.200000,331.600000,459.390000,111.920000,51414.928800,1,1,direct,0.780130,7,1,0.573780,0.857143,6,0.200000,29.751700,33.611525,ok,
MP_R_PushUp_1,blazepose,19,0.636923,multi,dim,12,6,0,285.470000,335.840000,464.250000,107.680000,49990.440000,1,1,direct,0.766293,6,0,0.755407,1.000000,6,0.200000,29.738000,33.627009,ok,
MP_R_PushUp_1,blazepose,20,0.670445,multi,dim,12,6,0,285.470000,338.770000,464.540000,104.750000,48660.565000,1,1,direct,0.806783,6,0,0.641550,1.000000,6,0.200000,29.188900,34.259599,ok,
MP_R_PushUp_1,blazepose,21,0.703967,multi,dim,12,6,0,285.470000,341.700000,464.830000,101.820000,47328.990600,1,1,direct,0.771105,6,0,0.607129,1.000000,6,0.200000,28.946500,34.546491,ok,
MP_R_PushUp_1,blazepose,22,0.737489,multi,dim,12,6,0,285.470000,344.630000,465.120000,98.890000,45995.716800,1,1,direct,0.728888,6,0,0.357972,0.666667,4,0.200000,30.195400,33.117627,ok,
MP_R_PushUp_1,blazepose,23,0.771012,multi,dim,12,6,0,285.470000,347.550000,465.420000,95.970000,44666.357400,1,1,direct,0.746487,6,0,0.396190,0.666667,4,0.200000,29.035900,34.440124,ok,
MP_R_PushUp_1,blazepose,24,0.804534,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,1,1,direct,0.737625,6,0,0.376587,0.666667,4,0.200000,29.512800,33.883603,ok,
MP_R_PushUp_1,blazepose,25,0.838056,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,1,1,direct,0.738821,6,0,0.378560,0.833333,5,0.200000,29.563400,33.825609,ok,
MP_R_PushUp_1,blazepose,26,0.871578,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,1,1,direct,0.782045,6,0,0.450550,1.000000,6,0.200000,28.450400,35.148891,ok,
MP_R_PushUp_1,blazepose,27,0.905101,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,1,1,direct,0.766309,6,0,0.422449,1.000000,6,0.200000,28.893500,34.609860,ok,
MP_R_PushUp_1,blazepose,28,0.938623,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,1,1,direct,0.736191,6,0,0.378012,0.833333,5,0.200000,28.657400,34.895001,ok,
MP_R_PushUp_1,blazepose,29,0.972145,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,1,1,direct,0.728771,6,0,0.406190,0.833333,5,0.200000,28.775200,34.752148,ok,
MP_R_PushUp_1,blazepose,30,1.005667,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,1,1,direct,0.721078,6,0,0.289331,0.833333,5,0.200000,29.605000,33.778078,ok,
MP_R_PushUp_1,blazepose,31,1.039190,multi,dim,12,6,0,285.470000,350.480000,465.710000,93.040000,43329.658400,1,1,direct,0.778618,6,0,0.438734,0.833333,5,0.200000,29.008900,34.472179,ok,
