video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_DudukBerdiri_1,blazepose,0,0.000000,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.786739,12,2,0.457372,0.750000,9,0.200000,28.725600,34.812154,ok,
SP_R_DudukBerdiri_1,blazepose,1,0.033311,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.789940,12,2,0.525518,0.833333,10,0.200000,28.410800,35.197882,ok,
SP_R_DudukBerdiri_1,blazepose,2,0.066622,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.793813,12,2,0.509291,0.833333,10,0.200000,29.276700,34.156855,ok,
SP_R_DudukBerdiri_1,blazepose,3,0.099933,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.809455,12,2,0.540754,0.833333,10,0.200000,28.678900,34.868841,ok,
SP_R_DudukBerdiri_1,blazepose,4,0.133244,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.810901,12,2,0.567456,0.833333,10,0.200000,30.053900,33.273552,ok,
SP_R_DudukBerdiri_1,blazepose,5,0.166556,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.801136,12,2,0.549988,0.833333,10,0.200000,29.708200,33.660740,ok,
SP_R_DudukBerdiri_1,blazepose,6,0.199867,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.820754,12,2,0.535133,0.833333,10,0.200000,28.869000,34.639232,ok,
SP_R_DudukBerdiri_1,blazepose,7,0.233178,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.799676,12,2,0.499239,0.833333,10,0.200000,30.306300,32.996440,ok,
SP_R_DudukBerdiri_1,blazepose,8,0.266489,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.795526,12,2,0.546295,0.833333,10,0.200000,29.637400,33.741151,ok,
SP_R_DudukBerdiri_1,blazepose,9,0.299800,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.811227,12,2,0.531072,0.750000,9,0.200000,29.878500,33.468882,ok,
SP_R_DudukBerdiri_1,blazepose,10,0.333111,single,dim,12,12,0,629.820000,354.970000,171.290000,319.480000,54723.729200,1,1,direct,0.805372,12,2,0.495815,0.750000,9,0.200000,29.648900,33.728064,ok,
