video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,blazepose,multi,dim,121,120,0,1,0.991736,1283,90,959,0.453138,0.496289,0.456359,0.747467,30.931947,30.112500,32.838800,32.568478,32.329035,
MP_R_DudukBerdiri_2,blazepose,multi,dim,150,133,0,17,0.886667,1538,558,249,0.087171,0.000013,0.092033,0.161899,37.808908,43.505250,45.765700,27.541690,26.448793,
MP_R_Jongkok_1,blazepose,multi,dim,126,126,0,0,1.000000,1512,111,1337,0.710484,0.747081,0.710484,0.884259,29.419054,29.256850,30.280400,34.046082,33.991576,
MP_R_Jongkok_2,blazepose,multi,dim,139,137,0,2,0.985612,1668,286,1226,0.481212,0.491254,0.481212,0.735012,30.583077,29.410400,43.345800,33.110243,32.697822,
MP_R_PushUp_1,blazepose,multi,dim,77,76,0,1,0.987013,557,34,485,0.566718,0.601313,0.577195,0.870736,30.236026,29.216500,42.962700,33.410546,33.073129,
MP_R_PushUp_2,blazepose,multi,dim,91,74,0,17,0.813187,728,324,67,0.046907,0.017469,0.046907,0.092033,29.307891,29.060300,30.537500,34.185187,34.120503,
MP_R_Yoga_1,blazepose,multi,dim,182,182,0,0,1.000000,2361,25,2150,0.660344,0.662596,0.660053,0.910631,29.318745,29.154500,30.516700,34.129764,34.107872,
MP_R_Yoga_2,blazepose,multi,dim,173,158,0,15,0.913295,2249,407,1040,0.333970,0.138980,0.333970,0.462428,29.829174,29.887100,31.080700,33.653644,33.524227,
MP_T_DudukBerdiri_1,blazepose,multi,bright,148,148,0,0,1.000000,1771,49,1603,0.648399,0.686964,0.648009,0.905138,32.199983,29.970400,45.055700,31.750954,31.055917,
MP_T_DudukBerdiri_2,blazepose,multi,bright,145,122,0,23,0.841379,1697,775,155,0.055633,0.000599,0.056492,0.091338,29.831814,29.820200,30.703700,33.531885,33.521260,
MP_T_Jongkok_1,blazepose,multi,bright,144,144,0,0,1.000000,1728,12,1578,0.811523,0.909387,0.811523,0.913194,34.539393,30.190350,44.789200,29.967386,28.952449,
MP_T_Jongkok_2,blazepose,multi,bright,208,145,63,0,0.697115,1740,264,685,0.216616,0.189612,0.216616,0.393678,33.231572,30.191000,45.366000,30.913350,30.091866,
MP_T_PushUp_1,blazepose,multi,bright,76,76,0,0,1.000000,532,15,505,0.779557,0.779448,0.780368,0.949248,44.106041,43.861900,45.624400,22.701924,22.672631,
MP_T_PushUp_2,blazepose,multi,bright,134,133,0,1,0.992537,1072,221,159,0.074566,0.062480,0.074566,0.148321,36.539363,31.649300,45.197500,28.509386,27.367746,
MP_T_Yoga_1,blazepose,multi,bright,171,171,0,0,1.000000,2223,79,1706,0.615140,0.754812,0.615140,0.767431,43.709532,43.626400,45.425400,22.905297,22.878305,
MP_T_Yoga_2,blazepose,multi,bright,213,210,0,3,0.985915,2769,262,1759,0.547236,0.742995,0.547236,0.635247,30.273190,29.827300,32.217300,33.184776,33.032528,
SP_R_DudukBerdiri_1,blazepose,single,dim,121,121,0,0,1.000000,1452,251,1122,0.473454,0.499239,0.473454,0.772727,29.463929,29.276700,30.557500,33.990449,33.939805,
SP_R_DudukBerdiri_2,blazepose,single,dim,128,113,0,15,0.882812,1536,332,1091,0.526039,0.584653,0.526039,0.710286,31.851715,29.648600,43.914500,32.228433,31.395484,
SP_R_Jongkok_1,blazepose,single,dim,109,109,0,0,1.000000,1308,9,1299,0.852832,0.860132,0.852832,0.993119,29.520434,29.218600,31.097700,33.901697,33.874841,
SP_R_Jongkok_2,blazepose,single,dim,169,169,0,0,1.000000,2028,274,1702,0.586684,0.591134,0.586684,0.839250,29.290057,29.126100,30.712000,34.159476,34.141278,
SP_R_PushUp_1,blazepose,single,dim,85,74,0,11,0.870588,647,127,479,0.432657,0.402457,0.470988,0.740340,30.393047,29.672400,43.118700,33.410224,32.902262,
SP_R_PushUp_2,blazepose,single,dim,130,96,0,34,0.738462,1214,518,559,0.342881,0.454187,0.356353,0.460461,28.924275,29.418850,43.120400,36.806399,34.573036,
SP_R_Yoga_1,blazepose,single,dim,115,115,0,0,1.000000,1487,59,1397,0.781808,0.835942,0.782476,0.939475,36.143750,29.786100,48.101900,29.090646,27.667300,
SP_R_Yoga_2,blazepose,single,dim,175,148,0,27,0.845714,2275,398,1852,0.697760,0.839652,0.697760,0.814066,27.083423,28.955300,30.729800,39.730012,36.922954,
SP_T_DudukBerdiri_1,blazepose,single,bright,122,122,0,0,1.000000,1464,0,1464,0.824344,0.841592,0.824344,1.000000,29.621167,29.293650,31.212000,33.825817,33.759642,
SP_T_DudukBerdiri_2,blazepose,single,bright,134,134,0,0,1.000000,1608,0,1596,0.761753,0.759317,0.761753,0.992537,29.367764,29.144500,31.280800,34.077714,34.050941,
SP_T_Jongkok_1,blazepose,single,bright,124,124,0,0,1.000000,1488,0,1488,0.901847,0.907155,0.901847,1.000000,29.598759,29.284600,31.623000,33.820909,33.785200,
SP_T_Jongkok_2,blazepose,single,bright,145,145,0,0,1.000000,1740,48,1659,0.791071,0.862048,0.791071,0.953448,29.407998,29.241700,30.943200,34.027511,34.004355,
SP_T_PushUp_1,blazepose,single,bright,124,124,0,0,1.000000,998,15,979,0.850056,0.865601,0.851910,0.980962,29.724798,29.364700,31.323700,33.705344,33.641945,
SP_T_PushUp_2,blazepose,single,bright,128,128,0,0,1.000000,1190,186,937,0.580698,0.648880,0.599491,0.787395,29.585347,29.410000,31.023800,33.821753,33.800516,
SP_T_Yoga_1,blazepose,single,bright,121,120,1,0,0.991736,1560,1,1557,0.893795,0.892470,0.893795,0.998077,29.773681,29.168700,31.931100,33.739556,33.586710,
