video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_PushUp_2,efficientpose,0,0.000000,multi,dim,12,8,0,417.470000,222.230000,297.160000,200.630000,59619.210800,1,1,direct,0.577488,8,0,0.264731,0.625000,5,0.200000,27.122800,36.869350,ok,
MP_R_PushUp_2,efficientpose,1,0.039696,multi,dim,12,8,0,418.230000,224.200000,297.270000,198.710000,59070.521700,1,1,direct,0.582487,8,0,0.280741,0.625000,5,0.200000,29.906800,33.437212,ok,
MP_R_PushUp_2,efficientpose,2,0.079392,multi,dim,12,8,0,419.000000,226.170000,297.370000,196.800000,58522.416000,1,1,direct,0.611065,8,0,0.357587,0.875000,7,0.200000,29.769700,33.591202,ok,
MP_R_PushUp_2,efficientpose,3,0.119088,multi,dim,12,8,0,419.760000,228.140000,297.490000,194.880000,57974.851200,1,1,direct,0.660036,8,0,0.449148,0.875000,7,0.200000,29.226300,34.215758,ok,
MP_R_PushUp_2,efficientpose,4,0.158783,multi,dim,12,8,0,420.530000,230.110000,297.590000,192.970000,57425.942300,1,1,direct,0.552902,8,0,0.326319,0.625000,5,0.200000,27.548600,36.299485,ok,
MP_R_PushUp_2,efficientpose,5,0.198479,multi,dim,12,8,0,421.290000,232.070000,297.710000,191.060000,56880.472600,1,1,direct,0.613719,8,0,0.399188,0.875000,7,0.200000,30.630300,32.647411,ok,
MP_R_PushUp_2,efficientpose,6,0.238175,multi,dim,12,8,0,422.060000,236.230000,300.000000,186.960000,56088.000000,1,1,direct,0.643421,8,0,0.441448,1.000000,8,0.200000,31.418900,31.827976,ok,
MP_R_PushUp_2,efficientpose,7,0.277871,multi,dim,12,8,0,422.820000,240.390000,302.300000,182.850000,55275.555000,1,1,direct,0.628030,8,0,0.403682,0.750000,6,0.200000,31.037900,32.218675,ok,
MP_R_PushUp_2,efficientpose,8,0.317567,multi,dim,12,8,0,423.590000,244.540000,304.590000,178.760000,54448.508400,1,1,direct,0.620659,8,0,0.391292,0.875000,7,0.200000,30.751800,32.518422,ok,
MP_R_PushUp_2,efficientpose,9,0.357263,multi,dim,12,8,0,424.360000,248.700000,306.890000,174.650000,53598.338500,1,1,direct,0.634976,8,0,0.375823,1.000000,8,0.200000,31.158400,32.094074,ok,
MP_R_PushUp_2,efficientpose,10,0.396959,multi,dim,12,8,0,425.120000,252.850000,309.190000,170.560000,52735.446400,1,1,direct,0.601616,8,0,0.350271,0.750000,6,0.200000,32.336800,30.924519,ok,
MP_R_PushUp_2,efficientpose,11,0.436654,multi,dim,12,8,0,425.890000,260.400000,311.920000,162.790000,50777.456800,1,1,direct,0.521711,8,0,0.399896,0.750000,6,0.200000,29.486000,33.914400,ok,
