video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_PushUp_1,efficientpose,0,0.000000,multi,bright,12,9,0,291.340000,197.950000,454.520000,252.400000,114720.848000,1,1,direct,0.819082,9,0,0.684349,1.000000,9,0.200000,30.483900,32.804202,ok,
MP_T_PushUp_1,efficientpose,1,0.033009,multi,bright,12,9,0,291.340000,207.220000,456.100000,243.130000,110891.593000,1,1,direct,0.826463,9,0,0.742265,1.000000,9,0.200000,29.005600,34.476101,ok,
MP_T_PushUp_1,efficientpose,2,0.066019,multi,bright,12,9,0,291.340000,216.490000,457.690000,233.860000,107035.383400,1,1,direct,0.821127,9,0,0.719956,1.000000,9,0.200000,29.667600,33.706805,ok,
MP_T_PushUp_1,efficientpose,3,0.099028,multi,bright,12,9,0,291.340000,225.760000,459.280000,224.590000,103149.695200,1,1,direct,0.814253,9,0,0.777141,1.000000,9,0.200000,30.588300,32.692239,ok,
MP_T_PushUp_1,efficientpose,4,0.132038,multi,bright,12,9,0,291.340000,234.720000,460.860000,215.630000,99375.241800,1,1,direct,0.804371,9,0,0.732783,1.000000,9,0.200000,30.740300,32.530587,ok,
MP_T_PushUp_1,efficientpose,5,0.165047,multi,bright,12,9,0,291.340000,242.890000,462.450000,207.460000,95939.877000,1,1,direct,0.793960,9,0,0.794791,1.000000,9,0.200000,31.430000,31.816736,ok,
MP_T_PushUp_1,efficientpose,6,0.198056,multi,bright,12,9,0,291.340000,251.070000,464.030000,199.280000,92471.898400,1,1,direct,0.797336,9,0,0.673749,1.000000,9,0.200000,29.947900,33.391323,ok,
MP_T_PushUp_1,efficientpose,7,0.231066,multi,bright,12,9,0,291.340000,262.950000,468.130000,187.400000,87727.562000,1,1,direct,0.787710,9,0,0.605475,1.000000,9,0.200000,29.801600,33.555245,ok,
MP_T_PushUp_1,efficientpose,8,0.264075,multi,bright,12,9,0,291.340000,272.320000,472.230000,178.030000,84071.106900,1,1,direct,0.773217,9,0,0.501433,1.000000,9,0.200000,30.074500,33.250761,ok,
MP_T_PushUp_1,efficientpose,9,0.297084,multi,bright,12,7,0,291.340000,288.840000,444.970000,161.510000,71867.104700,1,1,direct,0.746906,7,0,0.362318,0.714286,5,0.200000,31.323800,31.924607,ok,
MP_T_PushUp_1,efficientpose,10,0.330094,multi,bright,12,7,0,291.340000,296.130000,444.970000,154.220000,68623.273400,1,1,direct,0.734313,7,0,0.345025,0.714286,5,0.200000,31.320300,31.928174,ok,
MP_T_PushUp_1,efficientpose,11,0.363103,multi,bright,12,7,0,291.340000,302.570000,444.970000,147.780000,65757.666600,1,1,direct,0.711296,7,0,0.393975,0.714286,5,0.200000,30.077000,33.247997,ok,
MP_T_PushUp_1,efficientpose,12,0.396113,multi,bright,12,7,0,291.340000,310.380000,445.010000,139.970000,62288.049700,1,1,direct,0.702208,7,0,0.344062,0.714286,5,0.200000,29.537600,33.855154,ok,
MP_T_PushUp_1,efficientpose,13,0.429122,multi,bright,12,7,0,291.340000,318.190000,449.160000,132.160000,59360.985600,1,1,direct,0.721312,7,0,0.607749,0.857143,6,0.200000,30.010100,33.322115,ok,
MP_T_PushUp_1,efficientpose,14,0.462131,multi,bright,12,7,0,291.340000,326.000000,453.310000,124.350000,56369.098500,1,1,direct,0.709636,7,0,0.521331,0.714286,5,0.200000,31.536400,31.709390,ok,
MP_T_PushUp_1,efficientpose,15,0.495141,multi,bright,12,7,0,291.340000,332.580000,453.310000,117.770000,53386.318700,1,1,direct,0.712737,7,0,0.435801,0.714286,5,0.200000,30.603400,32.676108,ok,
MP_T_PushUp_1,efficientpose,16,0.528150,multi,bright,12,6,0,291.340000,339.170000,453.310000,111.180000,50399.005800,1,1,direct,0.717125,6,0,0.375683,0.833333,5,0.200000,30.263600,33.042996,ok,
MP_T_PushUp_1,efficientpose,17,0.561160,multi,bright,12,6,0,291.340000,345.760000,453.310000,104.590000,47411.692900,1,1,direct,0.720595,6,0,0.392824,0.833333,5,0.200000,29.431600,33.977086,ok,
MP_T_PushUp_1,efficientpose,18,0.594169,multi,bright,12,6,0,291.340000,346.860000,453.120000,103.490000,46893.388800,1,1,direct,0.756234,6,0,0.404142,0.833333,5,0.200000,30.161100,33.155289,ok,
MP_T_PushUp_1,efficientpose,19,0.627178,multi,bright,12,6,0,291.340000,347.960000,452.940000,102.390000,46376.526600,1,1,direct,0.725194,6,0,0.339432,0.833333,5,0.200000,29.944400,33.395226,ok,
MP_T_PushUp_1,efficientpose,20,0.660188,multi,bright,12,6,0,291.340000,349.050000,452.760000,101.300000,45864.588000,1,1,direct,0.740825,6,0,0.229327,0.666667,4,0.200000,28.807600,34.713062,ok,
MP_T_PushUp_1,efficientpose,21,0.693197,multi,bright,12,6,0,291.340000,350.150000,452.570000,100.200000,45347.514000,1,1,direct,0.748516,6,0,0.181856,0.833333,5,0.200000,29.774200,33.586125,ok,
MP_T_PushUp_1,efficientpose,22,0.726206,multi,bright,12,6,0,291.340000,350.010000,452.570000,100.340000,45410.873800,1,1,direct,0.758574,6,0,0.149010,0.500000,3,0.200000,30.662900,32.612701,ok,
MP_T_PushUp_1,efficientpose,23,0.759216,multi,bright,12,6,0,291.340000,349.880000,452.570000,100.470000,45469.707900,1,1,direct,0.761410,6,0,0.150316,0.500000,3,0.200000,31.491600,31.754500,ok,
MP_T_PushUp_1,efficientpose,24,0.792225,multi,bright,12,6,0,291.340000,349.740000,452.570000,100.610000,45533.067700,1,1,direct,0.763283,6,0,0.152535,0.500000,3,0.200000,31.424000,31.822811,ok,
MP_T_PushUp_1,efficientpose,25,0.825235,multi,bright,12,6,0,291.340000,349.600000,452.570000,100.750000,45596.427500,1,1,direct,0.755049,6,0,0.224520,0.666667,4,0.200000,32.677800,30.601815,ok,
MP_T_PushUp_1,efficientpose,26,0.858244,multi,bright,12,6,0,291.340000,349.460000,452.570000,100.890000,45659.787300,1,1,direct,0.763592,6,0,0.325338,0.666667,4,0.200000,31.444400,31.802165,ok,
MP_T_PushUp_1,efficientpose,27,0.891253,multi,bright,12,6,0,291.340000,349.330000,452.570000,101.020000,45718.621400,1,1,direct,0.765292,6,0,0.279141,0.666667,4,0.200000,30.896500,32.366126,ok,
MP_T_PushUp_1,efficientpose,28,0.924263,multi,bright,12,6,0,291.340000,349.190000,452.570000,101.160000,45781.981200,1,1,direct,0.765132,6,0,0.325656,0.666667,4,0.200000,30.345800,32.953489,ok,
MP_T_PushUp_1,efficientpose,29,0.957272,multi,bright,12,6,0,291.340000,349.050000,452.820000,101.300000,45870.666000,1,1,direct,0.765516,6,0,0.391129,0.833333,5,0.200000,30.725500,32.546256,ok,
MP_T_PushUp_1,efficientpose,30,0.990282,multi,bright,12,6,0,291.340000,348.920000,453.060000,101.430000,45953.875800,1,1,direct,0.777638,6,0,0.327951,0.666667,4,0.200000,29.935200,33.405489,ok,
MP_T_PushUp_1,efficientpose,31,1.023291,multi,bright,12,6,0,291.340000,348.780000,453.300000,101.570000,46041.681000,1,1,direct,0.765211,6,0,0.279182,0.666667,4,0.200000,30.554900,32.727975,ok,
MP_T_PushUp_1,efficientpose,32,1.056300,multi,bright,12,6,0,291.340000,348.640000,453.550000,101.710000,46130.570500,1,1,direct,0.765113,6,0,0.230966,0.666667,4,0.200000,30.588100,32.692452,ok,
MP_T_PushUp_1,efficientpose,33,1.089310,multi,bright,12,6,0,291.340000,348.500000,453.790000,101.850000,46218.511500,1,1,direct,0.767613,6,0,0.278351,0.833333,5,0.200000,29.494100,33.905086,ok,
MP_T_PushUp_1,efficientpose,34,1.122319,multi,bright,12,6,0,291.340000,348.370000,454.040000,101.980000,46302.999200,1,1,direct,0.753472,6,0,0.437823,0.833333,5,0.200000,32.020100,31.230383,ok,
MP_T_PushUp_1,efficientpose,35,1.155329,multi,bright,12,6,0,291.340000,348.230000,454.040000,102.120000,46366.564800,1,1,direct,0.761787,6,0,0.393460,0.833333,5,0.200000,30.466800,32.822613,ok,
MP_T_PushUp_1,efficientpose,36,1.188338,multi,bright,12,6,0,291.340000,348.090000,454.040000,102.260000,46430.130400,1,1,direct,0.768387,6,0,0.215746,0.666667,4,0.200000,30.081100,33.243465,ok,
MP_T_PushUp_1,efficientpose,37,1.221347,multi,bright,12,6,0,291.340000,347.950000,454.040000,102.400000,46493.696000,1,1,direct,0.777172,6,0,0.489837,0.833333,5,0.200000,31.451300,31.795188,ok,
MP_T_PushUp_1,efficientpose,38,1.254357,multi,bright,12,6,0,291.340000,347.820000,454.040000,102.530000,46552.721200,1,1,direct,0.772239,6,0,0.335400,0.666667,4,0.200000,28.715400,34.824519,ok,
MP_T_PushUp_1,efficientpose,39,1.287366,multi,bright,12,6,0,291.340000,347.680000,454.040000,102.670000,46616.286800,1,1,direct,0.763849,6,0,0.307930,0.666667,4,0.200000,29.488800,33.911180,ok,
MP_T_PushUp_1,efficientpose,40,1.320375,multi,bright,12,6,0,291.340000,347.540000,454.040000,102.810000,46679.852400,1,1,direct,0.755388,6,0,0.240268,0.666667,4,0.200000,31.651700,31.593880,ok,
MP_T_PushUp_1,efficientpose,41,1.353385,multi,bright,12,6,0,291.340000,347.410000,454.040000,102.940000,46738.877600,1,1,direct,0.758742,6,0,0.272322,0.666667,4,0.200000,30.277900,33.027390,ok,
MP_T_PushUp_1,efficientpose,42,1.386394,multi,bright,12,6,0,291.340000,347.270000,454.040000,103.080000,46802.443200,1,1,direct,0.745081,6,0,0.316132,0.833333,5,0.200000,30.022300,33.308574,ok,
MP_T_PushUp_1,efficientpose,43,1.419404,multi,bright,12,6,0,291.340000,347.130000,454.130000,103.220000,46875.298600,1,1,direct,0.758984,6,0,0.278831,0.666667,4,0.200000,28.742900,34.791201,ok,
MP_T_PushUp_1,efficientpose,44,1.452413,multi,bright,12,6,0,291.340000,346.990000,454.220000,103.360000,46948.179200,1,1,direct,0.765979,6,0,0.194245,0.666667,4,0.200000,29.856600,33.493432,ok,
MP_T_PushUp_1,efficientpose,45,1.485422,multi,bright,12,6,0,291.340000,346.860000,454.310000,103.490000,47016.541900,1,1,direct,0.764934,6,0,0.141409,0.500000,3,0.200000,30.263600,33.042996,ok,
MP_T_PushUp_1,efficientpose,46,1.518432,multi,bright,12,6,0,291.340000,346.720000,454.400000,103.630000,47089.472000,1,1,direct,0.778570,6,0,0.153336,0.666667,4,0.200000,31.593100,31.652481,ok,
MP_T_PushUp_1,efficientpose,47,1.551441,multi,bright,12,6,0,291.340000,346.580000,454.490000,103.770000,47162.427300,1,1,direct,0.771346,6,0,0.173682,0.666667,4,0.200000,28.280500,35.360054,ok,
MP_T_PushUp_1,efficientpose,48,1.584451,multi,bright,12,6,0,291.340000,346.440000,454.580000,103.910000,47235.407800,1,1,direct,0.785390,6,0,0.275527,0.666667,4,0.200000,28.233800,35.418541,ok,
MP_T_PushUp_1,efficientpose,49,1.617460,multi,bright,12,6,0,291.340000,346.310000,454.680000,104.040000,47304.907200,1,1,direct,0.777375,6,0,0.109656,0.333333,2,0.200000,30.911500,32.350420,ok,
MP_T_PushUp_1,efficientpose,50,1.650469,multi,bright,12,6,0,291.340000,346.170000,454.770000,104.180000,47377.938600,1,1,direct,0.772534,6,0,0.226622,0.500000,3,0.200000,30.291900,33.012125,ok,
MP_T_PushUp_1,efficientpose,51,1.683479,multi,bright,12,6,0,291.340000,346.030000,455.740000,104.320000,47542.796800,1,1,direct,0.756716,6,0,0.260416,0.666667,4,0.200000,27.800700,35.970317,ok,
MP_T_PushUp_1,efficientpose,52,1.716488,multi,bright,12,6,0,291.340000,345.900000,456.720000,104.450000,47704.404000,1,1,direct,0.735109,6,0,0.155364,0.500000,3,0.200000,28.951400,34.540644,ok,
MP_T_PushUp_1,efficientpose,53,1.749497,multi,bright,12,6,0,291.340000,345.760000,457.690000,104.590000,47869.797100,1,1,direct,0.736948,6,0,0.361463,0.833333,5,0.200000,29.699400,33.670714,ok,
MP_T_PushUp_1,efficientpose,54,1.782507,multi,bright,12,6,0,291.340000,341.180000,457.330000,109.170000,49926.716100,1,1,direct,0.725512,6,0,0.372055,0.833333,5,0.200000,28.185800,35.478858,ok,
MP_T_PushUp_1,efficientpose,55,1.815516,multi,bright,12,6,0,291.340000,336.610000,456.960000,113.740000,51974.630400,1,1,direct,0.722984,6,0,0.387381,0.833333,5,0.200000,29.878100,33.469330,ok,
MP_T_PushUp_1,efficientpose,56,1.848526,multi,bright,12,6,0,291.340000,332.030000,456.600000,118.320000,54024.912000,1,1,direct,0.712591,6,0,0.551777,0.833333,5,0.200000,28.617100,34.944142,ok,
MP_T_PushUp_1,efficientpose,57,1.881535,multi,bright,12,7,0,291.340000,320.600000,456.230000,129.750000,59195.842500,1,1,direct,0.728127,7,0,0.296701,0.714286,5,0.200000,28.648100,34.906329,ok,
MP_T_PushUp_1,efficientpose,58,1.914544,multi,bright,12,7,0,291.340000,310.720000,455.860000,139.630000,63651.731800,1,1,direct,0.688689,7,0,0.267123,0.857143,6,0.200000,29.659400,33.716124,ok,
MP_T_PushUp_1,efficientpose,59,1.947554,multi,bright,12,7,0,291.340000,300.840000,455.500000,149.510000,68101.805000,1,1,direct,0.734608,7,0,0.376387,0.714286,5,0.200000,32.444400,30.821960,ok,
MP_T_PushUp_1,efficientpose,60,1.980563,multi,bright,12,7,0,291.340000,290.960000,455.130000,159.390000,72543.170700,1,1,direct,0.729237,7,0,0.541753,1.000000,7,0.200000,30.536900,32.747266,ok,
MP_T_PushUp_1,efficientpose,61,2.013573,multi,bright,12,7,0,291.340000,281.070000,454.770000,169.280000,76983.465600,1,1,direct,0.715932,7,0,0.649547,1.000000,7,0.200000,27.930100,35.803667,ok,
MP_T_PushUp_1,efficientpose,62,2.046582,multi,bright,12,7,0,291.340000,275.590000,452.200000,174.760000,79026.472000,1,1,direct,0.704740,7,0,0.557301,1.000000,7,0.200000,26.546400,37.669891,ok,
