video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_DudukBerdiri_2,efficientpose,0,0.000000,single,dim,12,12,0,500.880000,305.540000,108.200000,313.960000,33970.472000,1,1,direct,0.302268,12,0,0.000000,0.000000,0,0.200000,29.575700,33.811541,ok,
SP_R_DudukBerdiri_2,efficientpose,1,0.033210,single,dim,12,12,0,501.510000,305.540000,107.570000,313.960000,33772.677200,1,1,direct,0.317514,12,0,0.000000,0.000000,0,0.200000,29.627800,33.752084,ok,
SP_R_DudukBerdiri_2,efficientpose,2,0.066420,single,dim,12,12,0,502.150000,305.540000,106.930000,313.960000,33571.742800,1,1,direct,0.307945,12,0,0.000000,0.000000,0,0.200000,28.361300,35.259315,ok,
SP_R_DudukBerdiri_2,efficientpose,3,0.099631,single,dim,12,12,0,502.780000,305.540000,106.300000,313.960000,33373.948000,1,1,direct,0.322825,12,0,0.000000,0.000000,0,0.200000,29.984800,33.350231,ok,
SP_R_DudukBerdiri_2,efficientpose,4,0.132841,single,dim,12,12,0,503.410000,305.540000,105.670000,313.960000,33176.153200,1,1,direct,0.322762,12,0,0.000000,0.000000,0,0.200000,30.618000,32.660526,ok,
SP_R_DudukBerdiri_2,efficientpose,5,0.166051,single,dim,12,12,0,504.040000,305.540000,105.040000,313.960000,32978.358400,1,1,direct,0.321845,12,0,0.000000,0.000000,0,0.200000,32.298500,30.961190,ok,
SP_R_DudukBerdiri_2,efficientpose,6,0.199261,single,dim,12,12,0,504.040000,305.540000,105.040000,313.960000,32978.358400,1,1,direct,0.323345,12,0,0.000000,0.000000,0,0.200000,29.797500,33.559862,ok,
SP_R_DudukBerdiri_2,efficientpose,7,0.232472,single,dim,12,12,0,504.040000,305.540000,105.040000,313.960000,32978.358400,1,1,direct,0.310103,12,0,0.000000,0.000000,0,0.200000,30.108000,33.213764,ok,
SP_R_DudukBerdiri_2,efficientpose,8,0.265682,single,dim,12,12,0,504.040000,305.540000,105.040000,313.960000,32978.358400,1,1,direct,0.283019,12,0,0.000000,0.000000,0,0.200000,30.702200,32.570956,ok,
SP_R_DudukBerdiri_2,efficientpose,9,0.298892,single,dim,12,12,0,504.040000,305.540000,105.040000,313.960000,32978.358400,1,1,direct,0.275440,12,0,0.000000,0.000000,0,0.200000,30.440800,32.850648,ok,
SP_R_DudukBerdiri_2,efficientpose,10,0.332102,single,dim,12,12,0,504.040000,305.540000,105.040000,313.960000,32978.358400,1,1,direct,0.282128,12,0,0.000000,0.000000,0,0.200000,29.893500,33.452088,ok,
SP_R_DudukBerdiri_2,efficientpose,11,0.365312,single,dim,12,12,0,504.200000,305.540000,105.210000,313.880000,33023.314800,1,1,direct,0.295032,12,0,0.000000,0.000000,0,0.200000,30.147700,33.170026,ok,
SP_R_DudukBerdiri_2,efficientpose,12,0.398523,single,dim,12,12,0,504.360000,305.510000,105.380000,313.840000,33072.459200,1,1,direct,0.276924,12,0,0.000085,0.000000,0,0.200000,31.004000,32.253903,ok,
SP_R_DudukBerdiri_2,efficientpose,13,0.431733,single,dim,12,12,0,504.520000,305.200000,105.540000,314.070000,33146.947800,1,1,direct,0.271870,12,0,0.000000,0.000000,0,0.200000,31.201500,32.049741,ok,
SP_R_DudukBerdiri_2,efficientpose,14,0.464943,single,dim,12,12,0,504.670000,304.880000,105.720000,314.310000,33228.853200,1,1,direct,0.272643,12,0,0.000000,0.000000,0,0.200000,30.022800,33.308019,ok,
