video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_T_Yoga_2,efficientpose,0,0.000000,single,bright,13,13,0,583.910000,222.320000,125.460000,421.160000,52838.733600,1,1,direct,0.393525,13,0,0.380361,0.769231,10,0.200000,32.893100,30.401513,ok,
SP_T_Yoga_2,efficientpose,1,0.033254,single,bright,13,13,0,584.130000,222.430000,125.460000,421.160000,52838.733600,1,1,direct,0.437323,13,0,0.294135,0.692308,9,0.200000,30.434700,32.857232,ok,
SP_T_Yoga_2,efficientpose,2,0.066509,single,bright,13,13,0,584.340000,222.530000,125.460000,421.170000,52839.988200,1,1,direct,0.476865,13,0,0.370431,0.769231,10,0.200000,30.735900,32.535244,ok,
SP_T_Yoga_2,efficientpose,3,0.099763,single,bright,13,13,0,584.560000,222.640000,125.460000,421.170000,52839.988200,1,1,direct,0.503063,13,0,0.351665,0.769231,10,0.200000,30.905300,32.356910,ok,
SP_T_Yoga_2,efficientpose,4,0.133018,single,bright,13,13,0,584.780000,222.750000,125.460000,421.160000,52838.733600,1,1,direct,0.561161,13,0,0.426845,0.769231,10,0.200000,31.493500,31.752584,ok,
SP_T_Yoga_2,efficientpose,5,0.166272,single,bright,13,13,0,585.000000,222.860000,125.460000,421.160000,52838.733600,1,1,direct,0.481259,13,0,0.435196,0.769231,10,0.200000,31.929800,31.318705,ok,
SP_T_Yoga_2,efficientpose,6,0.199526,single,bright,13,13,0,584.110000,222.590000,131.390000,420.610000,55263.947900,1,1,direct,0.407163,13,0,0.367679,0.769231,10,0.200000,30.477000,32.811628,ok,
SP_T_Yoga_2,efficientpose,7,0.232781,single,bright,13,13,0,582.020000,222.320000,138.520000,420.520000,58250.430400,1,1,direct,0.485114,13,0,0.397273,0.692308,9,0.200000,29.111900,34.350214,ok,
SP_T_Yoga_2,efficientpose,8,0.266035,single,bright,13,13,0,579.920000,222.040000,145.660000,420.800000,61293.728000,1,1,direct,0.447879,13,0,0.441309,0.769231,10,0.200000,32.376400,30.886695,ok,
SP_T_Yoga_2,efficientpose,9,0.299289,single,bright,13,13,0,577.820000,221.770000,152.800000,421.070000,64339.496000,1,1,direct,0.432590,13,0,0.438772,0.846154,11,0.200000,32.640100,30.637161,ok,
SP_T_Yoga_2,efficientpose,10,0.332544,single,bright,13,13,0,575.730000,221.500000,159.940000,421.340000,67389.119600,1,1,direct,0.501023,13,0,0.441072,1.000000,13,0.200000,32.126900,31.126564,ok,
SP_T_Yoga_2,efficientpose,11,0.365798,single,bright,13,13,0,573.630000,221.220000,167.080000,421.620000,70444.269600,1,1,direct,0.530325,13,0,0.473481,0.846154,11,0.200000,32.941700,30.356660,ok,
SP_T_Yoga_2,efficientpose,12,0.399053,single,bright,13,13,0,567.410000,221.580000,180.780000,421.260000,76155.382800,1,1,direct,0.502716,13,0,0.594379,0.846154,11,0.200000,30.667000,32.608341,ok,
SP_T_Yoga_2,efficientpose,13,0.432307,single,bright,13,13,0,561.190000,221.930000,194.490000,420.910000,81862.785900,1,1,direct,0.602194,13,0,0.672743,1.000000,13,0.200000,28.984400,34.501318,ok,
SP_T_Yoga_2,efficientpose,14,0.465561,single,bright,13,13,0,554.970000,222.280000,208.190000,420.560000,87556.386400,1,1,direct,0.519563,13,0,0.574400,1.000000,13,0.200000,32.786900,30.499986,ok,
SP_T_Yoga_2,efficientpose,15,0.498816,single,bright,13,13,0,548.750000,222.640000,221.900000,420.200000,93242.380000,1,1,direct,0.579524,13,0,0.732907,1.000000,13,0.200000,33.929700,29.472704,ok,
SP_T_Yoga_2,efficientpose,16,0.532070,single,bright,13,13,0,542.530000,222.990000,235.610000,419.850000,98920.858500,1,1,direct,0.529516,13,0,0.687775,1.000000,13,0.200000,32.781700,30.504824,ok,
SP_T_Yoga_2,efficientpose,17,0.565325,single,bright,13,13,0,536.310000,223.340000,249.310000,419.500000,104585.545000,1,1,direct,0.639135,13,0,0.694796,1.000000,13,0.200000,32.781000,30.505476,ok,
SP_T_Yoga_2,efficientpose,18,0.598579,single,bright,13,13,0,528.510000,223.810000,266.810000,419.030000,111801.394300,1,1,direct,0.661297,13,0,0.806092,1.000000,13,0.200000,33.608100,29.754732,ok,
SP_T_Yoga_2,efficientpose,19,0.631833,single,bright,13,13,0,520.700000,224.290000,284.320000,418.550000,119002.136000,1,1,direct,0.671545,13,0,0.831080,1.000000,13,0.200000,30.630600,32.647091,ok,
SP_T_Yoga_2,efficientpose,20,0.665088,single,bright,13,13,0,512.900000,224.760000,301.820000,418.080000,126184.905600,1,1,direct,0.748293,13,0,0.838337,1.000000,13,0.200000,31.723500,31.522373,ok,
SP_T_Yoga_2,efficientpose,21,0.698342,single,bright,13,13,0,506.690000,224.700000,315.590000,418.140000,131960.802600,1,1,direct,0.793330,13,0,0.814317,1.000000,13,0.200000,33.227100,30.095916,ok,
SP_T_Yoga_2,efficientpose,22,0.731596,single,bright,13,13,0,500.490000,224.640000,329.350000,418.200000,137734.170000,1,1,direct,0.836044,13,0,0.745464,1.000000,13,0.200000,31.803900,31.442685,ok,
SP_T_Yoga_2,efficientpose,23,0.764851,single,bright,13,13,0,494.280000,224.580000,343.130000,418.260000,143517.553800,1,1,direct,0.845388,13,0,0.763387,1.000000,13,0.200000,33.431200,29.912178,ok,
SP_T_Yoga_2,efficientpose,24,0.798105,single,bright,13,13,0,488.070000,224.520000,356.900000,418.320000,149298.408000,1,1,direct,0.856934,13,0,0.752154,1.000000,13,0.200000,30.920100,32.341422,ok,
SP_T_Yoga_2,efficientpose,25,0.831360,single,bright,13,13,0,481.860000,224.450000,370.670000,418.390000,155084.621300,1,1,direct,0.827413,13,0,0.753333,1.000000,13,0.200000,29.765600,33.595829,ok,
SP_T_Yoga_2,efficientpose,26,0.864614,single,bright,13,13,0,482.360000,224.370000,369.790000,418.470000,154746.021300,1,1,direct,0.803575,13,0,0.670139,1.000000,13,0.200000,31.126400,32.127069,ok,
SP_T_Yoga_2,efficientpose,27,0.897868,single,bright,13,13,0,482.850000,224.290000,368.920000,418.550000,154411.466000,1,1,direct,0.711799,13,0,0.682125,0.923077,12,0.200000,31.045500,32.210787,ok,
SP_T_Yoga_2,efficientpose,28,0.931123,single,bright,13,13,0,483.340000,224.210000,368.050000,418.630000,154076.771500,1,1,direct,0.708291,13,0,0.632546,0.923077,12,0.200000,32.084700,31.167504,ok,
SP_T_Yoga_2,efficientpose,29,0.964377,single,bright,13,13,0,483.840000,224.130000,367.170000,418.710000,153737.750700,1,1,direct,0.757151,13,0,0.715096,0.923077,12,0.200000,30.201600,33.110829,ok,
SP_T_Yoga_2,efficientpose,30,0.997632,single,bright,13,13,0,484.330000,224.050000,366.300000,418.790000,153402.777000,1,1,direct,0.750948,13,0,0.773093,1.000000,13,0.200000,32.009200,31.241018,ok,
SP_T_Yoga_2,efficientpose,31,1.030886,single,bright,13,13,0,489.270000,224.050000,357.060000,418.790000,149533.157400,1,1,direct,0.811985,13,0,0.792181,0.923077,12,0.200000,32.255500,31.002465,ok,
SP_T_Yoga_2,efficientpose,32,1.064140,single,bright,13,13,0,494.200000,215.840000,347.830000,427.000000,148523.410000,1,1,direct,0.766765,13,0,0.636766,0.923077,12,0.200000,32.297800,30.961861,ok,
SP_T_Yoga_2,efficientpose,33,1.097395,single,bright,13,13,0,499.140000,204.360000,338.580000,438.480000,148460.558400,1,1,direct,0.657650,13,0,0.604239,0.923077,12,0.200000,30.476700,32.811951,ok,
SP_T_Yoga_2,efficientpose,34,1.130649,single,bright,13,13,0,504.070000,191.960000,329.350000,450.880000,148497.328000,1,1,direct,0.733478,13,0,0.625417,1.000000,13,0.200000,27.053100,36.964341,ok,
SP_T_Yoga_2,efficientpose,35,1.163903,single,bright,13,13,0,509.000000,179.560000,320.120000,463.280000,148305.193600,1,1,direct,0.748184,13,0,0.579278,0.923077,12,0.200000,28.615700,34.945851,ok,
SP_T_Yoga_2,efficientpose,36,1.197158,single,bright,13,13,0,517.990000,172.730000,303.540000,470.110000,142697.189400,1,1,direct,0.704266,13,0,0.580454,1.000000,13,0.200000,32.506300,30.763267,ok,
SP_T_Yoga_2,efficientpose,37,1.230412,single,bright,13,13,0,526.970000,165.900000,286.970000,476.940000,136867.471800,1,1,direct,0.694161,13,0,0.592593,1.000000,13,0.200000,32.526700,30.743973,ok,
SP_T_Yoga_2,efficientpose,38,1.263667,single,bright,13,13,0,535.950000,159.070000,270.400000,483.770000,130811.408000,1,1,direct,0.729795,13,0,0.597564,0.923077,12,0.200000,32.005600,31.244532,ok,
SP_T_Yoga_2,efficientpose,39,1.296921,single,bright,13,13,0,544.940000,152.230000,253.820000,490.610000,124526.630200,1,1,direct,0.590724,13,0,0.546705,0.923077,12,0.200000,32.419000,30.846109,ok,
SP_T_Yoga_2,efficientpose,40,1.330175,single,bright,13,13,0,553.920000,145.400000,237.240000,497.440000,118012.665600,1,1,direct,0.653249,13,0,0.598278,0.923077,12,0.200000,30.993100,32.265246,ok,
SP_T_Yoga_2,efficientpose,41,1.363430,single,bright,13,13,0,554.270000,141.050000,228.200000,501.790000,114508.478000,1,1,direct,0.606145,13,0,0.527958,0.923077,12,0.200000,30.152800,33.164416,ok,
SP_T_Yoga_2,efficientpose,42,1.396684,single,bright,13,13,0,554.410000,136.710000,219.360000,506.130000,111024.676800,1,1,direct,0.581591,13,0,0.442718,0.923077,12,0.200000,31.657000,31.588590,ok,
SP_T_Yoga_2,efficientpose,43,1.429938,single,bright,13,13,0,554.560000,132.360000,210.520000,510.480000,107466.249600,1,1,direct,0.666438,13,0,0.465699,0.923077,12,0.200000,29.118900,34.341957,ok,
SP_T_Yoga_2,efficientpose,44,1.463193,single,bright,13,13,0,554.700000,128.010000,201.690000,514.830000,103836.062700,1,1,direct,0.669956,13,0,0.517656,0.923077,12,0.200000,30.485400,32.802587,ok,
SP_T_Yoga_2,efficientpose,45,1.496447,single,bright,13,13,0,554.850000,123.670000,192.840000,519.170000,100116.742800,1,1,direct,0.672257,13,0,0.380548,0.923077,12,0.200000,31.076400,32.178759,ok,
SP_T_Yoga_2,efficientpose,46,1.529702,single,bright,13,13,0,555.230000,123.480000,184.430000,519.360000,95785.564800,1,1,direct,0.506716,13,0,0.365775,0.692308,9,0.200000,30.018300,33.313012,ok,
SP_T_Yoga_2,efficientpose,47,1.562956,single,bright,13,13,0,555.610000,123.290000,176.010000,519.550000,91445.995500,1,1,direct,0.565232,13,0,0.337146,0.769231,10,0.200000,27.688300,36.116338,ok,
SP_T_Yoga_2,efficientpose,48,1.596210,single,bright,13,13,0,555.990000,123.100000,171.450000,519.740000,89109.423000,1,1,direct,0.559642,13,0,0.363797,0.846154,11,0.200000,28.068100,35.627634,ok,
SP_T_Yoga_2,efficientpose,49,1.629465,single,bright,13,13,0,556.360000,122.910000,168.440000,519.930000,87577.009200,1,1,direct,0.506427,13,0,0.296030,0.769231,10,0.200000,30.473300,32.815612,ok,
SP_T_Yoga_2,efficientpose,50,1.662719,single,bright,13,13,0,556.740000,122.720000,165.410000,520.120000,86033.049200,1,1,direct,0.408128,13,0,0.287396,0.692308,9,0.200000,31.940000,31.308704,ok,
SP_T_Yoga_2,efficientpose,51,1.695974,single,bright,13,13,0,557.120000,124.230000,164.650000,518.610000,85389.136500,1,1,direct,0.351015,13,0,0.312277,0.769231,10,0.200000,33.092200,30.218601,ok,
