video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,efficientpose,multi,dim,121,121,0,0,1.000000,1283,0,558,0.164101,0.164870,0.164251,0.434918,29.608215,29.942000,31.955200,34.016937,33.774410,
MP_R_DudukBerdiri_2,efficientpose,multi,dim,150,150,0,0,1.000000,1538,0,163,0.038625,0.017132,0.039901,0.105982,28.577032,29.145850,30.991100,35.160727,34.993137,
MP_R_Jongkok_1,efficientpose,multi,dim,126,126,0,0,1.000000,1512,0,726,0.225729,0.211249,0.225729,0.480159,29.205660,29.336100,31.152300,34.322938,34.239939,
MP_R_Jongkok_2,efficientpose,multi,dim,139,139,0,0,1.000000,1668,0,594,0.145903,0.151329,0.145903,0.356115,29.835840,29.859000,31.652100,33.574850,33.516737,
MP_R_PushUp_1,efficientpose,multi,dim,77,77,0,0,1.000000,557,0,330,0.241415,0.188730,0.265249,0.592460,30.025370,29.951100,31.433500,33.340228,33.305168,
MP_R_PushUp_2,efficientpose,multi,dim,91,91,0,0,1.000000,728,0,353,0.219036,0.193499,0.219036,0.484890,30.262964,30.348000,31.992800,33.114923,33.043690,
MP_R_Yoga_1,efficientpose,multi,dim,182,182,0,0,1.000000,2361,0,683,0.114546,0.114434,0.114491,0.289284,30.059489,30.114500,31.819300,33.327528,33.267365,
MP_R_Yoga_2,efficientpose,multi,dim,173,173,0,0,1.000000,2249,0,717,0.129373,0.100001,0.129373,0.318808,29.723064,29.930900,31.499800,33.715276,33.643907,
MP_T_DudukBerdiri_1,efficientpose,multi,bright,148,148,0,0,1.000000,1771,0,1157,0.311770,0.329356,0.311555,0.653303,30.020045,30.063900,31.646000,33.348731,33.311076,
MP_T_DudukBerdiri_2,efficientpose,multi,bright,145,145,0,0,1.000000,1697,0,396,0.107516,0.090054,0.106970,0.233353,30.148086,30.277100,31.822700,33.227435,33.169602,
MP_T_Jongkok_1,efficientpose,multi,bright,144,144,0,0,1.000000,1728,0,1068,0.319050,0.385529,0.319050,0.618056,30.007001,30.131800,31.596700,33.361607,33.325556,
MP_T_Jongkok_2,efficientpose,multi,bright,208,145,63,0,0.697115,1740,0,170,0.041984,0.000002,0.041984,0.097701,30.231538,30.307100,31.788600,33.118128,33.078039,
MP_T_PushUp_1,efficientpose,multi,bright,76,76,0,0,1.000000,532,0,438,0.418769,0.376035,0.448069,0.823308,29.998067,30.079050,31.651700,33.388384,33.335481,
MP_T_PushUp_2,efficientpose,multi,bright,134,134,0,0,1.000000,1072,0,708,0.347335,0.377978,0.347335,0.660448,29.564347,29.578800,31.502200,33.887277,33.824525,
MP_T_Yoga_1,efficientpose,multi,bright,171,171,0,0,1.000000,2223,0,1279,0.283758,0.229240,0.283758,0.575349,29.664068,29.673200,31.541300,33.791227,33.710818,
MP_T_Yoga_2,efficientpose,multi,bright,213,213,0,0,1.000000,2769,0,812,0.151624,0.068939,0.151624,0.293247,29.392261,29.372000,31.428600,34.099885,34.022561,
SP_R_DudukBerdiri_1,efficientpose,single,dim,121,121,0,0,1.000000,1452,0,652,0.151280,0.144109,0.151280,0.449036,30.389487,30.436700,31.955000,32.945246,32.906117,
SP_R_DudukBerdiri_2,efficientpose,single,dim,128,128,0,0,1.000000,1536,0,367,0.099483,0.102324,0.099483,0.238932,30.117087,30.385850,31.456100,33.250946,33.203743,
SP_R_Jongkok_1,efficientpose,single,dim,109,109,0,0,1.000000,1308,0,592,0.178830,0.206942,0.178830,0.452599,30.054851,30.104200,31.526800,33.311291,33.272499,
SP_R_Jongkok_2,efficientpose,single,dim,169,169,0,0,1.000000,2028,0,602,0.122573,0.101459,0.122573,0.296844,30.928767,31.018500,32.480600,32.370445,32.332359,
SP_R_PushUp_1,efficientpose,single,dim,85,85,0,0,1.000000,647,0,470,0.261719,0.226599,0.274745,0.726430,30.119473,30.314400,31.906100,33.264292,33.201112,
SP_R_PushUp_2,efficientpose,single,dim,130,130,0,0,1.000000,1214,0,907,0.416323,0.453156,0.439060,0.747117,30.829788,30.963500,32.212600,32.474249,32.436162,
SP_R_Yoga_1,efficientpose,single,dim,115,115,0,0,1.000000,1487,0,275,0.059192,0.050940,0.059038,0.184936,30.230846,30.273400,31.832600,33.126851,33.078796,
SP_R_Yoga_2,efficientpose,single,dim,175,175,0,0,1.000000,2275,0,838,0.136721,0.124036,0.136721,0.368352,30.123526,30.219800,31.651000,33.242317,33.196645,
SP_T_DudukBerdiri_1,efficientpose,single,bright,122,122,0,0,1.000000,1464,0,1163,0.424911,0.407972,0.424911,0.794399,31.171207,31.171800,32.837000,32.111466,32.080888,
SP_T_DudukBerdiri_2,efficientpose,single,bright,134,134,0,0,1.000000,1608,0,952,0.271752,0.280839,0.271752,0.592040,30.237010,30.384450,31.809900,33.117789,33.072053,
SP_T_Jongkok_1,efficientpose,single,bright,124,124,0,0,1.000000,1488,0,1324,0.495428,0.501914,0.495428,0.889785,29.608126,29.569850,31.432500,33.821349,33.774512,
SP_T_Jongkok_2,efficientpose,single,bright,145,145,0,0,1.000000,1740,0,963,0.237093,0.240746,0.237093,0.553448,29.203450,29.349500,31.392000,34.347413,34.242530,
SP_T_PushUp_1,efficientpose,single,bright,124,124,0,0,1.000000,998,0,964,0.536634,0.620453,0.560182,0.965932,29.574336,29.607750,31.528900,33.877440,33.813100,
SP_T_PushUp_2,efficientpose,single,bright,128,128,0,0,1.000000,1190,0,955,0.486304,0.501891,0.485263,0.802521,29.213236,29.131700,32.207900,34.341887,34.231059,
SP_T_Yoga_1,efficientpose,single,bright,121,120,1,0,0.991736,1560,0,462,0.098857,0.074208,0.098857,0.296154,30.980696,31.137700,33.015500,32.349634,32.278165,
SP_T_Yoga_2,efficientpose,single,bright,226,226,0,0,1.000000,2938,0,2425,0.427764,0.350304,0.427764,0.825391,31.279758,31.543400,33.431200,32.042248,31.969557,
