video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_R_Jongkok_2,hrnet,0,0.000000,multi,dim,12,12,0,619.240000,277.780000,103.290000,372.000000,38423.880000,3,1,gt_bbox_iou,0.683143,12,0,0.791770,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,1,0.040453,multi,dim,12,12,0,619.240000,277.650000,103.290000,372.130000,38437.307700,3,1,gt_bbox_iou,0.693563,12,0,0.841080,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,2,0.080907,multi,dim,12,12,0,619.240000,277.520000,103.290000,372.260000,38450.735400,3,1,gt_bbox_iou,0.693814,12,0,0.839691,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,3,0.121360,multi,dim,12,12,0,619.240000,277.390000,103.290000,372.390000,38464.163100,3,1,gt_bbox_iou,0.705887,12,0,0.816606,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,4,0.161814,multi,dim,12,12,0,619.240000,277.250000,103.290000,372.530000,38478.623700,3,1,gt_bbox_iou,0.709927,12,0,0.843785,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,5,0.202267,multi,dim,12,12,0,619.240000,277.120000,103.290000,372.660000,38492.051400,3,1,gt_bbox_iou,0.709563,12,0,0.827533,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,6,0.242720,multi,dim,12,12,0,619.240000,276.990000,103.290000,372.790000,38505.479100,3,1,gt_bbox_iou,0.704963,12,0,0.764191,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,7,0.283174,multi,dim,12,12,0,619.240000,276.860000,103.290000,372.920000,38518.906800,3,1,gt_bbox_iou,0.703012,12,0,0.771207,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,8,0.323627,multi,dim,12,12,0,619.240000,276.730000,103.290000,373.050000,38532.334500,3,1,gt_bbox_iou,0.693217,12,0,0.803820,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,9,0.364081,multi,dim,12,12,0,617.480000,277.330000,104.960000,372.450000,39092.352000,3,1,gt_bbox_iou,0.688454,12,0,0.827147,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,10,0.404534,multi,dim,12,12,0,615.730000,277.920000,106.700000,371.860000,39677.462000,3,1,gt_bbox_iou,0.684092,12,0,0.783995,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,11,0.444987,multi,dim,12,12,0,613.970000,278.520000,108.440000,371.260000,40259.434400,3,1,gt_bbox_iou,0.682524,12,0,0.731391,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,12,0.485441,multi,dim,12,12,0,612.210000,279.110000,110.190000,370.670000,40844.127300,3,1,gt_bbox_iou,0.693656,12,0,0.806822,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,13,0.525894,multi,dim,12,12,0,610.460000,279.700000,111.930000,370.080000,41423.054400,3,1,gt_bbox_iou,0.693324,12,0,0.840156,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,14,0.566348,multi,dim,12,12,0,604.230000,280.300000,118.150000,369.480000,43654.062000,3,1,gt_bbox_iou,0.673393,12,0,0.779910,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,15,0.606801,multi,dim,12,12,0,598.010000,280.890000,124.360000,368.890000,45875.160400,3,1,gt_bbox_iou,0.668696,12,0,0.762030,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,16,0.647254,multi,dim,12,12,0,591.790000,281.490000,130.570000,368.290000,48087.625300,3,1,gt_bbox_iou,0.649075,12,0,0.745789,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,17,0.687708,multi,dim,12,12,0,585.570000,282.080000,136.780000,367.700000,50294.006000,3,1,gt_bbox_iou,0.661012,12,0,0.667393,0.916667,11,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,18,0.728161,multi,dim,12,12,0,579.350000,282.680000,143.700000,367.100000,52752.270000,3,1,gt_bbox_iou,0.626689,12,0,0.736335,0.916667,11,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,19,0.768615,multi,dim,12,12,0,573.130000,283.270000,151.380000,366.510000,55482.283800,3,1,gt_bbox_iou,0.541596,12,0,0.704230,0.916667,11,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,20,0.809068,multi,dim,12,12,0,563.790000,288.270000,162.850000,361.510000,58871.903500,3,1,gt_bbox_iou,0.567018,12,0,0.662549,0.916667,11,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,21,0.849521,multi,dim,12,12,0,554.460000,293.270000,174.310000,356.510000,62143.258100,3,1,gt_bbox_iou,0.515245,12,0,0.701501,0.916667,11,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,22,0.889975,multi,dim,12,12,0,545.130000,298.270000,185.760000,351.510000,65296.497600,3,1,gt_bbox_iou,0.498654,12,0,0.708294,0.833333,10,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,23,0.930428,multi,dim,12,12,0,535.800000,303.270000,197.220000,346.510000,68338.702200,3,1,gt_bbox_iou,0.477211,12,0,0.686729,0.833333,10,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,24,0.970882,multi,dim,12,12,0,535.990000,308.830000,198.050000,340.950000,67525.147500,3,1,gt_bbox_iou,0.461122,12,0,0.669033,0.833333,10,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,25,1.011335,multi,dim,12,12,0,536.190000,314.380000,198.860000,335.400000,66697.644000,2,1,gt_bbox_iou,0.439837,12,0,0.776778,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,26,1.051788,multi,dim,12,12,0,536.390000,319.930000,199.680000,329.850000,65864.448000,2,1,gt_bbox_iou,0.497193,12,0,0.753107,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,27,1.092242,multi,dim,12,12,0,536.590000,325.490000,200.500000,324.290000,65020.145000,2,1,gt_bbox_iou,0.515595,12,0,0.746815,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,28,1.132695,multi,dim,12,12,0,536.790000,331.040000,201.310000,318.740000,64165.549400,2,1,gt_bbox_iou,0.512469,12,0,0.726958,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,29,1.173149,multi,dim,12,12,0,535.590000,336.400000,203.820000,313.400000,63877.188000,2,1,gt_bbox_iou,0.525018,12,0,0.750673,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,30,1.213602,multi,dim,12,12,0,534.390000,341.750000,206.340000,308.060000,63565.100400,2,1,gt_bbox_iou,0.556645,12,0,0.784547,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,31,1.254055,multi,dim,12,12,0,533.190000,347.100000,208.850000,302.720000,63223.072000,2,1,gt_bbox_iou,0.569959,12,0,0.713852,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,32,1.294509,multi,dim,12,12,0,531.990000,352.450000,211.360000,297.380000,62854.236800,2,1,gt_bbox_iou,0.611655,12,0,0.715742,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,33,1.334962,multi,dim,12,12,0,530.790000,357.800000,213.870000,292.050000,62460.733500,2,1,gt_bbox_iou,0.596481,12,0,0.708883,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,34,1.375416,multi,dim,12,12,0,531.340000,362.530000,213.230000,287.330000,61267.375900,2,1,gt_bbox_iou,0.572772,12,0,0.729504,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,35,1.415869,multi,dim,12,12,0,531.880000,367.250000,212.590000,282.620000,60082.185800,2,1,gt_bbox_iou,0.579056,12,0,0.766818,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,36,1.456322,multi,dim,12,12,0,532.430000,371.980000,211.950000,277.900000,58900.905000,2,1,gt_bbox_iou,0.584710,12,0,0.790625,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,37,1.496776,multi,dim,12,12,0,532.980000,376.700000,211.300000,273.200000,57727.160000,2,1,gt_bbox_iou,0.589027,12,0,0.747578,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,38,1.537229,multi,dim,12,12,0,533.520000,381.430000,210.670000,268.480000,56560.681600,3,1,gt_bbox_iou,0.618469,12,0,0.831013,1.000000,12,0.200000,365.069606,2.739204,ok,
MP_R_Jongkok_2,hrnet,39,1.577682,multi,dim,12,12,0,533.780000,384.940000,210.490000,264.980000,55775.640200,3,1,gt_bbox_iou,0.643466,12,0,0.729844,1.000000,12,0.200000,365.069606,2.739204,ok,
