video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
MP_R_DudukBerdiri_1,hrnet,multi,dim,121,121,0,0,1.000000,1283,0,1199,0.677330,0.735347,0.677785,0.934528,369.992888,369.992888,369.992888,2.702755,2.702755,
MP_R_DudukBerdiri_2,hrnet,multi,dim,150,150,0,0,1.000000,1538,0,1049,0.544943,0.700835,0.533154,0.682055,376.093981,376.093981,376.093981,2.658910,2.658910,
MP_R_Jongkok_1,hrnet,multi,dim,126,126,0,0,1.000000,1512,0,1500,0.871240,0.869244,0.871240,0.992063,340.171231,340.171231,340.171231,2.939696,2.939696,
MP_R_Jongkok_2,hrnet,multi,dim,139,139,0,0,1.000000,1668,0,1618,0.788107,0.812613,0.788107,0.970024,365.069606,365.069606,365.069606,2.739204,2.739204,
MP_R_PushUp_1,hrnet,multi,dim,77,77,0,0,1.000000,557,0,488,0.533549,0.520023,0.546897,0.876122,361.568756,361.568756,361.568756,2.765726,2.765726,
MP_R_PushUp_2,hrnet,multi,dim,91,91,0,0,1.000000,728,0,472,0.451021,0.435317,0.451021,0.648352,379.527634,379.527634,379.527634,2.634854,2.634854,
MP_R_Yoga_1,hrnet,multi,dim,182,182,0,0,1.000000,2361,0,2183,0.787387,0.803714,0.787288,0.924608,367.665514,367.665514,367.665514,2.719863,2.719863,
MP_R_Yoga_2,hrnet,multi,dim,173,173,0,0,1.000000,2249,0,2041,0.820139,0.889470,0.820139,0.907514,370.979251,370.979251,370.979251,2.695569,2.695569,
MP_T_DudukBerdiri_1,hrnet,multi,bright,148,148,0,0,1.000000,1771,0,1771,0.848998,0.843196,0.848801,1.000000,399.948099,399.948099,399.948099,2.500324,2.500324,
MP_T_DudukBerdiri_2,hrnet,multi,bright,145,145,0,0,1.000000,1697,0,1690,0.783135,0.790833,0.782871,0.995875,418.763226,418.763226,418.763226,2.387984,2.387984,
MP_T_Jongkok_1,hrnet,multi,bright,144,144,0,0,1.000000,1728,0,1728,0.942718,0.940664,0.942718,1.000000,374.117757,374.117757,374.117757,2.672955,2.672955,
MP_T_Jongkok_2,hrnet,multi,bright,208,145,63,0,0.697115,1740,0,946,0.239829,0.216626,0.239829,0.543678,429.745270,429.745270,429.745270,2.326960,2.326960,
MP_T_PushUp_1,hrnet,multi,bright,76,76,0,0,1.000000,532,0,532,0.845825,0.848960,0.845987,1.000000,437.109241,437.109241,437.109241,2.287758,2.287758,
MP_T_PushUp_2,hrnet,multi,bright,134,134,0,0,1.000000,1072,0,1031,0.801823,0.814172,0.801823,0.961754,427.552107,427.552107,427.552107,2.338896,2.338896,
MP_T_Yoga_1,hrnet,multi,bright,171,171,0,0,1.000000,2223,0,2223,0.919623,0.917840,0.919623,1.000000,431.234007,431.234007,431.234007,2.318927,2.318927,
MP_T_Yoga_2,hrnet,multi,bright,213,213,0,0,1.000000,2769,0,2759,0.933448,0.943201,0.933448,0.996389,426.570039,426.570039,426.570039,2.344281,2.344281,
