video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_DudukBerdiri_1,movenet,0,0.000000,multi,bright,12,11,0,523.050000,299.590000,191.910000,315.650000,60576.391500,1,1,direct,0.485112,11,0,0.461050,0.909091,10,0.200000,105.559800,9.473303,ok,
MP_T_DudukBerdiri_1,movenet,1,0.033244,multi,bright,12,11,0,527.750000,293.580000,185.160000,321.590000,59545.604400,1,1,direct,0.467150,11,0,0.515601,0.909091,10,0.200000,109.882900,9.100597,ok,
MP_T_DudukBerdiri_1,movenet,2,0.066487,multi,bright,12,11,0,532.450000,287.580000,178.410000,327.510000,58431.059100,1,1,direct,0.425291,11,0,0.558974,0.909091,10,0.200000,114.991100,8.696325,ok,
MP_T_DudukBerdiri_1,movenet,3,0.099731,multi,bright,12,11,0,537.150000,281.580000,171.660000,333.440000,57238.310400,1,1,direct,0.451912,11,0,0.524140,0.909091,10,0.200000,116.229600,8.603660,ok,
MP_T_DudukBerdiri_1,movenet,4,0.132975,multi,bright,12,11,0,541.850000,275.580000,164.910000,339.370000,55965.506700,1,1,direct,0.464914,11,0,0.449440,0.909091,10,0.200000,122.896000,8.136961,ok,
MP_T_DudukBerdiri_1,movenet,5,0.166218,multi,bright,12,12,0,546.550000,269.580000,158.640000,345.300000,54778.392000,1,1,direct,0.473191,12,0,0.320028,0.916667,11,0.200000,121.038800,8.261814,ok,
MP_T_DudukBerdiri_1,movenet,6,0.199462,multi,bright,12,12,0,548.780000,259.420000,153.240000,355.380000,54458.431200,1,1,direct,0.445742,12,1,0.253811,0.750000,9,0.200000,116.159100,8.608882,ok,
MP_T_DudukBerdiri_1,movenet,7,0.232706,multi,bright,12,12,0,549.360000,249.270000,149.490000,365.460000,54632.615400,1,1,direct,0.462344,12,0,0.351535,0.833333,10,0.200000,119.067500,8.398597,ok,
MP_T_DudukBerdiri_1,movenet,8,0.265950,multi,bright,12,12,0,549.950000,239.110000,145.980000,375.550000,54822.789000,1,1,direct,0.331453,12,4,0.297165,0.666667,8,0.200000,120.229200,8.317447,ok,
MP_T_DudukBerdiri_1,movenet,9,0.299193,multi,bright,12,12,0,550.530000,228.960000,142.470000,385.620000,54939.281400,1,1,direct,0.345503,12,3,0.317855,0.750000,9,0.200000,129.253500,7.736734,ok,
MP_T_DudukBerdiri_1,movenet,10,0.332437,multi,bright,12,12,0,551.120000,218.800000,138.950000,395.710000,54983.904500,1,1,direct,0.347005,12,3,0.287625,0.583333,7,0.200000,119.213000,8.388347,ok,
MP_T_DudukBerdiri_1,movenet,11,0.365681,multi,bright,12,12,0,557.000000,210.460000,130.610000,404.050000,52772.970500,1,1,direct,0.372999,12,2,0.243554,0.583333,7,0.200000,120.997400,8.264640,ok,
