video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
MP_T_PushUp_2,movenet,0,0.000000,multi,bright,12,8,0,418.500000,223.260000,312.190000,203.890000,63652.419100,1,1,direct,0.246896,8,5,0.018037,0.000000,0,0.200000,111.428700,8.974349,ok,
MP_T_PushUp_2,movenet,1,0.033312,multi,bright,12,8,0,418.500000,223.260000,312.190000,203.890000,63652.419100,1,1,direct,0.280041,8,4,0.137196,0.125000,1,0.200000,122.735400,8.147609,ok,
MP_T_PushUp_2,movenet,2,0.066624,multi,bright,12,8,0,418.500000,223.260000,312.190000,203.890000,63652.419100,1,1,direct,0.292182,8,4,0.059883,0.250000,2,0.200000,125.778800,7.950465,ok,
MP_T_PushUp_2,movenet,3,0.099936,multi,bright,12,8,0,418.500000,223.260000,312.190000,203.890000,63652.419100,1,1,direct,0.256453,8,5,0.051183,0.250000,2,0.200000,125.095600,7.993886,ok,
MP_T_PushUp_2,movenet,4,0.133248,multi,bright,12,8,0,418.500000,223.260000,312.190000,203.890000,63652.419100,1,1,direct,0.298702,8,4,0.083430,0.250000,2,0.200000,126.486300,7.905995,ok,
MP_T_PushUp_2,movenet,5,0.166560,multi,bright,12,8,0,418.500000,223.260000,312.190000,203.890000,63652.419100,1,1,direct,0.306748,8,3,0.077845,0.250000,2,0.200000,125.763000,7.951464,ok,
MP_T_PushUp_2,movenet,6,0.199872,multi,bright,12,8,0,418.880000,223.770000,311.620000,203.630000,63455.180600,1,1,direct,0.284610,8,5,0.012166,0.000000,0,0.200000,124.935800,8.004111,ok,
MP_T_PushUp_2,movenet,7,0.233184,multi,bright,12,8,0,419.260000,224.280000,311.050000,203.380000,63261.349000,1,1,direct,0.245604,8,5,0.006465,0.000000,0,0.200000,125.561900,7.964199,ok,
MP_T_PushUp_2,movenet,8,0.266496,multi,bright,12,8,0,419.640000,224.780000,310.480000,203.130000,63067.802400,1,1,direct,0.262559,8,3,0.054504,0.125000,1,0.200000,132.074700,7.571473,ok,
MP_T_PushUp_2,movenet,9,0.299807,multi,bright,12,8,0,420.020000,225.290000,311.280000,202.870000,63149.373600,1,1,direct,0.271061,8,5,0.038455,0.125000,1,0.200000,132.468400,7.548970,ok,
MP_T_PushUp_2,movenet,10,0.333119,multi,bright,12,8,0,420.400000,225.790000,312.420000,202.620000,63302.540400,1,1,direct,0.255546,8,6,0.010589,0.000000,0,0.200000,130.750700,7.648143,ok,
MP_T_PushUp_2,movenet,11,0.366431,multi,bright,12,8,0,420.780000,230.100000,313.810000,198.570000,62313.251700,1,1,direct,0.265004,8,5,0.033963,0.125000,1,0.200000,130.043800,7.689717,ok,
MP_T_PushUp_2,movenet,12,0.399743,multi,bright,12,8,0,421.160000,234.400000,315.200000,194.520000,61312.704000,1,1,direct,0.269950,8,5,0.036957,0.125000,1,0.200000,126.627800,7.897160,ok,
MP_T_PushUp_2,movenet,13,0.433055,multi,bright,12,8,0,421.540000,238.700000,316.590000,190.470000,60300.897300,1,1,direct,0.257970,8,5,0.155549,0.375000,3,0.200000,126.792800,7.886883,ok,
MP_T_PushUp_2,movenet,14,0.466367,multi,bright,12,8,0,421.920000,243.000000,317.980000,186.430000,59281.011400,1,1,direct,0.250036,8,5,0.057982,0.125000,1,0.200000,126.736100,7.890412,ok,
MP_T_PushUp_2,movenet,15,0.499679,multi,bright,12,8,0,422.300000,247.300000,319.370000,182.380000,58246.700600,1,1,direct,0.235110,8,5,0.125908,0.250000,2,0.200000,123.887600,8.071833,ok,
MP_T_PushUp_2,movenet,16,0.532991,multi,bright,12,8,0,422.680000,253.250000,322.920000,176.430000,56972.775600,1,1,direct,0.278388,8,5,0.083583,0.125000,1,0.200000,123.693800,8.084480,ok,
MP_T_PushUp_2,movenet,17,0.566303,multi,bright,12,8,0,423.060000,259.200000,326.460000,170.480000,55654.900800,1,1,direct,0.257169,8,5,0.069455,0.125000,1,0.200000,124.792900,8.013276,ok,
MP_T_PushUp_2,movenet,18,0.599615,multi,bright,12,8,0,423.440000,265.140000,330.000000,164.540000,54298.200000,1,1,direct,0.258599,8,5,0.000000,0.000000,0,0.200000,125.358400,7.977128,ok,
MP_T_PushUp_2,movenet,19,0.632927,multi,bright,12,8,0,423.820000,271.090000,333.540000,158.590000,52896.108600,1,1,direct,0.255866,8,3,0.001207,0.000000,0,0.200000,123.519800,8.095868,ok,
