video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_Jongkok_1,movenet,0,0.000000,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.421402,12,2,0.369242,0.666667,8,0.200000,123.055500,8.126415,ok,
SP_R_Jongkok_1,movenet,1,0.040454,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.405783,12,2,0.372309,0.666667,8,0.200000,130.997500,7.633733,ok,
SP_R_Jongkok_1,movenet,2,0.080907,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.384462,12,2,0.547026,0.833333,10,0.200000,124.921600,8.005021,ok,
SP_R_Jongkok_1,movenet,3,0.121361,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.381284,12,2,0.546484,0.833333,10,0.200000,128.338500,7.791894,ok,
SP_R_Jongkok_1,movenet,4,0.161815,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.388131,12,2,0.524248,0.833333,10,0.200000,132.723300,7.534472,ok,
SP_R_Jongkok_1,movenet,5,0.202269,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.378024,12,2,0.433567,0.833333,10,0.200000,130.313700,7.673790,ok,
SP_R_Jongkok_1,movenet,6,0.242722,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.378625,12,2,0.442526,0.833333,10,0.200000,128.516500,7.781102,ok,
SP_R_Jongkok_1,movenet,7,0.283176,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.358553,12,2,0.417657,0.833333,10,0.200000,128.846400,7.761179,ok,
SP_R_Jongkok_1,movenet,8,0.323630,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.358290,12,2,0.447590,0.833333,10,0.200000,136.232700,7.340382,ok,
SP_R_Jongkok_1,movenet,9,0.364083,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.358464,12,2,0.388731,0.833333,10,0.200000,134.451800,7.437610,ok,
SP_R_Jongkok_1,movenet,10,0.404537,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.376678,12,2,0.389263,0.833333,10,0.200000,130.476100,7.664239,ok,
SP_R_Jongkok_1,movenet,11,0.444991,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.374695,12,2,0.419666,0.833333,10,0.200000,130.563100,7.659132,ok,
SP_R_Jongkok_1,movenet,12,0.485445,single,dim,12,12,0,600.070000,248.720000,117.140000,401.720000,47057.480800,1,1,direct,0.367783,12,2,0.449287,0.833333,10,0.200000,127.550100,7.840057,ok,
SP_R_Jongkok_1,movenet,13,0.525898,single,dim,12,12,0,598.740000,250.100000,115.970000,399.880000,46374.083600,1,1,direct,0.374039,12,2,0.454919,0.833333,10,0.200000,125.874400,7.944427,ok,
SP_R_Jongkok_1,movenet,14,0.566352,single,dim,12,12,0,596.860000,251.480000,115.340000,398.030000,45908.780200,1,1,direct,0.380123,12,1,0.331294,0.916667,11,0.200000,127.739300,7.828444,ok,
SP_R_Jongkok_1,movenet,15,0.606806,single,dim,12,12,0,594.940000,252.870000,116.480000,396.180000,46147.046400,1,1,direct,0.384847,12,1,0.291647,0.916667,11,0.200000,125.315100,7.979884,ok,
SP_R_Jongkok_1,movenet,16,0.647260,single,dim,12,12,0,593.020000,254.250000,118.400000,394.340000,46689.856000,1,1,direct,0.382140,12,1,0.269979,0.916667,11,0.200000,125.738400,7.953020,ok,
SP_R_Jongkok_1,movenet,17,0.687713,single,dim,12,12,0,591.110000,255.630000,120.310000,393.090000,47292.657900,1,1,direct,0.329488,12,2,0.238152,0.583333,7,0.200000,126.177900,7.925318,ok,
SP_R_Jongkok_1,movenet,18,0.728167,single,dim,12,12,0,581.020000,257.020000,130.400000,392.800000,51221.120000,1,1,direct,0.335354,12,2,0.297191,0.583333,7,0.200000,123.902900,8.070836,ok,
SP_R_Jongkok_1,movenet,19,0.768621,single,dim,12,12,0,570.940000,258.400000,140.480000,392.530000,55142.614400,1,1,direct,0.395166,12,2,0.445136,0.750000,9,0.200000,125.569200,7.963736,ok,
SP_R_Jongkok_1,movenet,20,0.809074,single,dim,12,12,0,560.850000,259.780000,150.570000,392.260000,59062.588200,1,1,direct,0.492143,12,0,0.472281,1.000000,12,0.200000,124.493000,8.032580,ok,
SP_R_Jongkok_1,movenet,21,0.849528,single,dim,12,12,0,554.510000,267.750000,156.910000,384.420000,60319.342200,1,1,direct,0.436449,12,1,0.401986,0.833333,10,0.200000,126.202700,7.923761,ok,
SP_R_Jongkok_1,movenet,22,0.889982,single,dim,12,12,0,548.160000,275.720000,163.260000,376.580000,61480.450800,1,1,direct,0.418768,12,1,0.384915,0.750000,9,0.200000,125.163300,7.989562,ok,
SP_R_Jongkok_1,movenet,23,0.930436,single,dim,12,12,0,541.820000,283.690000,169.600000,368.740000,62538.304000,1,1,direct,0.391404,12,0,0.370995,0.666667,8,0.200000,127.013100,7.873204,ok,
SP_R_Jongkok_1,movenet,24,0.970889,single,dim,12,12,0,535.470000,291.660000,175.950000,360.910000,63502.114500,1,1,direct,0.365824,12,1,0.375551,0.583333,7,0.200000,126.404700,7.911098,ok,
SP_R_Jongkok_1,movenet,25,1.011343,single,dim,12,12,0,529.130000,299.630000,182.290000,353.070000,64361.130300,1,1,direct,0.323778,12,2,0.302374,0.666667,8,0.200000,124.806100,8.012429,ok,
SP_R_Jongkok_1,movenet,26,1.051797,single,dim,12,12,0,526.620000,306.710000,184.800000,346.120000,63962.976000,1,1,direct,0.380651,12,0,0.325426,0.750000,9,0.200000,123.910500,8.070341,ok,
SP_R_Jongkok_1,movenet,27,1.092250,single,dim,12,12,0,524.110000,313.790000,187.310000,339.170000,63529.932700,1,1,direct,0.394823,12,0,0.480384,1.000000,12,0.200000,123.037900,8.127577,ok,
SP_R_Jongkok_1,movenet,28,1.132704,single,dim,12,12,0,521.600000,320.880000,189.820000,332.220000,63062.000400,1,1,direct,0.403486,12,1,0.455607,0.833333,10,0.200000,124.002100,8.064380,ok,
SP_R_Jongkok_1,movenet,29,1.173158,single,dim,12,12,0,519.090000,327.960000,192.330000,325.270000,62559.179100,1,1,direct,0.458288,12,0,0.605123,0.916667,11,0.200000,124.108000,8.057498,ok,
SP_R_Jongkok_1,movenet,30,1.213612,single,dim,12,12,0,516.580000,335.040000,194.840000,318.320000,62021.468800,1,1,direct,0.406190,12,0,0.465157,1.000000,12,0.200000,123.183900,8.117944,ok,
SP_R_Jongkok_1,movenet,31,1.254065,single,dim,12,12,0,514.370000,341.740000,197.050000,311.750000,61430.337500,1,1,direct,0.376478,12,1,0.297911,0.666667,8,0.200000,127.466500,7.845199,ok,
SP_R_Jongkok_1,movenet,32,1.294519,single,dim,12,12,0,512.150000,348.430000,199.270000,305.200000,60817.204000,1,1,direct,0.390623,12,2,0.251028,0.666667,8,0.200000,124.507500,8.031645,ok,
SP_R_Jongkok_1,movenet,33,1.334973,single,dim,12,12,0,509.940000,355.120000,201.480000,298.640000,60169.987200,1,1,direct,0.353664,12,2,0.413259,0.666667,8,0.200000,125.402700,7.974310,ok,
