video_name,algorithm,frame_idx,timestamp_sec,scene_person_mode,lighting_mode,active_kpt_count,gt_labeled_count,gt_occluded_count,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h,gt_area,pred_person_count,matched_pred_found,match_method,matched_pred_score,n_eval_kpt,n_missing_pred_kpt,oks,pck,pck_correct_count,pck_alpha,latency_ms,fps_inst,status,notes
SP_R_PushUp_2,movenet,0,0.000000,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.243652,11,7,0.211068,0.363636,4,0.200000,117.818800,8.487610,ok,
SP_R_PushUp_2,movenet,1,0.040454,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.239200,11,6,0.203441,0.363636,4,0.200000,125.974700,7.938102,ok,
SP_R_PushUp_2,movenet,2,0.080908,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.232740,11,5,0.230931,0.454545,5,0.200000,124.689400,8.019928,ok,
SP_R_PushUp_2,movenet,3,0.121362,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.223360,11,6,0.293698,0.454545,5,0.200000,128.749100,7.767045,ok,
SP_R_PushUp_2,movenet,4,0.161816,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.218508,11,5,0.300245,0.454545,5,0.200000,135.114300,7.401141,ok,
SP_R_PushUp_2,movenet,5,0.202270,single,dim,12,11,0,398.090000,218.400000,345.070000,198.900000,68634.423000,1,1,direct,0.189865,11,5,0.063076,0.090909,1,0.200000,130.040200,7.689930,ok,
SP_R_PushUp_2,movenet,6,0.242724,single,dim,12,11,0,397.800000,220.820000,347.160000,196.700000,68286.372000,1,1,direct,0.182996,11,6,0.169739,0.272727,3,0.200000,129.387600,7.728716,ok,
SP_R_PushUp_2,movenet,7,0.283178,single,dim,12,11,0,397.520000,223.240000,349.230000,194.500000,67925.235000,1,1,direct,0.173255,11,7,0.142453,0.181818,2,0.200000,128.283700,7.795223,ok,
SP_R_PushUp_2,movenet,8,0.323632,single,dim,12,11,0,397.240000,225.660000,351.310000,192.300000,67556.913000,1,1,direct,0.198724,11,6,0.136908,0.181818,2,0.200000,133.476700,7.491944,ok,
SP_R_PushUp_2,movenet,9,0.364086,single,dim,12,11,0,396.950000,228.080000,353.390000,190.100000,67179.439000,1,1,direct,0.169106,11,7,0.146434,0.181818,2,0.200000,135.226200,7.395017,ok,
SP_R_PushUp_2,movenet,10,0.404540,single,dim,12,11,0,396.670000,230.500000,355.470000,187.900000,66792.813000,1,1,direct,0.169030,11,9,0.052892,0.090909,1,0.200000,130.367900,7.670600,ok,
SP_R_PushUp_2,movenet,11,0.444994,single,dim,12,11,0,397.830000,231.710000,354.310000,186.930000,66231.168300,1,1,direct,0.205502,11,7,0.163243,0.272727,3,0.200000,129.252500,7.736794,ok,
SP_R_PushUp_2,movenet,12,0.485448,single,dim,12,11,0,398.980000,231.710000,353.160000,187.170000,66100.957200,1,1,direct,0.186914,11,7,0.141552,0.181818,2,0.200000,127.029900,7.872162,ok,
SP_R_PushUp_2,movenet,13,0.525902,single,dim,12,10,0,400.130000,239.970000,332.840000,179.150000,59628.286000,1,1,direct,0.229419,10,5,0.187006,0.300000,3,0.200000,126.700400,7.892635,ok,
SP_R_PushUp_2,movenet,14,0.566356,single,dim,12,10,0,401.290000,243.130000,333.870000,176.230000,58837.910100,1,1,direct,0.172160,10,7,0.066505,0.100000,1,0.200000,127.270900,7.857256,ok,
SP_R_PushUp_2,movenet,15,0.606810,single,dim,12,10,0,402.440000,246.290000,334.910000,173.310000,58043.252100,1,1,direct,0.180152,10,6,0.005878,0.000000,0,0.200000,126.387900,7.912150,ok,
SP_R_PushUp_2,movenet,16,0.647264,single,dim,12,10,0,403.600000,249.450000,335.930000,170.390000,57239.112700,1,1,direct,0.188617,10,5,0.101992,0.100000,1,0.200000,124.355600,8.041455,ok,
SP_R_PushUp_2,movenet,17,0.687718,single,dim,12,10,0,404.750000,252.610000,336.970000,167.470000,56432.365900,1,1,direct,0.209738,10,6,0.104607,0.100000,1,0.200000,127.020400,7.872751,ok,
SP_R_PushUp_2,movenet,18,0.728172,single,dim,12,10,0,405.910000,255.770000,338.000000,164.550000,55617.900000,1,1,direct,0.212189,10,7,0.047529,0.100000,1,0.200000,125.808100,7.948614,ok,
SP_R_PushUp_2,movenet,19,0.768626,single,dim,12,10,0,407.060000,258.930000,339.040000,161.620000,54795.644800,1,1,direct,0.210708,10,5,0.010059,0.000000,0,0.200000,125.239300,7.984714,ok,
SP_R_PushUp_2,movenet,20,0.809080,single,dim,12,10,0,410.890000,266.950000,339.400000,153.840000,52213.296000,1,1,direct,0.190695,10,6,0.150787,0.200000,2,0.200000,125.440400,7.971913,ok,
SP_R_PushUp_2,movenet,21,0.849534,single,dim,12,10,0,414.720000,272.090000,339.760000,148.940000,50603.854400,1,1,direct,0.233559,10,6,0.089260,0.200000,2,0.200000,123.766600,8.079724,ok,
SP_R_PushUp_2,movenet,22,0.889988,single,dim,12,10,0,418.540000,269.900000,340.130000,151.370000,51485.478100,1,1,direct,0.193742,10,7,0.053188,0.100000,1,0.200000,126.618200,7.897759,ok,
SP_R_PushUp_2,movenet,23,0.930442,single,dim,12,10,0,421.410000,268.810000,340.950000,152.700000,52063.065000,1,1,direct,0.156843,10,7,0.040450,0.100000,1,0.200000,124.959900,8.002567,ok,
SP_R_PushUp_2,movenet,24,0.970896,single,dim,12,10,0,424.280000,267.710000,341.770000,154.040000,52646.250800,1,1,direct,0.159412,10,7,0.111905,0.200000,2,0.200000,124.593400,8.026107,ok,
SP_R_PushUp_2,movenet,25,1.011350,single,dim,12,10,0,427.150000,266.620000,342.590000,155.370000,53228.208300,1,1,direct,0.133888,10,9,0.000000,0.000000,0,0.200000,123.677800,8.085525,ok,
SP_R_PushUp_2,movenet,26,1.051804,single,dim,12,9,0,430.020000,265.520000,343.410000,156.710000,53815.781100,1,1,direct,0.141882,9,7,0.083745,0.111111,1,0.200000,123.604300,8.090333,ok,
SP_R_PushUp_2,movenet,27,1.092258,single,dim,12,9,0,431.670000,264.870000,343.080000,157.360000,53987.068800,1,1,direct,0.154871,9,6,0.112318,0.222222,2,0.200000,124.439300,8.036046,ok,
SP_R_PushUp_2,movenet,28,1.132712,single,dim,12,9,0,433.310000,264.210000,342.750000,158.020000,54161.355000,1,1,direct,0.129557,9,6,0.062224,0.111111,1,0.200000,124.619100,8.024452,ok,
SP_R_PushUp_2,movenet,29,1.173166,single,dim,12,8,0,434.950000,263.560000,342.420000,158.670000,54331.781400,1,1,direct,0.136290,8,6,0.065183,0.125000,1,0.200000,122.971000,8.131999,ok,
SP_R_PushUp_2,movenet,30,1.213621,single,dim,12,8,0,436.590000,262.900000,342.090000,159.330000,54505.199700,1,1,direct,0.164773,8,4,0.175662,0.250000,2,0.200000,122.549300,8.159981,ok,
SP_R_PushUp_2,movenet,31,1.254075,single,dim,12,8,0,438.230000,262.240000,341.760000,159.990000,54678.182400,1,1,direct,0.136484,8,5,0.065130,0.125000,1,0.200000,124.246300,8.048529,ok,
SP_R_PushUp_2,movenet,32,1.294529,single,dim,12,8,0,438.550000,262.240000,341.880000,159.990000,54697.381200,1,1,direct,0.145291,8,4,0.041331,0.125000,1,0.200000,125.227000,7.985498,ok,
SP_R_PushUp_2,movenet,33,1.334983,single,dim,12,8,0,438.860000,262.240000,342.010000,159.990000,54718.179900,1,1,direct,0.207521,8,4,0.129030,0.375000,3,0.200000,123.246600,8.113814,ok,
SP_R_PushUp_2,movenet,34,1.375437,single,dim,12,8,0,439.180000,262.240000,342.130000,159.990000,54737.378700,1,1,direct,0.144560,8,5,0.067827,0.125000,1,0.200000,124.852300,8.009464,ok,
SP_R_PushUp_2,movenet,35,1.415891,single,dim,12,8,0,439.500000,262.240000,342.240000,159.990000,54754.977600,1,1,direct,0.169566,8,6,0.082102,0.125000,1,0.200000,123.780700,8.078804,ok,
SP_R_PushUp_2,movenet,36,1.456345,single,dim,12,8,0,439.820000,262.240000,342.360000,159.990000,54774.176400,1,1,direct,0.162403,8,5,0.187959,0.375000,3,0.200000,123.228200,8.115026,ok,
SP_R_PushUp_2,movenet,37,1.496799,single,dim,12,8,0,440.140000,262.240000,341.880000,159.990000,54697.381200,1,1,direct,0.148667,8,5,0.094198,0.250000,2,0.200000,125.188500,7.987954,ok,
SP_R_PushUp_2,movenet,38,1.537253,single,dim,12,8,0,440.460000,262.240000,341.410000,159.990000,54622.185900,1,1,direct,0.137228,8,5,0.078773,0.250000,2,0.200000,124.844700,8.009952,ok,
SP_R_PushUp_2,movenet,39,1.577707,single,dim,12,8,0,440.780000,262.240000,340.930000,159.990000,54545.390700,1,1,direct,0.122461,8,6,0.079589,0.125000,1,0.200000,124.584500,8.026681,ok,
SP_R_PushUp_2,movenet,40,1.618161,single,dim,12,8,0,441.100000,262.240000,340.460000,159.990000,54470.195400,1,1,direct,0.138281,8,4,0.115237,0.250000,2,0.200000,124.067300,8.060142,ok,
SP_R_PushUp_2,movenet,41,1.658615,single,dim,12,8,0,441.420000,262.240000,339.980000,159.990000,54393.400200,1,1,direct,0.134398,8,4,0.124081,0.250000,2,0.200000,123.590800,8.091217,ok,
SP_R_PushUp_2,movenet,42,1.699069,single,dim,12,8,0,441.740000,262.240000,339.500000,159.990000,54316.605000,1,1,direct,0.145565,8,4,0.131329,0.375000,3,0.200000,123.649100,8.087402,ok,
SP_R_PushUp_2,movenet,43,1.739523,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.181139,8,4,0.114989,0.375000,3,0.200000,124.965300,8.002221,ok,
SP_R_PushUp_2,movenet,44,1.779977,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.161442,8,4,0.090799,0.250000,2,0.200000,123.680200,8.085369,ok,
SP_R_PushUp_2,movenet,45,1.820431,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.117772,8,5,0.071851,0.125000,1,0.200000,123.512100,8.096373,ok,
SP_R_PushUp_2,movenet,46,1.860885,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.140247,8,5,0.092030,0.125000,1,0.200000,125.975400,7.938058,ok,
SP_R_PushUp_2,movenet,47,1.901339,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.094576,8,7,0.000000,0.000000,0,0.200000,124.125900,8.056336,ok,
SP_R_PushUp_2,movenet,48,1.941793,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.071918,8,8,0.000000,0.000000,0,0.200000,123.931900,8.068948,ok,
SP_R_PushUp_2,movenet,49,1.982247,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.105252,8,6,0.091439,0.125000,1,0.200000,124.215200,8.050545,ok,
SP_R_PushUp_2,movenet,50,2.022701,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.155886,8,5,0.130863,0.250000,2,0.200000,125.753300,7.952078,ok,
SP_R_PushUp_2,movenet,51,2.063155,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.144494,8,5,0.119646,0.250000,2,0.200000,125.517500,7.967017,ok,
SP_R_PushUp_2,movenet,52,2.103609,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.131155,8,6,0.113038,0.250000,2,0.200000,125.239100,7.984727,ok,
SP_R_PushUp_2,movenet,53,2.144063,single,dim,12,8,0,442.050000,262.240000,339.040000,159.990000,54243.009600,1,1,direct,0.118628,8,5,0.105784,0.250000,2,0.200000,122.993500,8.130511,ok,
SP_R_PushUp_2,movenet,54,2.184517,single,dim,12,8,0,441.590000,262.240000,339.220000,159.990000,54271.807800,1,1,direct,0.099272,8,6,0.063958,0.125000,1,0.200000,123.846500,8.074512,ok,
SP_R_PushUp_2,movenet,55,2.224971,single,dim,12,8,0,441.130000,262.240000,339.410000,159.990000,54302.205900,1,1,direct,0.108315,8,6,0.087310,0.125000,1,0.200000,126.294400,7.918007,ok,
SP_R_PushUp_2,movenet,56,2.265425,single,dim,12,8,0,440.670000,262.240000,339.600000,159.990000,54332.604000,1,1,direct,0.103082,8,7,0.000000,0.000000,0,0.200000,127.818700,7.823581,ok,
SP_R_PushUp_2,movenet,57,2.305879,single,dim,12,8,0,440.210000,262.240000,339.780000,159.990000,54361.402200,1,1,direct,0.108367,8,6,0.072754,0.125000,1,0.200000,127.002100,7.873886,ok,
SP_R_PushUp_2,movenet,58,2.346333,single,dim,12,8,0,439.750000,262.740000,340.180000,159.490000,54255.308200,1,1,direct,0.108209,8,6,0.095233,0.125000,1,0.200000,126.667100,7.894710,ok,
SP_R_PushUp_2,movenet,59,2.386787,single,dim,12,8,0,439.290000,263.240000,340.580000,158.990000,54148.814200,1,1,direct,0.086903,8,7,0.000000,0.000000,0,0.200000,126.816400,7.885415,ok,
SP_R_PushUp_2,movenet,60,2.427241,single,dim,12,8,0,438.830000,263.730000,340.980000,158.500000,54045.330000,1,1,direct,0.133816,8,6,0.098471,0.125000,1,0.200000,128.057900,7.808968,ok,
SP_R_PushUp_2,movenet,61,2.467695,single,dim,12,8,0,438.370000,264.230000,341.380000,158.000000,53938.040000,1,1,direct,0.154617,8,3,0.141607,0.250000,2,0.200000,126.297900,7.917788,ok,
SP_R_PushUp_2,movenet,62,2.508149,single,dim,12,8,0,437.910000,264.720000,341.780000,157.510000,53833.767800,1,1,direct,0.103488,8,5,0.098051,0.125000,1,0.200000,123.188000,8.117674,ok,
SP_R_PushUp_2,movenet,63,2.548603,single,dim,12,8,0,437.450000,265.220000,342.180000,157.010000,53725.681800,1,1,direct,0.124785,8,6,0.102419,0.125000,1,0.200000,124.729300,8.017362,ok,
SP_R_PushUp_2,movenet,64,2.589057,single,dim,12,8,0,436.990000,265.710000,342.580000,156.520000,53620.621600,1,1,direct,0.136928,8,5,0.167866,0.250000,2,0.200000,125.928400,7.941020,ok,
